SBA CURACAVI|302237|6302099|-33.4022|-71.1265|
LIDER EXPRESS CIUDAD DE LOS VALLES|328693|6297521|-33.4481|-70.8431|
ISABEL LA CATOLICA|353342|6300382|-33.4259|-70.5775|
QUILICURA LO CAMPINO 2|340468|6305886|-33.3744|-70.7149|
ACUENTA MELIPILLA|294152|6270601|-33.6846|-71.2207|
EL RINCON DEL GUSTO|334255|6288037|-33.5344|-70.785|
ROSA DEL CARMEN ORTIZ VIDAL|340140|6294131|-33.4804|-70.7206|
LUIS ARAYA CARVAJAL|342185|6304151|-33.3903|-70.6968|
MARION|341056|6295687|-33.4665|-70.7104|
NISSY|349378|6285049|-33.5636|-70.6227|
ERICHOPER|349010|6305652|-33.3778|-70.6232|
DON ORLANDO|338843|6302582|-33.404|-70.733|
NOLBERTO VALDES NAVARRO|354320|6291989|-33.5017|-70.5683|
BAZAR LA KUKA|347250|6304445|-33.3884|-70.6423|
DAVICITO|338922|6299319|-33.4334|-70.7327|
ATEMIS COMPUTACION|352660|6283299|-33.5798|-70.5876|
ALMACEN GERUDA|343907|6289452|-33.5231|-70.6808|
ALMACEN|348557|6287585|-33.5406|-70.6311|
CIBER JAVINET|336584|6307052|-33.3634|-70.7565|
JUANA HUENUN|343604|6282566|-33.5852|-70.6853|
BAZAR ANGELES|337900|6307203|-33.3622|-70.7423|
DON LUIS|350480|6278708|-33.6209|-70.6119|
JAVIER RICARDO PEREIRA PRADO|349928|6285465|-33.5599|-70.6167|
BUSTAMANTE|341417|6295028|-33.4725|-70.7067|
EDGAR COSME PORTAL|341366|6298468|-33.4415|-70.7066|
ELENA MINCHAN AMBROSIO|357166|6301790|-33.4137|-70.5361|
JUANITA|337013|6301165|-33.4165|-70.7529|
LOS CHINCHILLOS|355812|6295970|-33.466|-70.5516|
LA VALE|343712|6284491|-33.5678|-70.6838|
MARIA TERESA|347259|6287970|-33.537|-70.645|
POMPEYITA|344156|6290594|-33.5129|-70.678|
KIOSKO MARIAN|351516|6285150|-33.563|-70.5996|
OASIS|336935|6290385|-33.5137|-70.7557|
BAZAR MARY|351485|6286950|-33.5468|-70.5997|
LOTO|353852|6280047|-33.6093|-70.5753|
MIGUEL AGUILERA|355268|6294861|-33.476|-70.5577|
PUNTO ARAUCO|348657|6295385|-33.4703|-70.6287|
MONICA PILAR ESPINOZA MARTINEZ|348508|6303153|-33.4003|-70.629|
