NOMBRE FANTASIA;LONGITUD;LATITUD
JUANA DEL CARMEN BARAHONA LEON;-70.632004;-33.371393
ISABEL PETRONILA ARCAYA G;-70.7880081;-33.54208479
PEDRO ESPINOZA;-70.67570723958333;-33.37259682291666
BOTILLERIA CAROLINA;-70.6596529916666;-33.5786070722222
SANTA CRISTINA EL BOSQUE;-70.680801;-33.547443
SAN ANDRES - QUINTA NORMAL;-70.7069183442484;-33.4382121791096
ALMACEN LA ESCALERA SN JO;-70.6348931666666;-33.4899533888888
SALVADOR EUGENIO RETAMAL MENDEZ;-70.62764938;-33.50964032
COM GONZALEZ CERRO NAVIA;-70.75065131;-33.41671244
ALMACEN C Y S;-70.6434697619047;-33.5811475396825
JUAN - CERRO NAVIA;-70.72934523;-33.41934605
EL FAROLITO MAIPU;-70.77857035;-33.53978841
ISABEL C CISTERNAS MATURA;-70.58876459298325;-33.54536061855202
SANTA TERESA;-70.7726081558051;-33.5330709393052
CIBER ACTION;-70.72055132777673;-33.35425734950343
KAREN - SAN RAMON;-70.651307117117;-33.5425198198198
NANCY;-70.6766055;-33.4309696111111
EL NEGRITO RENCA;-70.72703411;-33.40662805
FERNANDA;-70.68089337886124;-33.583753994622924
LOS 121 LO ESPEJO;-70.6817731034482;-33.515172183908
LENNY;-70.7597808222442;-33.3604366295564
ALMACEN Y BAZAR;-70.623233;-33.593425
LEOCRISMA;-70.52573035387469;-33.481972554307156
SAN RICARDO LA PINTANA;-70.64381;-33.586321
LUAN RENCA;-70.74153056;-33.39701578
SHELL CHILE - CONCHALI;-70.6828574873272;-33.4010427966556
SHELL CHILE - MACUL;-70.59885261;-33.46513991
SHELL CHILE - STA. ELENA;-70.754290;-33.479164
SHELL CHILE - FARELLONES;-70.49709739544674;-33.36687185051367
SHELL CHILE -LA FLORIDA;-70.5880525296785;-33.5469704357368
SHELL CHILE - RINCONADA;-70.7754154565163;-33.5178176140173
CLAUDIA URRUTIA;-70.57096293333333;-33.48071453333333
MAVI;-70.65207632;-33.56044913
C Y C - PUENTE ALTO;-70.58343192835513;-33.57236218079619
ROSA ESTER HERRERA ;-70.6196758172121;-33.3798054074617
BAZAR ARIEL LO ESPEJO;-70.6734560483028;-33.5107587165928
EL BICHITO MAIPU;-70.79147819;-33.5108498
KEVIN;-70.6794191989063;-33.43445230004
VILUM MARKET;-70.74787659;-33.42583143
SHELL CHILE - LAS CONDES;-70.5168017777428;-33.4028162868279
SHELL CHILE - LO BARNECHEA;-70.510327584257;-33.3565302577364
SHELL CHILE - VITACURA/SAN FELIX;-70.5600831350285;-33.3867617219757
ANITA - PEDRO A. CERDA;-70.6844407312925;-33.5040707551021
CHRISTMEL;-70.63388092592592;-33.46387518518519
ANGELES;-70.74225194444443;-33.362252361111125
EL TALENTO QUILICURA;-70.71850486180655;-33.35345803827709
LAS ROSAS;-70.66714196969697;-33.58947555555556
SAN JORGE;-70.6179468454762;-33.4324141854762
SHELL CHILE - CRISTOBAL COLON;-70.5798304278255;-33.4236650598888
PATRICIA;-70.68128983742173;-33.45191760202692
BAZAR CLAUDIA;-70.6395907843137;-33.5776975735294
EL OSITO;-70.79710006;-33.52710767
EL TAMBO;-70.66715409090911;-33.56875636363637
LAS PRINCESITAS;-70.6395078648141;-33.5787773964072
LEINA ANDRAWES BOULES HEJAZEEN;-70.55936936;-33.41527122
SHELL CHILE - BILBAO;-70.5850936994415;-33.4320620648256
SHELL CHILE - LO AGUIRRE;-70.848678;-33.440470
