NOMBRE FANTASIA;LONGITUD;LATITUD
SOFIAS MACUL;-70.60069867;-33.50457575
MINIMARKET CERRO 18;-70.5006731492148;-33.353740815292
MAU LHU LA REINA;-70.55417329;-33.46246597
KIOSCO PAOLA;-70.5143831547618;-33.369021547619
VOY Y VUELVO LA GRANJA;-70.6222802083333;-33.555123125
TIA MAGGY MACUL;-70.58702239;-33.49119729
REPUESTOS 38 1/2 ;-70.6279427777777;-33.5888514814814
INTERNET R.A.P. CERRILLOS;-70.7225296;-33.47628675
ROMARKET LA PINTANA - #10727;-70.6200024;-33.5582773
HAYDEE OLIVERO;-70.64494661;-33.54321962
DONDE CARLITOS - LA PINTANA;-70.62607203125;-33.5633922395833
CARLOS RAMIREZ CACERES LA;-70.6207925177305;-33.5947760283687
BOTILLERIA LOS PORTENOS S;-70.6367604593731;-33.3633418947002
ALMACEN SANTA INES;-70.6379567057273;-33.3766914080045
JAVIER CACERES VEGA;-70.69354308;-33.46837854
DAMARIS;-70.7220552116402;-33.4043159523809
MARCELA GONZALEZ MUNOZ;-70.6803655952381;-33.3988584523809
EDUARDO PATRICIO LORCA AVILES;-70.566229371751;-33.5066155426356
BAZAR LA ABUELY;-70.6697025396825;-33.390760079365
ALMACEN MONY;-70.6628682;-33.3840461333333
LAS MASCOTAS;-70.6360965982907;-33.4128715834917
MARIA SANTANDER ALBILLAR;-70.5753574806201;-33.5078819573643
ALEXIS LANDASTA SANTANDER;-70.6805266666667;-33.415825
ESTER DEL CARMEN CASTILLO ALVAREZ;-70.6536602592592;-33.5177103703703
FRUTOS DEL PAIS BJ;-70.5613916666666;-33.46845
SANTA BEATRIZ;-70.6585616666666;-33.3866022499999
PANAMTUR LAS CONDES;-70.57043525;-33.40982503
ALBERTO MINIMARKET;-70.55796796;-33.42162171
COM MATIAS;-70.67072311;-33.3970818
MANOLITO CONCHALI;-70.6874467875073;-33.3796026917746
MAIRA CONCHALI;-70.6810830815458;-33.3716902304831
MANUEL LAS CONDES;-70.55385341;-33.40857098
TEXTIL GRECIA PENALOLEN;-70.541216463581;-33.4709257404936
EL ABASTO DE RAIMUNDO;-70.5317172478482;-33.4200173387965
IMPORTADORA TRRIVENI - APUMANQUE;-70.5672902;-33.40929516
SAVE SHOP;-70.5825573081269;-33.4133016800658
EL BEBE CONCHALI;-70.676791047619;-33.3967021666666
MACHAROAS PENALOLEN;-70.542461;-33.462644
ISABEL ROSA MARTINEZ  HERAS;-70.65927705;-33.38582982
L - L PENALOLEN;-70.5661849075246;-33.4751055308047
PUNTO BIP YOLANDA;-70.5655881058626;-33.4169983133054
WILY PENALOLEN;-70.53785942;-33.46456986
PAZ ANGELICA SAN AMRTIN CUADRA;-70.53123952;-33.47381534
BAZAR MILELA CONCHALI;-70.69312466;-33.37729775
CALL SERVICE CONCHALI;-70.68318474;-33.38073637
YIRE;-70.6698202380952;-33.3840371428571
CANTA GALLO PENALOLEN;-70.54279676;-33.47091592
CATALINA FARIAS;-70.5511650167259;-33.4718309345139
BOTILLERIA PUERTO RICO;-70.67963799;-33.39289469
ISAIAS VALDEMAR;-70.54588239;-33.47108313
MINIMARKET ELIZABETH PENA;-70.538411;-33.47160613
PAOLITA CONCHALI;-70.67947461;-33.39741177
LUIS VERGARA CONCHALI;-70.68797622;-33.36903063
EL BUFON;-70.5413329605628;-33.3902975796326
EL TATA PENALOLEN;-70.5779391777517;-33.5065180485082
EL JUANITO PENALOLEN;-70.53007244;-33.47652161
EL PASO;-70.5318298819945;-33.4237750477079
DANIA;-70.535796332774;-33.4726629518307
DULCINEA PENALOLEN;-70.57343618;-33.50515284
MARIELA ROJAS;-70.6823289;-33.37211266
RODRIGO AMRCELO VIDAL SAN;-70.5613040286182;-33.4682716452135
GANADERA DEL SUR PENALOLE;-70.56623216;-33.47775555
PAUL HARRIS;-70.53416241;-33.4163188
SAN LUIS;-70.55269043;-33.46866248
LOS VINEDOS DEL CON. PENA;-70.55099674;-33.49532933
LA ESQUINA DE LA SUERTE;-70.533526990462;-33.4163138363751
MONICA MORENO VEGA LAS CO;-70.55240943;-33.42571945
THE GIFT LTDA;-70.5733389812074;-33.4053530760025
LA VARA;-70.5296284952109;-33.4683478556343
LA JUANITA;-70.66781437;-33.38671146
ERBI LAS CONDES;-70.53459384;-33.42567823
AROMA DE MUJER;-70.54536004;-33.40777291
BRUJITAS FIESTAS;-70.6606648263889;-33.3836175694444
PESCADERIA PUERTO COLON L;-70.57185;-33.419685
VERDULERIA;-70.5269983645582;-33.4814503001664
BEATRIZ VILLALOBOS;-70.683318084577;-33.3733936567164
FOTO JOPIA LA CONDES;-70.5691088;-33.40900664
LA ABUELITA;-70.5253236666666;-33.4704205833333
VIANAVAN PENALOLEN;-70.53767601;-33.47788311
ANTOJITOS;-70.6740125594833;-33.388169367752
DON ELIAS PENALOLEN;-70.53046490196078;-33.47868421568627
KIOSCO BIP MANQUEHUE;-70.564526;-33.427428
DONDE JAIME PENALOLEN;-70.54249311;-33.46987635
EL VERGEL PENALOLEN;-70.5392617;-33.46407004
PATTY;-70.7301009560605;-33.5007873712121
OMAR SALDIAS;-70.5059693137254;-33.3592435294117
ABARROTES LA PLAZA MACUL;-70.593329179317;-33.4768447505356
EL PROGRESO PENALOLEN;-70.54845986;-33.47264347
AMASANDERIA JOEL;-70.6207596520796;-33.514501278442
L - L MACUL - RAMON CRUZ;-70.58307218;-33.4786492
ANA ISABEL VASQUEZ CANDIA;-70.6220295098039;-33.5638749019607
L - L MACUL;-70.5798564166666;-33.48136475
RODRIGO PENALOLEN;-70.57167015;-33.47731076
EL VICHITO PENALOLEN;-70.5351767518369;-33.4754036732647
LAS DELICIAS CONCHALI;-70.66746674;-33.39446815
BELEN LIZBETH;-70.55956748;-33.46718369
ERNA ASEM CONCHALI;-70.66622983;-33.37599934
KARLITA PENALOLEN;-70.52666872;-33.47180538
RICARDO DIAZ;-70.54158395;-33.46885206
JACQUELINE ELGUETA;-70.66122066;-33.38003136
ALMACEN JAVIER;-70.6339182638888;-33.4913949305555
BAZAR CERRILLOS;-70.70510588;-33.49386586
BAZAR GISELA;-70.6330035509287;-33.36354759604
EL RORO;-70.6844736486486;-33.4988231981981
MARCELO;-70.639165653033;-33.583296354473
PUELMAPU PENALOLEN;-70.53012206;-33.47408761
LA CENTRAL PENALOLEN;-70.55501668;-33.46873947
DISMODA INDEPENDENCIA;-70.65404968;-33.427067
EL LLANO RECOLETA;-70.64946868;-33.42534974
LA BUENA CARNE;-70.63103636;-33.40287041
ANDRES;-70.7243831554872;-33.3956522725229
ALBERTO BRITO MARTINEZ RE;-70.64684051;-33.43177259
LA MADRID;-70.6542425;-33.3890475
ESTABLEC. LA GELATTA RECO;-70.64117437;-33.39127621
ABSA;-70.65833243;-33.42076335
BAZAR ARCOIRIS;-70.65870150793651;-33.413026825396834
LILY LA CISTERNA;-70.66620895833333;-33.53027854166666
LAS PALMAS;-70.66569688405795;-33.409147246376804
PROVISIONES TIARA;-70.67731558951017;-33.41438488240689
BAZAR KITTY;-70.67501747;-33.41571486
EL SOL - INDEPENDENCIA;-70.6587359;-33.41266807
QUENITA INDEPENDENCIA;-70.664707;-33.414584
GLADYS MUNOZ;-70.6654299;-33.42019713
LOS ARCOS;-70.65442551;-33.52491715
MANOLO;-70.67385513257577;-33.409002398863635
ISA INDEPENDENCIA;-70.67026177;-33.41198767
MINIMARKET NENITA RECOLET;-70.65580694;-33.38202303
JUAN ALARCON;-70.72233606;-33.40890431
BOTILLERIA SAN ESTEBAN;-70.64969712;-33.38456171
ZEUS RENCA;-70.740582;-33.406869
ALI ALE RENCA;-70.73584924;-33.4109678
LEAL LA CISTERNA;-70.66417614097969;-33.52538531302271
PUNTO BIP DONDE JORGE;-70.73838029;-33.411053
EL TREBOL - RECOLETA;-70.6418728192041;-33.4305998904279
PIZZA LOLO RENCA;-70.71412731;-33.40228494
BRASIL;-70.74512567;-33.40013022
CASSETERIA CENTER LA CIST;-70.65973021161378;-33.51699489417991
RIDENVAN RENCA;-70.73868246;-33.40795335
LA ESQUINA - INDEPENDENCIA;-70.66811933333335;-33.399556166666656
PERCHI DIGITAL CENTER;-70.664189363401;-33.4165144894848
RAUL Y XIMENA RECOLETA;-70.6428172;-33.42250436
MINIMARKET MARIO RECOLETA;-70.62801878;-33.41134319
DISTRIBUIDORA MARCEL;-70.6514816944121;-33.4310600567954
SANTA ELVIRA RECOLETA;-70.64269701;-33.40066215
D LA MARI LA CISTERNA;-70.652798762512;-33.5446284928504
ERBI - RECOLETA;-70.639892555315;-33.4234321760233
PATRICIA  ROMO;-70.67861273148148;-33.53002111120372
ROSA FARIAS;-70.65402616;-33.41054545
DONDE TITO;-70.67463528;-33.54030581
BAZAR BUENA VENTURA RENCA;-70.725758;-33.409641
EL ESFUERZO RENCA;-70.71875411;-33.40240328
AMALIA RENCA;-70.74079233;-33.4069804
SAN VALENTIN RENCA;-70.73783359;-33.40028634
EL CHAMACO RENCA;-70.74146469;-33.41002199
ALMACEN MAR CRIS RENCA;-70.73892822;-33.40620181
EDUARDO LOPEZ;-70.6722857366893;-33.4050053183989
LAS MILBES RECOLETA;-70.64577791;-33.42468526
ANITA RECOLETA;-70.65751606;-33.38020893
PUNTO MIX RENCA 2;-70.745665;-33.406284
LA ESTRELLITA RENCA;-70.74506021;-33.41032457
DONDE EL CANTA;-70.651537;-33.431885
PUNTO MIX RENCA;-70.7454698185584;-33.4058235723753
JEHOVA YIRE RENCA;-70.73472824418;-33.4021407471064
RENE SANCHEZ;-70.66766894;-33.50855406
DONDE LA ROSITA;-70.6721258333333;-33.3836766666667
RSV ENTRETENIMIENTOS EIRL;-70.6605745793505;-33.4071372811426
LEO;-70.6754144354839;-33.3879678225806
GABRIEL ALEJANDRO;-70.6015650544552;-33.4851387846493
MINIMARKET LOS QUENES;-70.76338132;-33.52134053
EDUARDO;-70.69458462378088;-33.40877006918609
BAZAR LEO;-70.67460439716311;-33.5371564893617
ANA Y LOS SIETE;-70.75063914846645;-33.45609965739805
VERONICA - SAN BERNARDO;-70.709913840159;-33.6415940505362
BAZAR TATAY;-70.68203166249289;-33.59427457434968
ALBIN FREDDY;-70.67985732952381;-33.600794890158724
POZUELO;-70.61376785714286;-33.4176369047619
MATIAS - PROVIDENCIA;-70.6268289102564;-33.43403544871795
D LA ESQUINA;-70.5859411111111;-33.43286166666667
RIGOLETTO;-70.61511369252872;-33.42609745402301
UNICOM LTDA;-70.6100094805071;-33.4217477343557
LOS MAQUIS;-70.663657;-33.561342
MAURI EL BOSQUE;-70.681125;-33.540701
CUATRO HERMANOS EL BOSQUE;-70.68152523;-33.56436843
PACOVI EL BOSQUE;-70.67960176;-33.56466793
SAN MAURICIO EL BOSQUE;-70.65447171322653;-33.549584341996365
ANA MARIA SILVA DODERO EL;-70.6770749;-33.5464644
LEONOR CRUCES;-70.67299934;-33.56857722
MAKAI EL BOSQUE;-70.67198455;-33.58099142
DONDE MIS QUERIDOS VIEJOS;-70.6622252114262;-33.5614207425494
BUCANEROS EL BOSQUE;-70.68911402782173;-33.55213061609894
MAGGY EL BOSQUE;-70.66724475;-33.58266226
IMPRESIONATE EL BOSQUE;-70.6726735229965;-33.550895138991
DON BENJA;-70.6872577598117;-33.5508310343472
EL NEGRITO;-70.66299187;-33.58208866
LO VASQUEZ;-70.63756054316573;-33.39029046008301
ADA INGRID;-70.70682263888891;-33.40148200396825
SUPER ALMACEN;-70.6452157964844;-33.432655418749995
PROVISIONES FERNANDO;-70.72857896479277;-33.4012822164153
COMERCIAL SEBASTIAN;-70.53940504;-33.47224767
CONY;-70.64172306666669;-33.43013053333333
LA FERIA DEL CASSETTE;-70.70525262;-33.59294109
LA PALOMA SN BERNARDO;-70.68526052083332;-33.60192375
EL ARBOLITO PUDAHUEL;-70.7451268571722;-33.4574086889694
ALMENDRANI SN BERNARDO;-70.705516;-33.563084
ZEBALLOS PUDAHUEL;-70.74740569;-33.45680211
MINIMARKET VICTORIA PUDAH;-70.75489846;-33.44863157
SERVICE EXPRESS PUDAHUEL;-70.76299338;-33.43438873
FARM ESPOZ - SN. PABLO 8735;-70.75353813;-33.44395475
PAOLA SN BERNARDO;-70.71027245;-33.61311374
JOSE MANZO ESCOBAR;-70.7742320255143;-33.434669377491
D EMILIO SN BERNARDO;-70.70370051;-33.62395124
OLGA REGINA MEZA FUENTES;-70.75846602564101;-33.43136544871793
KATTY SN BERNARDO;-70.68383866;-33.59800475
KARINA PUDAHUEL;-70.75402211;-33.43013453
SANDRA SN BERNARDO;-70.74454815;-33.50877324
OLGA ELENA SN BERNARDO;-70.70843293;-33.61445117
NELLY SN BERNARDO;-70.67848979;-33.58196181
CAROLA SN BERNARDO;-70.70536133333331;-33.57249008333333
MACROSTORE SN BERNARDO;-70.70459683;-33.59429523
EL PELONCITO;-70.687740348028;-33.5814723626649
DANIELA SN BERNARDO;-70.68537789;-33.57912973
GAMERS SN BERNARDO;-70.68011832867431;-33.582380370768185
LUMAC SN BERNARDO;-70.68857829;-33.592716
BAZAR MELISSA;-70.712128;-33.60134
PARAISO SAN BERNARDO;-70.6979237775732;-33.5787681191988
KENA;-70.6851217580247;-33.5836866938643
BAZAR BRISA;-70.7092963763266;-33.5917693877469
AQUI REGRESO;-70.7119353860038;-33.5771759746874
ALMAC.LOMAS DE LO AGUIRRE;-70.848047;-33.450838
MINIMARKET FRANEDU;-70.7641542;-33.44601963
CATHERINNE PUDAHUEL;-70.76730587266208;-33.436437497670184
ANGELICA PUDAHUEL;-70.73892386;-33.4584228
EL LULO PUDAHUEL;-70.75543977;-33.46035751
ISABEL PUDAHUEL;-70.74559998;-33.43099949
INGRID PUDAHUEL;-70.7308206435807;-33.4685114629538
MINIMARKET HOLLYWOOD;-70.75485636;-33.45764323
DONDE PANCHO PUDAHUEL;-70.7550103;-33.45527809
MINIMARKET FERNANDITA;-70.749462;-33.462234
EL PEQUENO PUDAHUEL;-70.74791469;-33.43146302
SONIA PUDAHUEL;-70.74289945;-33.43094773
YASDANI PUDAHUEL;-70.76438663;-33.45601928
JANET OPAZO;-70.75554228;-33.43628862
LA BODEGUITA PUDAHUEL;-70.7478359571688;-33.465349129787064
GISELLE PUDAHUEL;-70.76990123;-33.44499871
VIDEO CLUB EL TRANQUE PUD;-70.7963218309999;-33.5480908399999
RUFINA PUDAHUEL;-70.759383;-33.445429
LA ESQUINA PUDAHUEL;-70.74301973;-33.46061399
MARCELA PUDAHUEL;-70.76398713;-33.45566049
PATRICIA EDULIA VERA GRAC;-70.75551994;-33.43179742
ROSA AURORA VEJAR MUNOZ P;-70.74805057;-33.43167562
MILAGRO PUDAHUEL;-70.7561085;-33.45953261
FARM ARAVIL PROVIDENCIA;-70.61482773;-33.42607666
LUCHITO PUDAHUEL;-70.732815;-33.4655
OPTICA LOS  ALPES;-70.6105608;-33.42208513
PAULI PUDAHUEL;-70.74683906;-33.46262787
CHINITA;-70.6071037177385;-33.4201392551661
RENACA EXPLOTE PROVIDENCI;-70.61668312;-33.43437847
DOBLETE;-70.5855364195046;-33.4373560229791
EL RINCON DE LA SUERTE - C.A;-70.61463359;-33.42591776
MANUEL GUILLERMO PROVIDEN;-70.61918033;-33.44630311
ERIKA MONTECINOS;-70.62567386363635;-33.42890363636364
MARIA - PROVIDENCIA;-70.6199375639668;-33.4397265449611
EL AGUILUCHO PROVIDENCIA;-70.59451988;-33.44259466
FERRETERIA NUEVA BILBAO;-70.60068563;-33.43710725
EL RINCON DE LA SUERTE - NVA. PROV.;-70.61681303;-33.42758415
POLLA LOTERIA LOTO;-70.60975562;-33.43137034
CHOCOLATE PROVIDENCIA;-70.6096608391615;-33.431234738582
TODO SABROSO MARKET PROVI;-70.6195442288379;-33.4335784648341
BAZAR ENTRES DOS;-70.6154392530326;-33.4405153614336
FRANCISCA ORMENO;-70.61393326;-33.44726398
AXEL QUILICURA;-70.7107016666667;-33.3388983333333
NICOLE QUILICURA;-70.7383997368421;-33.36217842105263
ALICIA QUILICURA;-70.72634503;-33.3635771
BERNARDITA QUILICURA;-70.72129821;-33.37034394
MARISOL;-70.7155285098852;-33.36910370534
MARIA ALICIA DIAZ VELOZO;-70.71652516;-33.37159632
REGINA CLEMENCIA ZUNIGA B;-70.7524470056497;-33.35948293785311
QUILLON QUILICURA;-70.71671814814813;-33.35935546296297
NODELIA QUILICURA;-70.74591777;-33.3505927
NICOLAS QUILICURA;-70.71772995;-33.35934847
CONNY QUILICURA;-70.74564640350877;-33.35310271929825
ALMACEN MIRIAM QUILICURA;-70.7492201152689;-33.36404003066
EL ZAR QUILICURA;-70.74023791666667;-33.34870065972223
MI LUZ QUILICURA;-70.74689958;-33.35257497
DEYANIRA;-70.71784536363633;-33.35837748484848
PIMIENTA Y CANELA;-70.73390259;-33.35202345
NOVASISTEM(8);-70.7292043242967;-33.36551939682539
CENTROCAR;-70.71842342424243;-33.36694221212121
CONIMAX QUILICURA;-70.75742318;-33.36231768
SANTA CORINA;-70.6024604420646;-33.455291188517066
LIBRERIA STUDIO NUNOA;-70.5931269367401;-33.4554635365965
BAEZ PIZARRO JUAN Y OTRO;-70.60578722;-33.4607078
SAN JORGE NUNOA;-70.59758605;-33.45478535
BAZAR R Y R QUILICURA;-70.7515831538182;-33.35408487500106
PRACC.CL QUILICURA;-70.73703998;-33.35829919
ALMACEN EL TITO QUILICURA;-70.7226608;-33.35004179
YASNA QUILICURA;-70.75369884814815;-33.3606313777778
M Y M QUILICURA;-70.73340096;-33.36449664
PATITO QUILICURA;-70.74998171568627;-33.35648367647059
EL TATA NUNOA;-70.59225256;-33.46777355
ESTRELLA QUILICURA;-70.7430346875;-33.36180375000001
LA PLUMA NUNOA;-70.6061936;-33.44600192
LOS BIANCOS;-70.58686872;-33.47065
RED POINT NUNOA;-70.58137045;-33.45483483
COM NINO NUNOA;-70.62718765;-33.45158624
BELORADO NUNOA;-70.62036234;-33.44999674
EL RINCON NUNOA;-70.6081451593838;-33.4536188592048
YULI QUILICURA;-70.74933226;-33.3637617
QUISCO NANCYTA NUNOA;-70.61341947;-33.47072976
HANS CHISTIAN KORSHOLM;-70.60120931;-33.46419005
MANOLITO;-70.5787811019999;-33.4458474649999
TAG NUNOA;-70.61348795;-33.45299694
CARYMBOS 2;-70.58202784;-33.46815175
PAOLA CASTRO CASTILLO NUN;-70.5726798;-33.45412647
LOS VINEDOS DEL CON. NUNO;-70.61240075;-33.45500024
EKEKO NUNOA;-70.5885120479252;-33.4552909737843
COMERCIAL FRITZ LTDA;-70.5851497560603;-33.446527465438
IL TABAC NUNOA;-70.5817696710199;-33.4484717989
KIOSCO - RAMON CRUZ;-70.5804024807586;-33.45970783382
SAN PANCRACIO QUILICURA;-70.7264323742418;-33.3656104152619
MINIMARKET TODO EN UNO;-70.6296999880041;-33.45203801481517
MINIMARKET DIOS PROVEE;-70.62083124;-33.46104746
CARLOS MORALES QTA NORMAL;-70.70470249;-33.44096229
TIA ZUNI QTA NORMAL;-70.71201085;-33.41653532
EL SHADDAI;-70.74591615384617;-33.360610256410254
PATRICIA QUILICURA;-70.7338063;-33.3555645
BAZAR VALENTINO;-70.71362763;-33.36662418
SOC. COM. DICER;-70.70017093;-33.43944364
MARGARITA MARIA VASQUEZ C;-70.69652801;-33.43581004
DANA QTA NORMAL;-70.69008763;-33.42251743
PASTELERIA CENATEC QTA NO;-70.70345581;-33.42471085
LUIS QUINTANA QTA NORMAL;-70.69904418;-33.43123809
MIGUEL PACHECO QTA NORMAL;-70.70352924;-33.42469634
LUIS CONCHA;-70.7035983333333;-33.4300516666667
VIDEO CLUB FERNANDA;-70.71453711805556;-33.41268781249999
MINIMARKET DANAE QTA NORM;-70.70633576;-33.41216238
FARM ESPOZ QTA NORMAL;-70.6959121;-33.42254129
MACARENA QTA NORMAL;-70.71445313;-33.42660943
TEKNIVISION;-70.69283956;-33.42686229
VIVIANA SANDOVAL;-70.714554;-33.43611807
IBANEZ QUINTA NORMAL;-70.7078044218881;-33.4279226467831
AVICOLA AARON;-70.7092374622866;-33.4273731822956
EMILIA;-70.74525697474748;-33.41802308080808
ETELVINA CRUZ CAMPOS HERR;-70.6937099761982;-33.4311122738219
BAZAR MP 7;-70.72021202380955;-33.41274077380952
YASNA Y CARLITOS;-70.71809107269225;-33.421587087157526
JORGE DIAZ EIRL;-70.7109945;-33.42318036
MI CHIQUITA;-70.74275173868828;-33.42973599076149
FRANCISCO JAVIER VALENZUE;-70.7338995819;-33.4266774511033
ALMACEN OESTE CERRO NAVIA;-70.7495999;-33.41681204
CARLOS HUMBERTO VEJAR MUN;-70.74431176;-33.42604146
BAZAR WALL-E;-70.7379433563774;-33.4228653182163
SANTA CECILIA CERRO NAVIA;-70.765152;-33.418126
PAPELUCHO CERRO NAVIA;-70.73468852;-33.41726558
CYNTHIA CERRO NAVIA;-70.72697095628418;-33.4368412568306
COMERCIAL M Y F;-70.7674376;-33.4152424
LOS LAGOS CERRO NAVIA;-70.76526916;-33.41773394
JC CERRO NAVIA;-70.729302;-33.418337
ALEX CERRO NAVIA;-70.74098328;-33.41943004
VICTORIA CERRO NAVIA;-70.71970593;-33.41844849
AGUCHAVE CERRO NAVIA;-70.72729343;-33.41701859
SANTA MARIA CERRO NAVIA;-70.76526912;-33.41778876
BOTILLERIA GERALDINE CERR;-70.73329193;-33.43467274
EL NACHO CERRO NAVIA;-70.74680618;-33.42124126
DONDE LA ABUELA CERRO NAV;-70.74054895348836;-33.41546205426357
FRUTOS ARVEJAS LTDA;-70.57840222222222;-33.50642888888889
JUANITO CERRO NAVIA;-70.72331295833332;-33.41373620833333
AUDINA DIAZ CERRO NAVIA;-70.7544615079365;-33.414635277777776
COM MAGALY CERRO NAVIA;-70.73944918;-33.41513585
GABRIELA VILLALOBOS;-70.74648084;-33.41481499
LAPICITO;-70.76203631;-33.41734716
KIOSKO - LAS CONDES;-70.59777188824192;-33.416912598374466
JOSE LUIS;-70.58864248154877;-33.43488920057505
EL NARANJO;-70.53379805555555;-33.42166284722223
EL CISNE;-70.67483386739863;-33.56611016187268
EL SOCIO;-70.63950662266667;-33.53713724766668
HUGO GUZMAN;-70.76075797523254;-33.45573507441057
COM DEUTSCHI;-70.7230351467676;-33.3968660503254
FENITA CERRO NAVIA;-70.74885495;-33.42731907
NUEVA RESBALON CERRO NAVI;-70.74160363;-33.41697601
BAZAR NOR YEN CERRO NAVIA;-70.75475425;-33.41905976
VIKINGO CERRO NAVIA;-70.7304226469048;-33.4249487204388
MINIMARKET AHORA SI;-70.73279666666669;-33.42464803030303
JESSICA POZO CERRO NAVIA;-70.7351803602081;-33.4277804267932
EL GUATON VERA;-70.7466940253886;-33.4224044950672
ROSALIA ELIANETH ARAZAEZ;-70.72260622222221;-33.43353933333334
MINIMARKET - PADRE HURTADO;-70.7363802777778;-33.43486972222221
ERNA TROPAN;-70.76309458333333;-33.42989791666666
CARRASCAL;-70.69791490504232;-33.42184956772506
MIS MASCOTAS;-70.72315357142858;-33.37812047619047
EL CAMBUCHO;-70.865107;-33.395238
ERBI SANTA ROSA;-70.64552388888889;-33.44634833333333
RINCON DEL ESTUDIANTE;-70.76283437453434;-33.54922721618949
ALMACEN TRIUNFO;-70.59691555555555;-33.56189305555555
EL CRISTO;-70.5625191115732;-33.59725446056499
LULY;-70.5872657793765;-33.51445160671461
OASIS - MAIPU;-70.789922;-33.55565
ALMACEN LA ESQUINA;-70.6015300378788;-33.573083068181816
LAS TRES HERMANAS;-70.58939683333334;-33.5865825
LAS HORMIGUITAS;-70.58274762647062;-33.55162951436268
LA VEGUITA - MAIPU;-70.7439711111111;-33.496585
CIBERGAMERS;-70.5548307563699;-33.5805196511437
NACIMIENTO;-70.79053815476189;-33.50771261904762
LA GIULIANA;-70.55473066666666;-33.562554866666666
LA CAMPANA QTA NORMAL;-70.71171936;-33.42094269
ENTRETENIMIENTOS;-70.6924532196383;-33.4545131770892
ROSA - CERRO NAVIA;-70.7393489024297;-33.41823887788461
GONI MELGAREJO;-70.62267059452762;-33.459150251960786
JAMAICA PTE ALTO;-70.58286217;-33.61296101
RENE PTE ALTO;-70.556202;-33.58065178
SAN ALBERTO PTE ALTO;-70.59587299999998;-33.60902033333334
MARSAN - LAS LLUVIAS;-70.56803291666665;-33.594486666666675
DONDE LA TIA PATY PTE ALT;-70.55565864;-33.60419379
LOS COROTICOS PTE ALTO;-70.56855416666667;-33.585577916666644
DONDE CLAUDIO;-70.591778;-33.58018766666667
ALMENDRA;-70.55548055;-33.5956817
PUNTO BIP JUNNY PTE ALTO;-70.5583985897436;-33.58062512820513
MARSAN;-70.57276333333333;-33.59750714285714
ALONSITO;-70.5964750301598;-33.6231179784266
VERONICA ROJAS PTE ALTO;-70.55065583;-33.55777658
EL CHAYAVIENTOS PTE ALTO;-70.57131338;-33.58224125
EL FAIFITA PTE ALTO;-70.59126173;-33.6140254
LA FERIA DEL CASSETTE PTE;-70.57407537;-33.60916147
TRINIDAD PTE ALTO;-70.57188473958334;-33.57181430208335
CARNICERIA RP PTE ALTO;-70.55498133333332;-33.58434705555556
CACHUREO PTE ALTO;-70.56659569444444;-33.56360486111112
BAZAR MONY PTE ALTO;-70.56886987179487;-33.5981789102564
GLADYS HERNANDEZ FLORES P;-70.57586492098348;-33.576063253003
ALMACEN DON TONO;-70.57410804;-33.56612817
SANTA ELVIRA;-70.61946124;-33.6196539
EL ALBA PTE ALTO;-70.55821263888889;-33.550605138888905
BAZAR VIKINGO PTE ALTO;-70.56970397369878;-33.57675365586931
T & K;-70.59975399;-33.58799392
NOCEDAL PTE ALTO;-70.59440432;-33.62373813
PC PLANET LA FLORIDA;-70.58278145833334;-33.515716250000004
BAZAR;-70.5919431814991;-33.48089542361582
JUAN E. GONZALEZ MONSALVE;-70.5846643838037;-33.5365479037436
MINIMARKET KAREN LA FLORI;-70.59180138888888;-33.569835231481484
ENRIQUE SANHUEZA OSSES;-70.579019;-33.522618
KIOSCO JULIA;-70.573159;-33.535349
YINNEREL LA FLORIDA;-70.60537004;-33.53682549
MYC;-70.55977987918455;-33.52961248398628
SANTA TERESITA LA FLORIDA;-70.580665;-33.53009
CHO CHOL LA FLORIDA;-70.60824292611574;-33.5519605321763
ALFONSO RIVERA LA FLORIDA;-70.59498416666663;-33.561798055555556
YENNEVA;-70.74139511;-33.35707248
SANTA CAROLINA;-70.5527187;-33.5195417
COMERCIAL JAIME;-70.7169041723112;-33.3677272244034
ANGELICA GALVEZ LA FLORID;-70.60682913157892;-33.54662704830826
BELEN LA FLORIDA;-70.5983202490973;-33.56468020454632
DAYANA LA FLORIDA;-70.57969339080461;-33.55304977011494
CARLOS HECTOR CASTILLO LA;-70.56324576;-33.51510618
ELENA SOTO BENAVIDES LA F;-70.5807398453999;-33.535898933013655
ERBI LA FLORIDA;-70.5785632;-33.5276372
ALISON;-70.5695765;-33.5548618
EL VECINO - LA FLORIDA;-70.5807107070707;-33.51081444444445
WALDO CHRISTIAN RUBIO LA;-70.56680329;-33.54975932
KIOKO KRISMAN LA FLORIDA;-70.57416103;-33.53557692
ALEJANDRO OLIVARES J LA F;-70.6082311;-33.5505838
JUAN AVILES LA FLORIDA;-70.61022;-33.56391
SANTA HELITA LA FLORIDA;-70.5792151;-33.5178366
GEMITA;-70.67806633333335;-33.505832333333366
SANTA TERESITA;-70.76758018462013;-33.43175753910851
LA ESQUINA MAIPU;-70.78042765957449;-33.490112092198565
ALMACEN GUILLERMINA MAIPU;-70.78929444444445;-33.51067246031745
LA PANCHITA MAIPU;-70.78061761904762;-33.51529666666667
MARY - QUILICURA;-70.73971655952381;-33.36296932738095
CASA MARCOS MAIPU;-70.757889;-33.510484
SERVICIO TOTAL MAIPU;-70.75823032;-33.50890995
MINIMARKET MACARENA MAIPU;-70.74022780024792;-33.490939197385316
