P-220|-|507315|7517173|-22.4517|-68.9289|
P-221|-|507356|7517388|-22.4498|-68.9285|
P-222|-|507413|7517683|-22.4471|-68.928|
P-223|-|507809|7518636|-22.4385|-68.9241|
P-225|-|506606|7514601|-22.4749|-68.9358|
P-226|-|506802|7513973|-22.4806|-68.9339|
P-227|-|506647|7514501|-22.4758|-68.9354|
P-228|-|506548|7514854|-22.4726|-68.9363|
P-229|-|506872|7516128|-22.4611|-68.9332|
P-230|-|507148|7516143|-22.461|-68.9305|
P-231|-|507358|7516151|-22.4609|-68.9285|
P-232|-|508492|7519121|-22.4341|-68.9175|
P-236|-|507883|7516441|-22.4583|-68.9234|
P-238|-|507615|7514304|-22.4776|-68.926|
P-239|-|507410|7514368|-22.477|-68.928|
P-244|-|508659|7513506|-22.4848|-68.9158|
P-249|-|509209|7514008|-22.4803|-68.9105|
P-250|-|509016|7513834|-22.4819|-68.9124|
P-251|-|508836|7513690|-22.4832|-68.9141|
P-252|-|508748|7513608|-22.4839|-68.915|
P-253|-|508603|7513472|-22.4851|-68.9164|
P-254|-|508410|7513370|-22.486|-68.9182|
P-255|-|508257|7513229|-22.4873|-68.9197|
P-256|-|508185|7513067|-22.4888|-68.9204|
P-258|-|507275|7517583|-22.448|-68.9293|
P-259|-|506418|7517546|-22.4483|-68.9376|
P-260|-|506329|7516889|-22.4543|-68.9385|
P-261|-|505815|7516831|-22.4548|-68.9435|
P-262|-|506144|7516617|-22.4567|-68.9403|
P-263|-|506163|7516304|-22.4596|-68.9401|
P-264|-|506177|7516035|-22.462|-68.94|
P-265|-|506188|7515851|-22.4636|-68.9398|
P-266|-|506196|7515632|-22.4656|-68.9398|
P-269|-|507711|7516175|-22.4607|-68.9251|
P-270|-|507960|7516328|-22.4593|-68.9226|
P-271|-|507414|7515889|-22.4633|-68.9279|
P-272|-|507137|7515793|-22.4642|-68.9306|
P-273|-|506211|7515566|-22.4662|-68.9396|
P-274|-|506173|7516256|-22.46|-68.94|
P-275|-|506156|7516541|-22.4574|-68.9402|
P-276|-|506341|7516891|-22.4543|-68.9384|
P-277|-|506367|7517207|-22.4514|-68.9381|
P-278|-|506443|7517621|-22.4477|-68.9374|
P-279|-|506831|7518185|-22.4426|-68.9336|
P-281|-|507333|7517056|-22.4528|-68.9287|
P-282|-|506954|7517019|-22.4531|-68.9324|
P-283|-|505790|7516389|-22.4588|-68.9437|
P-284|-|505809|7516033|-22.462|-68.9435|
P-285|-|506025|7515926|-22.463|-68.9414|
P-286|-|506487|7515936|-22.4629|-68.9369|
P-287|-|508466|7516773|-22.4553|-68.9177|
P-288|-|508837|7516960|-22.4536|-68.9141|
P-289|-|508903|7517134|-22.452|-68.9135|
P-290|-|508822|7517259|-22.4509|-68.9143|
P-292|-|508344|7516658|-22.4563|-68.9189|
P-293|-|508223|7516601|-22.4569|-68.9201|
P-294|-|506676|7515952|-22.4627|-68.9351|
P-296|-|507004|7516998|-22.4533|-68.9319|
P-297|-|506992|7518630|-22.4385|-68.9321|
P-299|-|509028|7514078|-22.4796|-68.9122|
P-300|-|509491|7515813|-22.464|-68.9077|
P-302|-|506920|7518160|-22.4428|-68.9327|
P-303|-|507663|7519117|-22.4341|-68.9255|
P-305|-|505509|7516879|-22.4544|-68.9465|
P-306|-|505530|7516588|-22.457|-68.9462|
P-307|-|506743|7515942|-22.4628|-68.9345|
P-308|-|506849|7515971|-22.4626|-68.9334|
P-311|-|506616|7516832|-22.4548|-68.9357|
P-312|-|506370|7516847|-22.4546|-68.9381|
P-317|-|508584|7517238|-22.4511|-68.9166|
PR-130|-|508915|7518959|-22.4356|-68.9134|
PR-135|-|508330|7519063|-22.4346|-68.919|
PR-136|-|508172|7519092|-22.4344|-68.9206|
PR-138|-|507722|7519194|-22.4334|-68.925|
PR-142|-|507518|7518232|-22.4421|-68.9269|
PR-143|-|507495|7518108|-22.4432|-68.9272|
PR-144|-|507477|7518133|-22.443|-68.9273|
PR-146|-|507465|7517941|-22.4448|-68.9274|
PR-149|-|508214|7517474|-22.449|-68.9202|
PR-152|-|508148|7517305|-22.4505|-68.9208|
PR-153|-|508166|7517301|-22.4505|-68.9206|
PR-154|-|508104|7517140|-22.452|-68.9212|
PR-159|-|507747|7516966|-22.4536|-68.9247|
PR-160|-|507773|7516940|-22.4538|-68.9244|
PR-165|-|507446|7515681|-22.4652|-68.9276|
PR-167|-|507542|7515305|-22.4686|-68.9267|
PR-168|-|507248|7515111|-22.4703|-68.9295|
PR-170|-|507680|7515640|-22.4655|-68.9253|
PR-171|-|507676|7515839|-22.4637|-68.9254|
PR-178|-|507755|7518635|-22.4385|-68.9246|
PR-179|-|507564|7518598|-22.4388|-68.9265|
PR-188|-|507554|7515110|-22.4703|-68.9266|
PR-195|-|507506|7514887|-22.4723|-68.927|
PR-208|-|507333|7517367|-22.4499|-68.9287|
PR-215|-|507280|7514230|-22.4783|-68.9292|
PR-218|-|507403|7514558|-22.4753|-68.928|
PR-224|-|507813|7518709|-22.4378|-68.9241|
PR-234|-|508117|7518408|-22.4405|-68.9211|
PR-235|-|507969|7516640|-22.4565|-68.9225|
PR-237|-|507768|7515865|-22.4635|-68.9245|
PR-240|-|507840|7512950|-22.4898|-68.9238|
PR-241|-|508186|7512963|-22.4897|-68.9204|
PR-242|-|508235|7513195|-22.4876|-68.9199|
PR-243|-|508474|7513417|-22.4856|-68.9176|
PR-245|-|508736|7513583|-22.4841|-68.9151|
PR-246|-|508883|7513720|-22.4829|-68.9136|
PR-247|-|509120|7513964|-22.4807|-68.9113|
PR-257|-|507847|7512958|-22.4898|-68.9237|
PR-267|-|507675|7516173|-22.4607|-68.9254|
PR-280|-|506405|7517913|-22.445|-68.9378|
PR-291|-|508927|7517875|-22.4453|-68.9132|
PR-304|-|507630|7518947|-22.4357|-68.9258|
PR-309|-|506407|7517853|-22.4456|-68.9377|
