X,Y,Name,description
-71.5492054040606,-33.0230086245,Marca de posición sin título,
-71.5498667184444,-33.0227287775708,Marca de posición sin título,
-71.5509919256778,-33.0225344798331,Marca de posición sin título,
-71.5595077038896,-33.0206768194408,Marca de posición sin título,
-71.557468312338,-33.0216263975686,Marca de posición sin título,
-71.5561930913825,-33.0218218253299,Marca de posición sin título,
-71.5531769542803,-33.02240805617,Marca de posición sin título,
-71.5477386072956,-33.0224206177652,Marca de posición sin título,
-71.546893908232,-33.019209926609,Marca de posición sin título,
-71.5461002415819,-33.0174176581733,Marca de posición sin título,
-71.5449223069531,-33.015836526687,Marca de posición sin título,
-71.5433208380666,-33.0135238484297,Marca de posición sin título,
-71.5429369388898,-33.0116797495216,Marca de posición sin título,
-71.5426007836325,-33.00982920847,Marca de posición sin título,
-71.5444557408725,-33.0088338828946,Marca de posición sin título,
-71.5455980991585,-33.0084140270685,Marca de posición sin título,
-71.545363218361,-33.0044476349038,Marca de posición sin título,
-71.5442451881737,-33.0025442098286,Marca de posición sin título,
-71.5442145152948,-33.0021665591376,Marca de posición sin título,
-71.5432331953037,-33.0011152446409,Marca de posición sin título,
-71.5427090027637,-33.0003031924541,Marca de posición sin título,
-71.5397423506605,-33.0015390767152,Marca de posición sin título,
-71.539482453993,-33.001445915266,Marca de posición sin título,
-71.5274748081063,-33.0064297211417,Marca de posición sin título,
-71.5289144528775,-33.00612694113,Marca de posición sin título,
-71.5416485056225,-33.0096100568983,Marca de posición sin título,
-71.5418095743995,-33.0114214708696,Marca de posición sin título,
-71.5426997260396,-33.0145390505385,Marca de posición sin título,
-71.5433832600955,-33.0167868541113,Marca de posición sin título,
-71.544402503359,-33.0203960656294,Marca de posición sin título,
-71.5450448074408,-33.0228635859173,Marca de posición sin título,
-71.5288689667072,-33.029401156488,Marca de posición sin título,
-71.5292251346925,-33.0263895933628,Marca de posición sin título,
-71.5242195455474,-33.0262838015317,Marca de posición sin título,
-71.5042074752224,-33.010347561042,Marca de posición sin título,
-71.5033246143165,-33.0112284241231,Marca de posición sin título,
-71.5028565528141,-33.0108657793447,Marca de posición sin título,
-71.5028785790388,-33.0115652979869,Marca de posición sin título,
-71.5008283760826,-33.0137701425062,Marca de posición sin título,
-71.49968752819,-33.0152389080958,Marca de posición sin título,
-71.4998936729171,-33.0170739701764,Marca de posición sin título,
-71.5007262724373,-33.0177686503051,Marca de posición sin título,
-71.5021982420579,-33.0202227744007,Marca de posición sin título,
-71.502807212274,-33.0205622122495,Marca de posición sin título,
-71.5042642347973,-33.0223882352283,Marca de posición sin título,
-71.5051025744062,-33.0226260668241,Marca de posición sin título,
-71.5086445790922,-33.0238910257854,Marca de posición sin título,
-71.5099986307006,-33.0235256171915,Marca de posición sin título,
-71.5125461112805,-33.0220213728185,Marca de posición sin título,
-71.5131741177805,-33.0219241674695,Marca de posición sin título,
-71.5160819657018,-33.0211628743829,Marca de posición sin título,
-71.5156166268188,-33.0210257786783,Marca de posición sin título,
-71.5173589961361,-33.0210337327121,Marca de posición sin título,
-71.5185813544468,-33.0205980817875,Marca de posición sin título,
-71.5206607325199,-33.0203087287124,Marca de posición sin título,
-71.5220004181336,-33.0211261547251,Marca de posición sin título,
-71.5218555879411,-33.0207200557852,Marca de posición sin título,
-71.52210586601,-33.0228029822451,Marca de posición sin título,
-71.5194490505287,-33.0243315925715,Marca de posición sin título,
-71.5190220296878,-33.0256825599884,Marca de posición sin título,
-71.5176525911976,-33.0264498415571,Marca de posición sin título,
-71.5014057014481,-33.012249753831,Marca de posición sin título,
-71.5004450672343,-33.0134772706715,Marca de posición sin título,
-71.501333637814,-33.0115929693928,Marca de posición sin título,
-71.5014441092151,-33.0185337197848,Marca de posición sin título,
-71.5021620737945,-33.0197005238105,Marca de posición sin título,
