mode;code;name;latitude;longitude;services
3;PH762;Benozzo Gozzoli Esq Pirámide;-33.50356973;-70.62933271;E04
3;PH763;Benozzo Gozzoli Esq Ureta Cox;-33.5007346;-70.62959175;E04
3;PH764;Benozzo Gozzoli Esq Ingeniero Budge;-33.49778213;-70.62985933;E04
3;PH765;MDe Toro Y Zambrano Esq Prensa;-33.49416346;-70.63346187;E04
3;PH766;MDe Toro Y Zambrano Esq Alvarez De Toledo;-33.49234309;-70.6333631;E04
3;PH767;MDe Toro Y Zambrano Esq Alc P Alarcón;-33.49042353;-70.63326247;E04
3;PH769;Sierra Bella Esq Gandarillas;-33.48556199;-70.63263307;E04
3;PH77;Card Raúl Silva H Esq Av Frei Montalva;-33.51969594;-70.69570978;105-120-125-321-345-H03-I05
3;PH774;El Pinar Esq Río Maullín;-33.49168084;-70.62680663;H09
3;PH775;El Pinar Esq Av Las Industrias;-33.49164397;-70.62892629;H09
3;PH776;Varas Mena Esq Avenida Estadio;-33.51071623;-70.61386734;H14
3;PH779;Benozzo Gozzoli Esq Pintor Velásquez;-33.50673;-70.6290367;E04
3;PH78;Card Raúl Silva H Esq Pasaje 23 Sur;-33.51760028;-70.69464608;105-120-121-125-321-345-H03
3;PH780;Moscú Esq Sebastopol;-33.51600236;-70.6405258;H14
3;PH781;Sebastopol Esq Macaroff;-33.51582184;-70.64257874;H14
3;PH782;Sebastopol Esq León Tolstoi;-33.51536007;-70.64475553;H14
3;PH783;Parada 6 Paradero 16 Santa Rosa;-33.51707575;-70.63710084;H14
3;PH784;Sebastopol Esq Macaroff;-33.51587065;-70.64297801;H14
3;PH785;Parada 5 (M) Bio Bío;-33.47881615;-70.6422027;385-E04
3;PH786;Rivas Esq San Francisco;-33.47880978;-70.64404281;E04
3;PH787;Santa Clara Esq Varas Mena;-33.51165555;-70.64528829;H14
3;PH788;Tanembaum Esq Santa Clara;-33.51348606;-70.64530142;H14
3;PH79;Card Raúl Silva H Esq Managua;-33.51629268;-70.69398538;105-120-121-125-321-345-H03
3;PH790;Décima Avenida Esq 2ª Transversal;-33.51233251;-70.66212793;226
3;PH791;Pintor Cicarelli Esq Artemio Gutiérrez;-33.47628551;-70.63238369;385-D07-E04
3;PH792;Parada 3 Paradero 10 Gran Avenida;-33.49790243;-70.65344542;201-214-223-226-229-271-301-H02-H05
3;PH794;Maipú Esq Balmaceda;-33.53128832;-70.69672217;G09-H12
3;PH795;Gabriela Mistral Esq Balmaceda;-33.52900888;-70.70116776;105-121-125-223-329-H12
3;PH796;Gabriela Mistral Esq Balmaceda;-33.52938665;-70.70123977;105-125-329-H12
3;PH797;Santa Elena Esq Carlos Fernández;-33.47325476;-70.62625768;511
3;PH799;Décima Avenida Esq 1ª Transversal;-33.51350242;-70.6582746;226
3;PH8;Av Departamental Esq Pasaje 1;-33.50093904;-70.6644074;102-107-108-H05c
3;PH80;Card Raúl Silva H Esq AvPdte SAllende;-33.51416063;-70.69294259;105-120-121-125-321-345-H03
3;PH800;Parada 3 Est Lo Espejo;-33.51357805;-70.68540595;119-329
3;PH801;Gabriela Mistral Esq Pedro Prado;-33.52746899;-70.70035157;105-121-125-223-329-H12
3;PH803;Ferrari Esq Centenario;-33.53305832;-70.69588453;119-223-G09-H03-H12
3;PH81;Card Raúl Silva H Esq Pasaje 14 Sur;-33.51324706;-70.6924834;105-120-121-125-345-H03
3;PH82;Card Raúl Silva H Esq Pasaje 12 Sur;-33.51201084;-70.69187798;105-120-125-345-H03
3;PH83;Card Raúl Silva H Esq Pasaje 7 Sur;-33.5103445;-70.69107043;105-120-121-125-345-H03
3;PH84;Card Raúl Silva H Esq Buenaventura;-33.50743335;-70.6896251;105-120-121-125-345-H03
3;PH85;Buenaventura Esq El Riel;-33.50658246;-70.69118024;105-120-125-H03
3;PH86;Card Raúl Silva H Esq Avenida Lo Ovalle;-33.50375594;-70.69080232;105-120-125-H03
3;PH87;Raúl Silva Henríquez Esq Unión Ferroviaria;-33.50070125;-70.6893005;105-120-125-H12
3;PH88;Raúl Silva Henríquez Esq Isla De Pascua;-33.49785274;-70.68788892;105-120-125-H12
3;PH89;Raúl Silva Henríquez Esq Centro América;-33.49422592;-70.6866776;105-120-125-H12
3;PH9;Av Departamental Esq 3ª Transversal;-33.50195486;-70.66061624;102-107-108-H05c
