stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PR-101,417,Alfonso Nespolo / Alcalde Oscar Belmar,Punto Referencia 101,-18.49987049,-70.2974176,,,0,,,0
PR-100,416,El Tepual / Futaleufu,Punto Referencia 100,-18.49842991,-70.29505553,,,0,,,0
PFA-40,246,Santa Maria / Colo Colo,Paradero Formal Antiguo 40,-18.46658043,-70.30103718,,,0,,,0
PFA-39,352,Panamericana Norte /  ASOCAPEC,Paradero Formal Antiguo 39,-18.49903605,-70.28528206,,,0,,,0
PFA-37,69,Alcalde Edmundo Flores / Luis Crignola,Paradero Formal Antiguo 37,-18.49160028,-70.29613068,,,0,,,0
PFA-35,363,Santa María / Renato Rocca,Paradero Formal Antiguo 35,-18.46100313,-70.29612291,,,0,,,0
PFA-36,105,Alcalde Edmundo Flores /  Arturo Cruz,Paradero Formal Antiguo 36,-18.49135346,-70.29582565,,,0,,,0
PFA-31,263,Alejandro Azolas / Tte Martín Bravo,Paradero Formal Antiguo 31,-18.46494732,-70.29177832,,,0,,,0
PFA-28,43,21 de Mayo / San Martin,Paradero Formal Antiguo 28,-18.48202404,-70.31501839,,,0,,,0
PFA-29,268,Alejandro Azolas / Canteras,Paradero Formal Antiguo 29,-18.45706334,-70.28297555,,,0,,,0
PFA-1,19,Linderos / Juan de Dios Flores,Paradero Formal Antiguo 1,-18.44649665,-70.28524762,,,0,,,0
PFA-9,242,Panamericana Norte / Francisco Bilbao,Paradero Formal Antiguo 9,-18.46261559,-70.29783609,,,0,,,0
PFA-7,270,Capitán Ávalos / Los Álamos,Paradero Formal Antiguo 7,-18.47758571,-70.28331154,,,0,,,0
PFA-6,243,Santa Maria / Javiera Carrera,Paradero Formal Antiguo 6,-18.46425373,-70.29936017,,,0,,,0
PFA-4,229,Las Brisas / Capitan Avalos,Paradero Formal Antiguo 4,-18.48626718,-70.28456115,,,0,,,0
PFA-2,540,Bernardo O'Higgins / Cristóbal Colón,Paradero Formal Antiguo 2,-18.47680998,-70.31667016,,,0,,,0
PFA-84,342,Rafael Sotomayor / San Ignacio de Loyola,Paradero Formal Antiguo 84,-18.50025737,-70.30942237,,,0,,,0
PFA-83,293,Rafael Sotomayor / San Ignacio de Loyola,Paradero Formal Antiguo 83,-18.5001044,-70.30921938,,,0,,,0
T-Etrapas,546,Terminal Sociedad Anónima Cerrada Etrapas S. A.,Terminal,-18.40549218,-70.2972458,,,0,,,0
PFA-71,280,Santiago Flores / Parada 1,Paradero Formal Antiguo 71,-18.50904752,-70.27231015,,,0,,,0
PFA-72,281,Carretera Panamericana Sur / Santiago Flores,Paradero Formal Antiguo 72,-18.50937227,-70.27811991,,,0,,,0
PFA-70,279,Santiago Flores  / Parada 2,Paradero Formal Antiguo 70,-18.50929841,-70.26935384,,,0,,,0
PFA-69,278,Santiago Flores / Parada 3,Paradero Formal Antiguo 69,-18.50945359,-70.26788222,,,0,,,0
PFA-65,305,El Tranque / Tambo Quemado,Paradero Formal Antiguo 65,-18.49579194,-70.28670581,,,0,,,0
PFA-66,77,Panamericana Norte / Puerta principal ASOAGRO,Paradero Formal Antiguo 66,-18.49672376,-70.2865255,,,0,,,0
PFA-62,375,21 de Mayo / General Lagos,Paradero Formal Antiguo 127,-18.48070002,-70.31640703,,,0,,,0
PFA-53,310,Diego Portales / Pedro de la Ona,Paradero Formal Antiguo 53,-18.47621844,-70.30043688,,,0,,,0
PFA-59,275,Loa / Codpa,Paradero Formal Antiguo 59,-18.47313405,-70.29139608,,,0,,,0
PFA-43,530,Coihueco / Nora Iglesias,Paradero Formal Antiguo 43,-18.49363233,-70.30592661,,,0,,,0
PFA-45,251,Brasil / Panamericana Norte,Paradero Formal Antiguo 45,-18.46795354,-70.30299304,,,0,,,0
T-7y8,545,Terminal Asoc. G. Dueños Tax/Bus Línea 7  variante 7A 7 B Arica,Terminal,-18.50977001,-70.26660569,,,0,,,0
PI-110,83,Chapiquiña / Bremen,Paradero Informal 110,-18.4743648,-70.29447173,,,0,,,0
PI-111,120,Loa / Chapiquiña,Paradero Informal 111,-18.47195728,-70.29207742,,,0,,,0
PI-112,17,Chapiquiña / Francisco Bilbao,Paradero Informal 112,-18.46925688,-70.28981662,,,0,,,0
PI-113,15,Francisco  Bilbao / Chapiquiña,Paradero Informal 113,-18.46927082,-70.28951919,,,0,,,0
PI-104,142,Tucapel / Francisco Bilbao,Paradero Informal 104,-18.47103215,-70.28717118,,,0,,,0
PI-103,152,Tucapel / Manuel Bulnes,Paradero Informal 103,-18.47087159,-70.28671355,,,0,,,0
PI-106,121,Loa / Codpa,Paradero Informal 106,-18.47326422,-70.29098536,,,0,,,0
PI-108,177,Diego Portales / Guallatire,Paradero Informal 108,-18.47749107,-70.29943765,,,0,,,0
PI-107,89,Diego Portales / Chapiquiña,Paradero Informal 107,-18.47887737,-70.29796694,,,0,,,0
PI-109,42,Chapiquiña / Belen,Paradero Informal 109,-18.47731298,-70.29649067,,,0,,,0
PI-101,71,Tucapel / Esteban Rios,Paradero Informal 101,-18.47250341,-70.28799255,,,0,,,0
