stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
95119,,Pedro De Valdivia / Hochsteller - Norte,,-38.72855843,-72.61003804,,,0,,,0
95118,,Pedro De Valdivia / Espana,,-38.72911595,-72.6089053,,,0,,,0
95117,,Pedro De Valdivia / Francia - Sur,,-38.72975489,-72.6071451,,,0,,,0
95116,,Pedro De Valdivia / Trizano,,-38.73041283,-72.60541441,,,0,,,0
95115,,Pedro De Valdivia / Cherquenco,,-38.73061488,-72.60511604,,,0,,,0
95114,,Pedro De Valdivia / Cherquenco - Sur,,-38.73109963,-72.60457878,,,0,,,0
95391,,Los Avellanos / Las Begonias - Oriente,,-38.76371002,-72.75765624,,,0,,,0
95113,,Pedro De Valdivia / Gral Pinto Puelma,,-38.73185324,-72.60338647,,,0,,,0
95390,,Los Raulies / Los Alerces - Sur,,-38.76322167,-72.755953,,,0,,,0
95112,,Gabriela Mistral / Andes,,-38.72921619,-72.62037213,,,0,,,0
95111,,Gabriela Mistral / Las Delicias,,-38.72898532,-72.61829317,,,0,,,0
95110,,Recreo / Gabriela Mistral,,-38.72864774,-72.61521468,,,0,,,0
95398,,S - 30 / Los Portones - Norte,,-38.76806336,-72.76843206,,,0,,,0
95399,,Santa Maria / La Estancia - Oriente,,-38.76496471,-72.77573207,,,0,,,0
95396,,S - 30 / El Portico - Norte,,-38.76778911,-72.77087908,,,0,,,0
95397,,S - 30 - Oriente / El Pozo,,-38.76716273,-72.77311131,,,0,,,0
95394,,S - 30 / Los Aguiluchos - Norte,,-38.76726874,-72.76386832,,,0,,,0
95395,,S - 30 / Sergio Aguilera Drago - Norte,,-38.76769816,-72.76609729,,,0,,,0
95393,,3 Poniente / 2 Norte - Oriente,,-38.76544567,-72.75740231,,,0,,,0
95817,,Castanos / Raulies,,-38.67878912,-72.505618,,,0,,,0
95818,,Bernardo Ohiggins / Alexandro Urrutia,,-38.67706098,-72.50399241,,,0,,,0
95815,,Alexandro Urrutia / caupolicán,,-38.67582954,-72.50331189,,,0,,,0
95819,,Huerfanos / Bandera - Oriente,,-38.71658453,-72.55671477,,,0,,,0
95821,,B Urrutia / Temuco,,-38.72841921,-72.57659593,,,0,,,0
95820,,Huerfanos / Moneda - Oriente,,-38.71457184,-72.55697668,,,0,,,0
95825,,7 Norte / 8 Oriente - Oriente,,-38.72031577,-72.56010688,,,0,,,0
95824,,Ziem / 4 Oriente - Oriente,,-38.72269843,-72.56266063,,,0,,,0
95823,,Ziem / Centenario - Sur,,-38.72402419,-72.56759615,,,0,,,0
95822,,Ziem / Fresia - Sur,,-38.72468087,-72.57063133,,,0,,,0
95826,,Siete Norte / Nahuelbuta - Oriente,,-38.71803323,-72.56090355,,,0,,,0
95827,,Cacique Lemunao / Cacique Colipan - Sur,,-38.71595717,-72.56131791,,,0,,,0
95828,,Huerfanos / Moneda - Poniente,,-38.71450571,-72.55726664,,,0,,,0
95830,,1 Norte / Braulio Sandoval - Poniente,,-38.7197766,-72.56422045,,,0,,,0
95832,,Rudencio Ortega / Kolossa,,-38.7243219,-72.5731054,,,0,,,0
95831,,Valparaiso / Jose Reyes Morales,,-38.72603932,-72.56851695,,,0,,,0
95834,,Rudecindo Ortega / Cacique Lienan,,-38.71175231,-72.55942211,,,0,,,0
95833,,Rudecindo Ortega / Cacique Melivilu,,-38.71355049,-72.56140343,,,0,,,0
95836,,Nahuelbuta / 8 Norte - Norte,,-38.71818669,-72.560574,,,0,,,0
95835,,Huerfanos / Cruce,,-38.71257098,-72.55748541,,,0,,,0
95300,,Pedro De Valdivia / Dario Salas - Norte,,-38.73294975,-72.60140135,,,0,,,0
95308,,Manuel Recabarren / Leonardo Da Vinci - Norte,,-38.7545371,-72.62964631,,,0,,,0
95305,,Manuel Recabarren / Leonardo Da Vinci - Sur,,-38.75497565,-72.62993057,,,0,,,0
95306,,Manuel Recabarren / Venecia - Norte,,-38.75414913,-72.62177293,,,0,,,0
95303,,Manuel Recabarren / Monza - Sur,,-38.75456155,-72.62276027,,,0,,,0
95304,,Manuel Recabarren / Los Pioneros - Norte,,-38.75458977,-72.6320509,,,0,,,0
95301,,Las Encinas / Bosque Grande - Norte,,-38.74860397,-72.62449172,,,0,,,0
95302,,Manuel Recabarren / Los Pioneros - Sur,,-38.75503562,-72.6328771,,,0,,,0
95803,,Valparaiso / Rudencio Ortega,,-38.7212934,-72.5703527,,,0,,,0
95802,,Nahuelbuta / 4 Norte,,-38.71854356,-72.56288773,,,0,,,0
95801,,Nahuelbuta / 8 Norte - Sur,,-38.71828249,-72.56050491,,,0,,,0
95800,,Nahuelbuta / 12 Norte,,-38.71805175,-72.55788061,,,0,,,0
95808,,Barros Arana / Supermercado Lider,,-38.73199352,-72.57330313,,,0,,,0
95809,,Barros Arana / Bascunan Sta Maria,,-38.73071439,-72.57168687,,,0,,,0
95310,,Las Encinas / Bosque Grande - Sur,,-38.74897963,-72.62431887,,,0,,,0
95311,,Las Encinas / Bucalemu - Norte,,-38.74801429,-72.62690417,,,0,,,0
95804,,Ecuador / Kolossa - Sur,,-38.72280652,-72.57365732,,,0,,,0
95805,,21 De Mayo / Brasil,,-38.72394264,-72.57477604,,,0,,,0
95806,,Bascuna Sta Maria / David Perry,,-38.72638708,-72.573344,,,0,,,0
95807,,David Perry / Temuco,,-38.72858925,-72.57384344,,,0,,,0
95317,,Manuel Recabarren / Alejandro Volta - Sur,,-38.7553288,-72.63594164,,,0,,,0
95318,,Manuel Recabarren / Mercurio - Sur,,-38.755669,-72.63714462,,,0,,,0
95319,,Manuel Recabarren / Marte - Norte,,-38.7556505,-72.63825221,,,0,,,0
95312,,Las Encinas / Bucalemu - Sur,,-38.74829307,-72.6267301,,,0,,,0
95313,,Manuel Recabarren / Venecia - Sur,,-38.75449113,-72.62209153,,,0,,,0
95314,,Manuel Recabarren / Imperiali - Sur,,-38.75471094,-72.62466436,,,0,,,0
95315,,Manuel Recabarren / Mantua - Sur,,-38.7547957,-72.62573408,,,0,,,0
95309,,Las Encinas / Las Fucsias,,-38.75078624,-72.61698795,,,0,,,0
95812,,Barros Arana / Melinka - Oriente,,-38.7252133,-72.56242323,,,0,,,0
95811,,Barros Arana / Valparaiso,,-38.72814712,-72.56744928,,,0,,,0
95814,,Barros Arana / Huerfanos,,-38.7184319,-72.55679987,,,0,,,0
95813,,Barros Arana / 5 Norte - Oriente,,-38.72312004,-72.56022861,,,0,,,0
95810,,Barros Arana / Daniel De La Vega,,-38.72937325,-72.56968273,,,0,,,0
95758,,Sausalito - Norte / Trafanrulli,,-38.76522797,-72.60646341,,,0,,,0
95759,,Villa Alegre/ Bombero Carlos Escobar,,-38.76420532,-72.6069663,,,0,,,0
95756,,Aillarehue / Aillacara,,-38.76853168,-72.60187675,,,0,,,0
95757,,Sausalito - Norte / Millelche,,-38.76674987,-72.60504334,,,0,,,0
