route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
89328,9806,244704S9806P129,Vista Verde,,0,,244704
89328,9806,244704S9806P130,Vista Verde,,0,,244704
89328,9806,244704S9806P131,Vista Verde,,0,,244704
89328,9806,244704S9806P132,Vista Verde,,0,,244704
89328,9806,244704S9806P133,Vista Verde,,0,,244704
89328,9806,244704S9806P134,Vista Verde,,0,,244704
89328,9806,244704S9806P135,Vista Verde,,0,,244704
89328,9806,244704S9806P136,Vista Verde,,0,,244704
89328,9806,244704S9806P137,Vista Verde,,0,,244704
89328,9806,244704S9806P138,Vista Verde,,0,,244704
89328,9806,244704S9806P139,Vista Verde,,0,,244704
89328,9806,244704S9806P140,Vista Verde,,0,,244704
89328,9806,244704S9806P141,Vista Verde,,0,,244704
89328,9806,244704S9806P142,Vista Verde,,0,,244704
89328,9806,244704S9806P143,Vista Verde,,0,,244704
89328,9806,244704S9806P144,Vista Verde,,0,,244704
89328,9806,244704S9806P145,Vista Verde,,0,,244704
89328,9806,244704S9806P146,Vista Verde,,0,,244704
89328,9806,244704S9806P147,Vista Verde,,0,,244704
89328,9806,244704S9806P148,Vista Verde,,0,,244704
89328,9806,244704S9806P149,Vista Verde,,0,,244704
89328,9806,244704S9806P150,Vista Verde,,0,,244704
89328,9806,244704S9806P151,Vista Verde,,0,,244704
89328,9806,244704S9806P152,Vista Verde,,0,,244704
89328,9806,244704S9806P153,Vista Verde,,0,,244704
89328,9806,244704S9806P154,Vista Verde,,0,,244704
89328,9806,244704S9806P155,Vista Verde,,0,,244704
89328,9983,244704S9983P1,Vista Verde,,0,,244704
89328,9983,244704S9983P2,Vista Verde,,0,,244704
89328,9983,244704S9983P3,Vista Verde,,0,,244704
89328,9983,244704S9983P4,Vista Verde,,0,,244704
89328,9983,244704S9983P5,Vista Verde,,0,,244704
89328,9983,244704S9983P6,Vista Verde,,0,,244704
89328,9983,244704S9983P7,Vista Verde,,0,,244704
89328,9983,244704S9983P8,Vista Verde,,0,,244704
89328,9983,244704S9983P9,Vista Verde,,0,,244704
89328,9983,244704S9983P10,Vista Verde,,0,,244704
89328,9983,244704S9983P11,Vista Verde,,0,,244704
89328,9983,244704S9983P12,Vista Verde,,0,,244704
89328,9983,244704S9983P13,Vista Verde,,0,,244704
89328,9983,244704S9983P14,Vista Verde,,0,,244704
89328,9983,244704S9983P15,Vista Verde,,0,,244704
89328,9983,244704S9983P16,Vista Verde,,0,,244704
89328,9983,244704S9983P17,Vista Verde,,0,,244704
89328,9983,244704S9983P18,Vista Verde,,0,,244704
89328,9983,244704S9983P19,Vista Verde,,0,,244704
89328,9983,244704S9983P20,Vista Verde,,0,,244704
89328,9983,244704S9983P21,Vista Verde,,0,,244704
89328,9983,244704S9983P22,Vista Verde,,0,,244704
89328,9983,244704S9983P23,Vista Verde,,0,,244704
89328,9983,244704S9983P24,Vista Verde,,0,,244704
89328,9983,244704S9983P25,Vista Verde,,0,,244704
89328,9983,244704S9983P26,Vista Verde,,0,,244704
89328,9983,244704S9983P27,Vista Verde,,0,,244704
89328,9983,244704S9983P28,Vista Verde,,0,,244704
89328,9983,244704S9983P29,Vista Verde,,0,,244704
89328,9983,244704S9983P30,Vista Verde,,0,,244704
89328,9983,244704S9983P31,Vista Verde,,0,,244704
89328,9983,244704S9983P32,Vista Verde,,0,,244704
89328,9983,244704S9983P33,Vista Verde,,0,,244704
89328,9983,244704S9983P34,Vista Verde,,0,,244704
89328,9983,244704S9983P35,Vista Verde,,0,,244704
89328,9983,244704S9983P36,Vista Verde,,0,,244704
89328,9983,244704S9983P37,Vista Verde,,0,,244704
89328,9983,244704S9983P38,Vista Verde,,0,,244704
89328,9983,244704S9983P39,Vista Verde,,0,,244704
89328,9983,244704S9983P40,Vista Verde,,0,,244704
89328,9983,244704S9983P41,Vista Verde,,0,,244704
89328,9983,244704S9983P42,Vista Verde,,0,,244704
89328,9983,244704S9983P43,Vista Verde,,0,,244704
89328,9983,244704S9983P44,Vista Verde,,0,,244704
89328,9983,244704S9983P45,Vista Verde,,0,,244704
89328,9983,244704S9983P46,Vista Verde,,0,,244704
89328,9983,244704S9983P47,Vista Verde,,0,,244704
89328,9983,244704S9983P48,Vista Verde,,0,,244704
89328,9983,244704S9983P49,Vista Verde,,0,,244704
89328,9983,244704S9983P50,Vista Verde,,0,,244704
89328,9983,244704S9983P51,Vista Verde,,0,,244704
89328,9983,244704S9983P52,Vista Verde,,0,,244704
89328,9983,244704S9983P53,Vista Verde,,0,,244704
89328,9983,244704S9983P54,Vista Verde,,0,,244704
89328,9983,244704S9983P55,Vista Verde,,0,,244704
89328,9983,244704S9983P56,Vista Verde,,0,,244704
89328,9983,244704S9983P57,Vista Verde,,0,,244704
89328,9983,244704S9983P58,Vista Verde,,0,,244704
89328,9983,244704S9983P59,Vista Verde,,0,,244704
89328,9983,244704S9983P60,Vista Verde,,0,,244704
89328,9983,244704S9983P61,Vista Verde,,0,,244704
89328,9983,244704S9983P62,Vista Verde,,0,,244704
89328,9983,244704S9983P63,Vista Verde,,0,,244704
89328,9983,244704S9983P64,Vista Verde,,0,,244704
89328,9983,244704S9983P65,Vista Verde,,0,,244704
89328,9983,244704S9983P66,Vista Verde,,0,,244704
89328,9983,244704S9983P67,Vista Verde,,0,,244704
89328,9983,244704S9983P68,Vista Verde,,0,,244704
89328,9983,244704S9983P69,Vista Verde,,0,,244704
89328,9983,244704S9983P70,Vista Verde,,0,,244704
89328,9983,244704S9983P71,Vista Verde,,0,,244704
89328,9983,244704S9983P72,Vista Verde,,0,,244704
