iLat;iLon;stops;services;route_segments;puntos
11;9;P-185|PR-267;AC_I|AY1_I|A_I|B_I|C_I|D_I|T_I|X_I|ZY1_I|Z_I;36-37|12-13|36-37|18|29-30|13|34-35|14|17|34;
11;10;N-229|N-233|P-270;AC_I|AC_R|AY1_I|A_I|T_I;37-40-41|8-9|13|37|35;
12;1;N-22|P-306;FY1_I|FY1_R|F_I|F_R;4|5|13|20;
12;2;N-28|N-30|N-31|P-283;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R;29|21|5|1|29|17|4|5|13|20;
12;3;P-262;;;
12;4;P-275;T_I|T_R;22|17;
12;6;N-101|N-120|N-122|P-183;B_I|B_R|C_I|C_R;12-13|10-11|24-25-26-27|34-35-36-37;
12;7;N-127|N-155;B_I|B_R|C_I|C_R|D_I|D_R|ZY1_I|Z_I|Z_R;13-14-15-16-17|6-7-8-9-10|27-28|33-34|11-12|2-3|15-16|32-33|1-2;
12;8;N-176|N-183|N-184|P-174|P-175|P-196;AC_R|A_R|B_I|B_R|C_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_R|X_R|ZY1_I|Z_I|Z_R;12|8|17|5-6|31-32|12|1-2|13-14-16|7|12|21|8-9-11|19-20-22|9|7|24|16|33|0-1;
12;9;P-161|P-162|P-184|P-236;AC_R|A_R|B_I|D_I|E_I|F_R|M_I|T_R|X_I|ZY1_I|Z_I;11-12|8|17-18|12-13|14-15-16|9-10-11|20-21-22|5-6-7|13-14|16-17|33-34;
12;10;N-235|P-293|P-315|PR-235;AC_I|AC_R|AY1_I|A_I|A_R|T_I|T_R|X_I;37-38-39-40|9-10-11|13-14|37-38|7-8|35-36|4-5|11-12-13;
12;11;;AY1_I|A_I|A_R;14|38|7;
13;0;N-5|N-6;ZY1_I|ZY1_R|Z_I|Z_R;12-13|0-1|29-30|3-4;
13;1;N-11|N-9|P-305;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R|T_I|T_R|ZY1_I|ZY1_R|Z_I|Z_R;27-28|22-23|3-4|2-3|27-28|18-19|4|5|13|20|19-20-21|18-19-20|13|0|30|3;
13;2;N-15|N-17|N-21|N-26|P-261;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|T_I|T_R|ZY1_I|ZY1_R|Z_I|Z_R;28-29|21-22|4-5|1-2|28-29|17-18|19-21|18-20|13|0|30|3;
13;3;N-38|N-39|N-42;T_I|T_R|ZY1_I|ZY1_R|Z_I|Z_R;19-21-22|17-18-20|13|0|30|3;
13;4;N-51|P-260|P-276|P-312;T_I|T_R|ZY1_I|ZY1_R|Z_I|Z_R;18-19-22|17-20-21|13|0|30|3;
13;5;N-66|N-71|N-73|N-81|P-311;C_I|C_R|ZY1_I|ZY1_R|Z_I|Z_R;22-23|38-39|13|0|30|3;
13;6;N-100|N-112|N-92|P-182|P-197;B_I|B_R|C_I|C_R|ZY1_I|ZY1_R|Z_I|Z_R;12|11|23-24|37-38|13|0|30|3;
13;7;N-125|N-158|P-212|P-214;D_I|D_R|ZY1_I|Z_I|Z_R;10-11|3-4|13-14-15|30-31-32|2-3;
13;8;N-187;E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_R;13|7|12|21|8|19|9|24;
13;9;N-219|P-158|PR-160;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_R|ZY1_R|Z_I|Z_R;23|26|6|23|22|12|8|13|22|7|18|10|25|16|12|19;
13;10;P-157;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|T_R|X_I|X_R|ZY1_R|Z_I|Z_R;22-23|26-27|6-7|22-23|22-23|11-12|8-9|13-14|22-23|6-7|17-18|10-11|36|4|11|25-26|16-17|11-12|19-20;
13;11;N-251|P-287|P-292;AY1_I|A_I|A_R;14-15-16-17-18|38-39-40-41-42|5-6-7;
13;12;;AY1_I|A_I;18|42;
14;0;N-1|N-2|N-3|N-4;ZY1_I|ZY1_R|Z_I|Z_R;9-10-11-12|1-2-3-4|26-27-28-29|4-5-6-7;
14;1;N-13;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R|ZY1_I|ZY1_R|Z_I|Z_R;26-27|23-24|2-3|3-4|26-27|19-20|3-4|5-6|12-13|20-21|8-9|4-5|25-26|7-8;
14;2;N-16|N-18;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R;26|24|2|4|26|20|3|6|12|21;
14;3;N-34|N-36;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R;26|24|2|4|26|20|3|6|12|21;
14;4;N-48|N-50|N-54|P-277;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R|T_I|T_R;26|24|2|4|26|20|3|6|12|21|17-18|21-22;
14;5;N-70|N-72|N-74|P-295;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|C_I|C_R|FY1_I|FY1_R|F_I|F_R;26|24|2|4|26|20|21-22|39-40|3|6|12|21;
14;6;N-94|P-198|P-282|P-296;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|B_I|B_R|FY1_I|FY1_R|F_I|F_R;26|24|2|4|26|20|11-12|11-12|3|6|12|21;
14;7;N-132|N-152|N-160|P-209|P-210|P-220;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|D_I|D_R|FY1_I|FY1_R|F_I|F_R|ZY1_R|Z_I|Z_R;23-24-25-26|24-25|0-1-2|4-5|24-25-26|20-21|9-10|4-5|0-1-2-3|6-7|9-10-11-12|21-22|14-15|13-14-15-16|17-18;
14;8;N-180|N-194|P-281;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_R|ZY1_R|Z_I|Z_R;23|25-26|5-6|23-24|21-22|12-13|7-8|0-12-13|21-22|7-8|18-19|9-10|24-25|15-16|12-13|18-19;
14;9;PR-159;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_R|ZY1_R|Z_I|Z_R;23|26|6|23|22|12|8|13|22|7|18|10|25|16|12|19;
14;10;P-155|P-156|PR-154;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|T_R|X_I|X_R|ZY1_R|Z_I|Z_R;22|27|7|22|23|11|9|14|23|6|17|11|36|4|11|26|17|11|20;
14;11;;AY1_I|A_I|A_R;22-23|46-47|3-4-5;
14;12;P-288|P-317;AY1_I|A_I|A_R;18-22|42-46|3-4;
14;13;P-289;AY1_I|A_I;18-20-21|42-44-45;
14;14;;AY1_I|A_I;18-19-20|42-43-44;
14;15;;AY1_I|A_I;19-20|43-44;
15;1;N-14|N-7|N-8;ZY1_I|ZY1_R|Z_I|Z_R;7-8|5-6|24-25|8-9;
15;2;N-24|N-27|N-29;ZY1_I|ZY1_R|Z_I|Z_R;5-6-7|6-7-8|22-23-24|9-10-11;
15;3;N-37|N-40;ZY1_I|ZY1_R|Z_I|Z_R;4-5|8-9|21-22|11-12;
15;4;;T_I|T_R|ZY1_I|ZY1_R|Z_I|Z_R;17|22|0-1-3-4|9-10-12-13|17-18-20-21|12-13-15-16;
15;5;N-60|N-61|N-77|N-82;C_I|C_R|ZY1_I|ZY1_R|Z_I|Z_R;21|40|0|13|17|16;
15;6;N-96|N-99|P-181|P-199;B_I|B_R|ZY1_I|ZY1_R|Z_I|Z_R;11|12|0|13|17|16;
15;7;N-133|N-138|PR-208;D_I|D_R|FY1_R|F_I|F_R|ZY1_R|Z_I|Z_R;9|5|7|9|22|13-14|16-17|16-17;
15;8;P-207|P-221;D_I|D_R|FY1_R|F_I|F_R;9|5|7|9|22;
15;10;P-148|P-150|P-151|PR-149|PR-152|PR-153;AC_I|AC_R|AY1_R|A_I|A_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|T_R|X_I|X_R|ZY1_R|Z_I|Z_R;22|27|7|22|23|11|9|14|23|6|17|11|36|4|11|26|17|11|20;
15;11;N-254|N-256;AY1_I|A_I|A_R;23|47|3;
15;12;P-290;AY1_I|A_I;22|46;
15;13;;AY1_I|A_I;21-22|45-46;
16;4;N-43|N-53|N-55|P-259;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|FY1_R|F_I|F_R|T_I|T_R|ZY1_I|ZY1_R|Z_I|Z_R;16-17|32-33|12-13|16-17|28-29|19-20|41-42|12-13|5-6|27-28|17|22|1-2-3|10-11-12|18-19-20|13-14-15;
