119;Lo Espejo;Lunes a Viernes;00:00;23:59
119;Mapocho;Domingo y Festivos;00:00;23:59
119;Mapocho;Sábado;00:00;23:59
119;Mapocho;Lunes a Viernes;00:00;23:59
120;(M) La Cisterna;Domingo y Festivos;05:30;23:30
120;(M) La Cisterna;Sábado;05:30;23:30
120;(M) La Cisterna;Lunes a Viernes;05:30;23:40
120;Renca;Lunes a Viernes;05:30;23:40
120;Renca;Domingo y Festivos;05:33;23:30
120;Renca;Sábado;05:30;23:30
121;Lo Espejo;Domingo y Festivos;05:30;23:48
121;Lo Espejo;Sábado;05:30;23:48
121;Lo Espejo;Lunes a Viernes;05:30;23:48
121;Mapocho;Domingo y Festivos;05:30;23:48
121;Mapocho;Sábado;05:30;23:48
121;Mapocho;Lunes a Viernes;05:30;23:49
125;Lo Espejo;Domingo y Festivos;05:30;22:50
125;Lo Espejo;Lunes a Viernes;05:30;22:59
125;Lo Espejo;Sábado;05:30;22:45
125;(M) U. De Chile;Domingo y Festivos;05:30;22:50
125;(M) U. De Chile;Lunes a Viernes;05:30;22:59
125;(M) U. De Chile;Sábado;05:30;22:45
126;La Higuera;Lunes a Viernes;06:30;20:22
126;(M) Manuel Montt;Lunes a Viernes;06:00;20:18
201;San Bernardo;Sábado;00:00;23:59
201;San Bernardo;Domingo y Festivos;00:00;23:59
201;San Bernardo;Lunes a Viernes;00:00;23:59
201;Mall Plaza Norte;Lunes a Viernes;00:00;23:59
201;Mall Plaza Norte;Sábado;00:00;23:59
201;Mall Plaza Norte;Domingo y Festivos;00:00;23:59
201e;San Bernardo;Sábado;05:30;22:48
201e;San Bernardo;Domingo y Festivos;09:30;22:48
201e;San Bernardo;Lunes a Viernes;05:30;23:48
201e;Mall Plaza Norte;Lunes a Viernes;05:30;23:48
201e;Mall Plaza Norte;Sábado;05:30;22:48
201e;Mall Plaza Norte;Domingo y Festivos;09:30;22:48
202c;Mapocho;Lunes a Viernes;17:30;21:24
202c;Mapocho;Lunes a Viernes;06:30;08:25
202c;El Cortijo;Lunes a Viernes;17:30;21:24
202c;El Cortijo;Lunes a Viernes;06:30;08:25
203;La Pintana;Lunes a Viernes;05:30;00:45
203;La Pintana;Domingo y Festivos;05:30;00:45
203;La Pintana;Sábado;05:30;00:45
203;Huechuraba;Sábado;05:30;00:45
203;Huechuraba;Domingo y Festivos;05:30;00:45
203;Huechuraba;Lunes a Viernes;05:30;00:45
203e;La Pintana;Lunes a Viernes;06:30;08:25
203e;La Pintana;Lunes a Viernes;17:30;21:24
203e;Centro;Lunes a Viernes;17:30;21:24
203e;Centro;Lunes a Viernes;06:30;08:25
204;Gabriela;Lunes a Viernes;00:00;23:59
204;Gabriela;Domingo y Festivos;00:00;23:59
204;Gabriela;Sábado;00:00;23:59
204;Alameda;Sábado;00:00;23:59
204;Alameda;Domingo y Festivos;00:00;23:59
204;Alameda;Lunes a Viernes;00:00;23:59
204e;Gabriela;Lunes a Viernes;17:30;21:20
204e;Gabriela;Lunes a Viernes;06:30;08:24
204e;Alameda;Lunes a Viernes;06:30;08:24
204e;Alameda;Lunes a Viernes;17:30;21:20
205;Puente Alto;Sábado;05:30;00:40
205;Puente Alto;Domingo y Festivos;05:30;00:40
205;Puente Alto;Lunes a Viernes;05:30;00:40
205;Santiago;Lunes a Viernes;05:30;00:40
205;Santiago;Sábado;05:30;00:40
205;Santiago;Domingo y Festivos;05:30;00:40
205e;Puente Alto;Lunes a Viernes;06:32;08:27
205e;Puente Alto;Lunes a Viernes;17:33;21:21
205e;Santiago;Lunes a Viernes;17:33;21:21
205e;Santiago;Lunes a Viernes;06:32;08:27
206;La Pintana;Lunes a Viernes;05:30;00:45
206;La Pintana;Domingo y Festivos;05:30;00:45
206;La Pintana;Sábado;05:30;00:45
206;Centro;Domingo y Festivos;05:30;00:45
206;Centro;Lunes a Viernes;05:30;00:45
206;Centro;Sábado;05:30;00:45
206e;La Pintana;Lunes a Viernes;17:30;21:18
206e;La Pintana;Lunes a Viernes;06:30;08:20
206e;Centro;Lunes a Viernes;17:30;21:18
206e;Centro;Lunes a Viernes;06:30;08:22
207c;La Pintana;Lunes a Viernes;17:30;22:47
207c;La Granja;Lunes a Viernes;17:30;22:47
207e;La Pintana;Lunes a Viernes;06:30;08:20
207e;La Pintana;Lunes a Viernes;17:30;22:48
207e;Mapocho;Lunes a Viernes;17:30;22:48
207e;Mapocho;Lunes a Viernes;06:30;08:20
208;Centro;Domingo y Festivos;00:00;23:59
208;Centro;Sábado;00:00;23:59
208;Centro;Lunes a Viernes;00:00;23:59
208;Huechuraba;Domingo y Festivos;00:00;23:59
208;Huechuraba;Lunes a Viernes;00:00;23:59
208;Huechuraba;Sábado;00:00;23:59
208c;(M) Zapadores;Lunes a Viernes;17:30;22:52
208c;(M) Zapadores;Lunes a Viernes;06:30;09:20
208c;Huechuraba;Lunes a Viernes;06:30;09:20
208c;Huechuraba;Lunes a Viernes;17:30;22:52
209;El Volcan;Sábado;05:30;00:45
209;El Volcan;Domingo y Festivos;05:30;00:45
209;El Volcan;Lunes a Viernes;05:30;00:45
209;Alameda;Domingo y Festivos;05:30;00:45
209;Alameda;Sábado;05:30;00:45
209;Alameda;Lunes a Viernes;05:00;00:45
209e;El Volcan;Lunes a Viernes;17:30;22:47
209e;El Volcan;Lunes a Viernes;06:30;08:18
209e;Alameda;Lunes a Viernes;17:30;22:47
209e;Alameda;Lunes a Viernes;06:30;08:18
210;Puente Alto;Lunes a Viernes;00:00;23:59
210;Puente Alto;Domingo y Festivos;00:00;23:59
210;Puente Alto;Sábado;00:00;23:59
210;Estacion Central;Sábado;00:00;23:59
210;Estacion Central;Domingo y Festivos;00:00;23:59
210;Estacion Central;Lunes a Viernes;00:00;23:59
210v;Av. Mexico;Domingo y Festivos;05:30;23:48
210v;Av. Mexico;Sábado;05:30;23:45
210v;Av. Mexico;Lunes a Viernes;05:30;23:40
210v;Estacion Central;Lunes a Viernes;05:30;23:40
210v;Estacion Central;Domingo y Festivos;05:30;23:48
210v;Estacion Central;Sábado;05:30;23:45
211;Nos;Sábado;00:00;23:59
211;Nos;Lunes a Viernes;00:00;23:59
211;Nos;Domingo y Festivos;00:00;23:59
211;La Florida;Domingo y Festivos;00:00;23:59
211;La Florida;Sábado;00:00;23:59
211;La Florida;Lunes a Viernes;00:00;23:59
211c;San Bernardo;Lunes a Viernes;05:30;23:50
211c;(M) La Cisterna;Lunes a Viernes;05:30;23:50
212;La Pintana;Domingo y Festivos;05:30;00:45
212;La Pintana;Sábado;05:30;00:45
212;La Pintana;Lunes a Viernes;05:30;00:45
212;Providencia;Domingo y Festivos;05:30;00:45
212;Providencia;Sábado;05:30;00:45
212;Providencia;Lunes a Viernes;05:30;00:45
213e;Puente Alto;Lunes a Viernes;05:30;23:54
213e;Plaza Italia;Lunes a Viernes;05:30;23:54
214;El Cortijo;Lunes a Viernes;05:30;23:45
214;El Cortijo;Sábado;05:30;23:45
214;El Cortijo;Domingo y Festivos;05:30;23:45
214;Santa Olga;Lunes a Viernes;05:30;23:45
214;Santa Olga;Domingo y Festivos;05:30;23:45
214;Santa Olga;Sábado;05:30;23:45
216;Vitacura;Domingo y Festivos;05:30;00:40
216;Vitacura;Sábado;05:30;00:40
216;Vitacura;Lunes a Viernes;05:00;00:40
216;Pablo De Rokha;Lunes a Viernes;05:30;00:40
216;Pablo De Rokha;Domingo y Festivos;05:30;00:40
216;Pablo De Rokha;Sábado;05:30;00:40
217e;(M) Santa Ana;Lunes a Viernes;17:30;20:20
217e;(M) Santa Ana;Lunes a Viernes;05:30;09:24
217e;Maestranza;Lunes a Viernes;06:00;09:18
217e;Maestranza;Lunes a Viernes;17:30;20:25
218e;Matucana;Lunes a Viernes;06:30;08:25
218e;Matucana;Lunes a Viernes;17:30;19:37
218e;San Bernardo;Lunes a Viernes;07:10;08:25
218e;San Bernardo;Lunes a Viernes;17:30;20:27
219e;Ciudad Empresarial;Lunes a Viernes;17:30;21:00
219e;Ciudad Empresarial;Lunes a Viernes;05:30;09:20
219e;(M) La Cisterna;Lunes a Viernes;06:00;08:30
219e;(M) La Cisterna;Lunes a Viernes;17:30;21:20
221e;Matucana;Lunes a Viernes;17:30;19:30
221e;Matucana;Lunes a Viernes;05:30;08:50
221e;Puente Alto;Lunes a Viernes;06:30;08:15
221e;Puente Alto;Lunes a Viernes;17:30;20:18
222e;(M) Santa Ana;Lunes a Viernes;18:00;19:30
222e;(M) Santa Ana;Lunes a Viernes;05:30;08:15
222e;Puente Alto;Lunes a Viernes;06:30;07:30
222e;Puente Alto;Lunes a Viernes;17:30;20:15
223;Lo Espejo;Domingo y Festivos;05:30;00:45
223;Lo Espejo;Lunes a Viernes;05:30;00:45
223;Lo Espejo;Sábado;05:30;00:45
223;Ciudad Empresarial;Domingo y Festivos;05:30;00:45
223;Ciudad Empresarial;Sábado;05:30;00:45
223;Ciudad Empresarial;Lunes a Viernes;05:30;00:45
224;Gabriela;Lunes a Viernes;06:00;22:47
224;Gabriela;Sábado;06:00;22:50
224;Gabriela;Domingo y Festivos;06:00;22:48
224;Ñuñoa;Lunes a Viernes;05:30;22:47
224;Ñuñoa;Domingo y Festivos;05:30;22:48
224;Ñuñoa;Sábado;05:30;22:50
224c;Gabriela;Lunes a Viernes;17:30;22:45
224c;(M) Vicente Valdes;Lunes a Viernes;17:30;22:42
224n;Gabriela;Sábado;23:00;05:07
224n;Gabriela;Domingo y Festivos;23:00;05:03
224n;Gabriela;Lunes a Viernes;23:00;05:07
224n;(M) Pedrero;Domingo y Festivos;23:00;05:03
224n;(M) Pedrero;Sábado;23:00;05:07
224n;(M) Pedrero;Lunes a Viernes;23:00;05:07
225;Bahía Catalina;Sábado;05:30;00:40
225;Bahía Catalina;Domingo y Festivos;05:30;00:40
225;Bahía Catalina;Lunes a Viernes;05:30;00:40
225;Las Condes;Sábado;05:30;00:40
225;Las Condes;Lunes a Viernes;05:30;00:40
225;Las Condes;Domingo y Festivos;05:30;00:40
226;Nonato Coo;Domingo y Festivos;05:30;00:45
226;Nonato Coo;Lunes a Viernes;05:30;00:45
226;Nonato Coo;Sábado;05:30;00:45
226;Mapocho;Sábado;05:30;00:45
226;Mapocho;Domingo y Festivos;05:30;00:45
226;Mapocho;Lunes a Viernes;05:30;00:45
227;Pedro Aguirre Cerda;Lunes a Viernes;05:30;00:40
227;Pedro Aguirre Cerda;Sábado;05:30;00:40
227;Pedro Aguirre Cerda;Domingo y Festivos;05:30;00:40
227;La Reina;Domingo y Festivos;05:30;00:40
227;La Reina;Sábado;05:30;00:40
227;La Reina;Lunes a Viernes;05:30;00:40
228;Angelmo;Lunes a Viernes;05:30;00:40
228;Angelmo;Domingo y Festivos;05:30;00:40
228;Angelmo;Sábado;05:30;00:40
228;(M) La Cisterna;Domingo y Festivos;05:30;00:40
228;(M) La Cisterna;Sábado;05:30;00:40
228;(M) La Cisterna;Lunes a Viernes;05:30;00:40
229;La Pintana;Domingo y Festivos;05:30;00:40
229;La Pintana;Sábado;05:30;00:40
229;La Pintana;Lunes a Viernes;05:30;00:40
229;(M) La Moneda;Domingo y Festivos;05:30;00:40
229;(M) La Moneda;Sábado;05:30;00:40
229;(M) La Moneda;Lunes a Viernes;05:30;00:40
230;La Pintana;Lunes a Viernes;00:00;23:59
230;La Pintana;Domingo y Festivos;00:00;23:59
230;La Pintana;Sábado;00:00;23:59
230;Conchalí;Sábado;00:00;23:59
230;Conchalí;Lunes a Viernes;00:00;23:59
230;Conchalí;Domingo y Festivos;00:00;23:59
261e;San Bernardo;Lunes a Viernes;07:30;07:50
261e;San Bernardo;Lunes a Viernes;17:30;21:18
261e;(M) Los Heroes;Lunes a Viernes;18:00;21:10
261e;(M) Los Heroes;Lunes a Viernes;06:30;08:20
301;Angelmó;Sábado;00:00;23:59
301;Angelmó;Domingo y Festivos;00:00;23:59
301;Angelmó;Lunes a Viernes;00:00;23:59
301;Juan Antonio Ríos;Lunes a Viernes;00:00;23:59
301;Juan Antonio Ríos;Domingo y Festivos;00:00;23:59
301;Juan Antonio Ríos;Sábado;00:00;23:59
