trip_id,start_time,end_time,headway_secs
949,14:00:00,20:00:00,7200
962,06:50:00,08:50:00,1800
963,11:15:00,13:15:00,3600
964,14:00:00,22:00:00,7200
965,08:00:00,11:00:00,5400
968,07:00:00,10:30:00,1800
969,13:00:00,14:30:00,1800
970,16:00:00,17:30:00,1800
971,19:00:00,20:30:00,1800
1197,06:30:00,07:58:00,660
1198,09:04:00,09:48:00,660
1203,11:27:00,12:55:00,660
1204,14:01:00,15:18:00,660
1208,16:34:00,21:12:00,660
1209,06:40:00,10:10:00,1800
1210,10:00:00,12:00:00,1800
1211,11:55:00,13:35:00,1500
1212,13:30:00,15:30:00,1800
1213,15:20:00,17:50:00,1800
1214,17:40:00,19:20:00,1200
1220,07:00:00,12:11:00,660
1221,12:20:00,20:15:00,900
1222,07:00:00,15:30:00,1800
1223,15:20:00,20:20:00,1200
1353,06:40:00,20:26:00,360
1354,07:10:00,20:06:00,360
1355,08:00:00,20:06:00,360
1356,06:40:00,20:26:00,360
1357,07:10:00,20:06:00,360
1358,08:00:00,20:06:00,360
