stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1336,,Errázuriz / José Manuel Balmaceda,,-40.573888,-73.118667,,,0,
1337,,Luis Emilio Recabarren / Pedro Aguirre Cerda,,-40.574596,-73.113164,,,0,
1338,,César Ercilla / Luis Emilio Recabarren,,-40.575497,-73.111445,,,0,
1339,,Julio Buschman / Dieciocho De Septiembre,,-40.577089,-73.108177,,,0,
1340,,Julio Buschman / José Vidal,,-40.578451,-73.104811,,,0,
1341,,Avenida Alcalde Alberto Fuschlocher / Guillermo Hollstein,,-40.580376,-73.100834,,,0,
1342,,Avenida Alcalde Alberto Fuschlocher / Con Con,,-40.582945,-73.094832,,,0,
1343,,Universidad De Los Lagos,,-40.586072,-73.089476,,,0,
1344,,Avenida Alcalde Alberto Fuschlocher / Con Con,,-40.5834606294872,-73.0931303730163,,,0,
1345,,Avenida Alcalde Alberto Fuschlocher / Eleodoro Vásquez,,-40.580161,-73.100617,,,0,
1346,,Julio Buschman / Dieciocho De Septiembre,,-40.577413,-73.106752,,,0,
1347,,César Ercilla / Pasaje Dos,,-40.580711,-73.11614,,,0,
1348,,César Ercilla / Barros Araña,,-40.582753,-73.118544,,,0,
1349,,César Ercilla / Zenteno,,-40.585451,-73.121437,,,0,
1350,,César Ercilla / Margaritas,,-40.586391,-73.122981,,,0,
1351,,César Ercilla / Doctor Guillermo Buhler,,-40.58783,-73.12616,,,0,
1352,,Doctor Guillermo Buhler / Hospital Del Trabajador,,-40.586911,-73.127329,,,0,
1353,,Doctor Guillermo Buhler / Santiago Rosas,,-40.584114,-73.128441,,,0,
1354,,Ramón Freire / Barros Araña,,-40.581289,-73.129904,,,0,
1355,,Ramón Freire / Conrado Amthauer,,-40.578938,-73.130915,,,0,
1356,,Ramón Freire / Manuel Rodríguez,,-40.577701,-73.130956,,,0,
1357,,Los Carrera / Arturo Prat,,-40.572043,-73.13013,,,0,
1358,,Los Carrera / Ramón Freire,,-40.572008,-73.13096,,,0,
1359,,Los Carrera / Lord Cochrane,,-40.57185,-73.134135,,,0,
1360,,Los Carrera / Manuel Antonio Matta,,-40.571839,-73.134376,,,0,
1361,,Los Carrera / Bernardo O`Higgins,,-40.571692,-73.137645,,,0,
1362,,Los Carrera / Manuel Bulnes,,-40.571679,-73.137948,,,0,
1363,,Portales / Los Carrera,,-40.572127,-73.140436,,,0,
1364,,Portales / Eleuterio Ramírez,,-40.5732,-73.140373,,,0,
1365,,República / Por La Razón O La Fuerza,,-40.57414,-73.148156,,,0,
1366,,República / Antofagasta,,-40.573969,-73.150652,,,0,
1367,,República / Talca,,-40.573883,-73.151848,,,0,
1368,,Chillán / República,,-40.574267,-73.154333,,,0,
1369,,Chillán / Valparaíso,,-40.576148,-73.154673,,,0,
1370,,Chacarillas / Ancud,,-40.583578,-73.179651,,,0,
1371,,Chacarillas / Venecia,,-40.582029,-73.178577,,,0,
1372,,Chacarillas / Pasaje Puerto Huillín,,-40.579353,-73.177557,,,0,
1373,,Azapa / Chacarillas,,-40.576721,-73.178078,,,0,
1374,,Azapa / Illapel,,-40.576237,-73.174579,,,0,
1375,,Azapa / Nueva Poniente,,-40.576027,-73.17311,,,0,
1376,,Nueva Poniente / Recoleta,,-40.572071,-73.173718,,,0,
1377,,Arturo Prat / Barros Araña,,-40.58157,-73.128798,,,0,
1378,,Doctor Guillermo Buhler / Los Conquistadores,,-40.584228,-73.128701,,,0,
1379,,Doctor Guillermo Buhler / Hospital Del Trabajador,,-40.586704,-73.127961,,,0,
1380,,Hospital Osorno,,-40.587341,-73.127094,,,0,
1381,,César Ercilla / Doctor Guillermo Buhler,,-40.587999,-73.125999,,,0,
1382,,César Ercilla / Zenteno,,-40.585637,-73.121302,,,0,
1383,,Diego De Almagro / Riñihue,,-40.589307,-73.115645,,,0,
1384,,Diego De Almagro / Colo Colo,,-40.588041,-73.114083,,,0,
1385,,Diego De Almagro / Cervantes,,-40.587181,-73.113028,,,0,
1386,,Diego De Almagro / Gómez Carreño,,-40.585218,-73.110674,,,0,
1387,,Diego De Almagro / Alcalde René Soriano Bórquez,,-40.58393,-73.109112,,,0,
1388,,Diego De Almagro / Amador Barrientos,,-40.582687,-73.107621,,,0,
1389,,Argomedo / Aldea San Alberto Magno,,-40.581226,-73.106335,,,0,
1390,,Argomedo / Juan Schuurman,,-40.579984,-73.105256,,,0,
1391,,Argomedo / Julio Buschman,,-40.579172,-73.104551,,,0,
1392,,Julio Buschman / Pedro Aguirre Cerda,,-40.576102,-73.114047,,,0,
1393,,Patricio Lynch / Manuel Montt,,-40.575262,-73.117381,,,0,
1394,,Patricio Lynch / José Manuel Balmaceda,,-40.574865,-73.118831,,,0,
1395,,Patricio Lynch / Andrés Bello,,-40.574494,-73.120792,,,0,
1396,,Patricio Lynch / Angúlo,,-40.574355,-73.12389,,,0,
1397,,República / Chillán,,-40.573814,-73.154669,,,0,
1398,,Bellavista / Chorrillos,,-40.569432,-73.168118,,,0,
1399,,Chacarillas / Las Nieves,,-40.577465,-73.178113,,,0,
1400,,Del Pacífico / Bahía Escocia,,-40.579788,-73.176277,,,0,
1401,,Bahía Escocia / Quilanto,,-40.58024,-73.1757,,,0,
1402,"",República / Victoria,"",-40.573908,-73.15823,,"",0,
1403,,Terminal Alerce Historico,Pedro De Valdivia Nº1641,-41.396946,-72.910364,,,0,
1404,,Arturo Pacheco Altamirano / Ana Gonzalez Olea,,-41.3821675122884,-72.8989442417335,,,0,
1405,,Arturo Pacheco Altamirano / Avenida Transversal 4,,-41.3833444139686,-72.8983131951065,,,0,
1406,,Arturo Pacheco Altamirano / Pasaje Manuel Maldonado,,-41.3839366638217,-72.8979860552254,,,0,
1407,,Arturo Pacheco Altamirano / Pasaje Gastón Gómez,,-41.3852697145719,-72.8972643263893,,,0,
1408,,Avenida Transversal 3 / Golfo De Penas,,-41.3880807288952,-72.9009634662705,,,0,
1409,,Avenida Norte Sur 2 / Avenida Transversal 3,,-41.3893537051964,-72.9082236908073,,,0,
1410,,Avenida Norte Sur 2 / O´Higgins,,-41.39332562303,-72.9064887374344,,,0,
1411,,Avenida Norte Sur 2 / Avenida Los Alerces,,-41.3966327467765,-72.9047005975532,,,0,
1412,,Centro De Salud Alerce,Centro De Salud Alerce Sapu,-41.3976406271708,-72.9041624196434,,,0,
1413,,Transversal 1 / Avenida Norte Sur 2,"Jardin Manitos Traviesas, Poblacion Manuel Bustos",-41.3997444139081,-72.9030182417335,,,0,
1414,,Transversal 1 / Pasaje Proa,,-41.4005229283702,-72.9054261018524,,,0,
1415,,Avenida Norte Sur / Quintupeu,,-41.4029337627355,-72.9070145975533,,,0,
1416,,Avenida Norte Sur / Quehui,,-41.404999693224,-72.9060816908074,,,0,
1417,,Bertoldo Schmidt Hausdorf / Franz Renz,,-41.4096826387284,-72.9058325128975,,,0,
1418,,Calle Mirador / Bertoldo Schmidt Hausdorf,,-41.4101255809582,-72.9090038601189,,,0,
1419,,Avenida Transversal 2 / Cerro Guife,Senderos De Alerce,-41.407806765753,-72.9105417374345,,,0,
1420,,"Camino Alerce, Sector La Vara",,-41.425986,-72.911777,,,0,
