id;entity;name;address;schedule;longitude;latitude;services
21;Unimarc;UNIMARC MAIPU 4 PONIENTE ;CUATRO PONIENTE 1197;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.7929883333333;-33.5311133333333;Carga de tarjetas,Consulta de saldo, Activación de carga remota
22;Unimarc;UNIMARC SILVA CARVALLO;SILVA CARVALLO 1414;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.7748811580075;-33.5317578837243;Carga de tarjetas,Consulta de saldo, Activación de carga remota
23;Unimarc;UNIMARC RINCONADA;RINCONADA 1900;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.78322806347565;-33.507436523392094;Carga de tarjetas,Consulta de saldo, Activación de carga remota
24;Unimarc;UNIMARC RAMON FREIRE;PAJARITOS 1529;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.7572041155321;-33.5136286644342;Carga de tarjetas,Consulta de saldo, Activación de carga remota
25;Unimarc;UNIMARC ABRAZO DE MAIPU;AVDA. JORGE GUERRA 16190;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.77119666666665;-33.542105555555565;Carga de tarjetas,Consulta de saldo, Activación de carga remota
26;Unimarc;UNIMARC IGNACIO CARRERA PINTO;CAPITAN IGNACIO CARRERA PINTO 3857;Lun-Dom 09:00 a 21:00;-70.590836;-33.471126;Carga de tarjetas,Consulta de saldo, Activación de carga remota
27;Unimarc;UNIMARC IRARRAZAVAL;AVDA. IRARRAZAVAL 4354;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5832589036208;-33.454682812099;Carga de tarjetas,Consulta de saldo, Activación de carga remota
28;Unimarc;UNIMARC VILLA OLIMPICA;OBISPO ORREGO 1250;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.620126539;-33.4622026659999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
29;Unimarc;UNIMARC GRECIA;AVDA. GRECIA 320;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.624774370013;-33.4570436385942;Carga de tarjetas,Consulta de saldo, Activación de carga remota
30;Unimarc;UNIMARC LOS LEONES;GENERAL JOSE ARTIGAS 3250;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5979928378057;-33.4492817398444;Carga de tarjetas,Consulta de saldo, Activación de carga remota
31;Unimarc;UNIMARC BUIN MAIPO;CAMINO BUIN MAIPO 3147;Lun-Dom 09:00 a 21:00;-70.775400;-33.731020;Carga de tarjetas,Consulta de saldo, Activación de carga remota
32;Unimarc;UNIMARC MANUEL MONTT;AVDA. IRARRAZAVAL 1740;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.612909;-33.453171;Carga de tarjetas,Consulta de saldo, Activación de carga remota
