id;latitud;longitud;sec
91828;-36.79115;-73.02516;68631
91828;-36.7941;-73.02574;68632
91828;-36.80197008;-73.02577679;68633
91828;-36.80572465;-73.02432504;68634
91828;-36.80665374;-73.02411818;68635
91828;-36.80751409;-73.02438338;68636
91828;-36.81469;-73.03144;68637
91828;-36.81695;-73.03675;68638
91828;-36.81597;-73.03739;68639
91828;-36.81648;-73.03861;68640
91828;-36.82084258;-73.03583373;68641
91828;-36.82192688;-73.03623338;68642
91828;-36.83102688;-73.05813228;68643
91828;-36.82327821;-73.06305447;68644
91828;-36.81847;-73.06671;68645
91828;-36.81453079;-73.06767813;68646
91828;-36.81251443;-73.06984012;68647
91828;-36.80877897;-73.07696675;68648
91828;-36.8074545;-73.07840978;68649
91828;-36.80616621;-73.07803279;68650
91828;-36.80521024;-73.07720251;68651
91828;-36.80143287;-73.07144836;68652
91828;-36.79930173;-73.06898314;68653
91828;-36.79471647;-73.06555906;68654
91828;-36.79468149;-73.06505913;68655
91828;-36.79527369;-73.06472013;68656
91828;-36.79578457;-73.06487786;68657
91828;-36.79579715;-73.0656364;68658
91828;-36.79497115;-73.06737776;68659
91828;-36.79355692;-73.06900028;68660
91828;-36.7570775;-73.09111591;68661
91828;-36.75735417;-73.09188437;68662
91828;-36.75604842;-73.09265483;68663
91828;-36.75564482;-73.09258945;68664
91828;-36.75053;-73.09554;68665
91828;-36.74908707;-73.1008015;68666
91828;-36.74581989;-73.0994724;68667
91828;-36.74465244;-73.10012277;68668
91828;-36.74525424;-73.10151752;68669
91828;-36.74794507;-73.10336288;68670
91828;-36.74697;-73.10465;68671
91828;-36.743483;-73.106107;68672
91828;-36.740156;-73.108384;68673
91829;-36.71333322;-72.97712212;68674
91829;-36.71303668;-72.97702536;68675
91829;-36.71275752;-72.97408995;68676
91829;-36.71866059;-72.9747947;68677
91829;-36.71960229;-72.97500056;68678
91829;-36.72008711;-72.97543843;68679
91829;-36.7210777;-72.97799089;68680
91829;-36.72584;-72.97955;68681
91829;-36.72579;-72.98035;68682
91829;-36.72704954;-72.98248732;68683
91829;-36.72685921;-72.98323159;68684
91829;-36.72605841;-72.98384313;68685
91829;-36.72673721;-72.98531634;68686
91829;-36.72678504;-72.98670103;68687
91829;-36.73012143;-72.98787181;68688
91829;-36.7301268;-72.98948918;68689
91829;-36.73066637;-72.98979764;68690
91829;-36.73371741;-72.98805863;68691
91829;-36.73594363;-72.99450492;68692
91829;-36.73700979;-72.994002;68693
91829;-36.73929359;-73.00039505;68694
91829;-36.74026567;-73.0001;68695
