paradas;servicios
PA669;312eI-316eI
PA67;201R-214I-223R-226R-229R-301R-H06I
PA671;511I-H07R-I01I
PA672;511I
PA673;121R
PA674;511I
PA675;113eI-125R
PA677;345R-H07I-I01R
PA679;403R
PA68;201R-214I-223R-226R-229R-301R-301eR-H06I
PA680;511I
PA681;345R
PA682;345R
PA683;I14I-I17I-I18I
PA684;511I-H07R-I01I
PA685;H13R
PA686;422R-H13I
PA687;422I-H13R
PA688;422I-H13R
PA689;508R-514R-J19R
PA69;201R-214I-223R-226R-229R-301R
PA690;121R
PA691;121R
PA692;116R-303R-345R-422R-518R
PA693;511R-H07I-I01R
PA694;201I-214R-223I-226I-229I-301I
PA695;109R-109NR-119R-345I-511R-I18I
PA696;B26R
PA697;227I-D05R
PA698;116I-213eI-503I
PA699;303R-307I-314I-314eR
PA7;109R-109NR-507R-508R-513R-B26R-B28R
PA70;201R-214I-223R-226R-229R-301R
PA701;J10I
PA702;J10I
PA703;J10I
PA704;I18R
PA705;B26R
PA706;E04R
PA707;B26R-B28R-I17I-J02I-J05I
PA709;422I
PA71;229R-301R-301eR
PA710;422I
PA712;511R-H07I-I01R
PA713;B26R
PA714;345R
PA715;345R
PA717;201R-214R-223R
PA718;201R-201eR-223R
PA719;201R-201eR-223R
PA72;201R-223R
PA720;201R-223R
PA722;214I-226R
PA724;121I-J10R
PA725;406R-422R-426R-507R-508R-513R-B26R-B28R-J02I
PA726;518R
PA727;518R
PA728;504I-518I
PA77;301R
PA78;201eI-302I-403I
PA8;406R-422R-426R-B26R
PA80;125R-201eR-261eR-302R-302NR
PA81;201eR-261eR-302R-302NR-302eR
PA815;303I-314I-314eI-315eI
PA816;345R
PA817;119R-121R-J03I-J10I
PA818;J10R
PA819;203I-206I-385I
PA82;201eR-217eI-222eI-302R-403R
PA84;119I-121I-202cI-230I-308I
PA86;509R
PA87;201R-201eR-202cR-214I-223R-308R
PA88;203I-203eI-206I-206eI-208I-214R-B02NI-B30NI-B31NR
PA89;203I-206I-208I-214R-226I-230I-B30NI-B31NR
PA9;109R-109NR-119R-I18I
PA90;203I-203eI-206I-206eI-207eI-208I-214R-226I-230I-B30NI-B31NR
PA91;203I-203eI-206I-206eI-207eI-208I-214R-226I-230I-B30NI-B31NR
PA92;203I-206I-214R-385I
PA93;203I-203eI-206I-206eI-385I
PA94;203I-206I-385I
PA95;203I-203eI-206I-206eI-385I
PA96;203I-203eI-206I-206eI-385I-H06R
PA97;203I-206I-385I
PA98;203I-206I-385I
PA99;203I-203eI-206I-206eI-385I
PB;L5R-L5RR
PB1;101I-B14R
PB10;101I-107I-107cI
PB100;110I-110cI
PB1000;B07I-B08I-B11R-B13R-B18I
PB1001;B07I
PB1002;316eR-B07I
PB1003;316eR-B07I
PB1004;B07I-B12R
PB1005;B07I-B12R
PB1006;B05I-B07I-B12R
PB1007;B05R
PB1008;B05R
PB1009;B05R
PB101;107I-107cI-116I-117I-117cI-219eR-223I-B05I-C18R
PB1010;B07R
PB1011;B07R
PB1012;B05R-B07R-B12I
PB1013;B05R-B07R-B12I
PB1014;B05R-B07R-B12I
PB1015;313eI-316eI-B07R
PB1016;313eI-316eI-B07R
PB1017;B07R
PB1018;B07R
PB1019;B07R
PB102;107I-107cI-116I-117I-117cI-219eR-223I-B05I-C18R
PB1020;B07R
PB1021;B07R
PB1022;B07R
PB1023;B07R
PB1024;B07R
PB1025;B07R
PB1026;B07R
PB1027;B07R-B12R
PB1028;B07R
PB1029;B07R
PB103;107I-107cI-116I-117I-117cI-219eR-223I-B05I-C18R
PB1030;B07R
PB1031;B07R
PB1032;B08I-B11R
PB1033;B08I
PB1034;B08I
PB1035;B05R-B08I-B10R-B16R
PB1036;B08I-B16R
PB1037;B08I-B16R
PB1038;B08I-B16R
PB1039;B08I-B16R
PB104;107I-107cI-116I-117I-117cI-223I-C18R
PB1040;B08I-B16R
PB1041;B08R-B16R
PB1043;B08R-B16R
PB1044;B08R-B16R
PB1045;B08R-B16R
PB1046;B08I-B16R
PB1047;B08I-B16R
PB1049;B08R-B16I
PB105;107I-107cI-116I-223I-B02I-B02NI-B14I
PB1050;B08R-B16I
PB1051;B08R-B16R
PB1052;B08R-B16I
PB1053;B08R-B16I
PB1054;B08R-B16I
PB1055;B08R-B16I
PB1056;307eR-B08R
PB1057;307eR-B08R
PB1058;307eR-B08R
PB1059;303R-303eR-B08R
PB106;107I-107cI-116I-223I-B02I-B02NI-B14I
PB1060;105I-109I-408eI-410eI-B03I-B09I-B20I-B30NI
PB1061;105I-109I-408eI-410eI-B03I-B09I-B30NI
PB1062;109I-B09I
PB1063;109I-B09I
PB1064;109I-B09I
PB1065;109I-B09I
PB1066;120I
PB1067;120I-B09I-B29R
PB1068;120I-B09I-B29R
PB1069;120I-B09I-B29R
PB107;107I-107cI-116I-B02I-B02NI
PB1070;120I-B09I-B29R
PB1071;120I-B09I-B29R
PB1072;120I-B09I
PB1073;B24R
PB1074;B24R
PB1075;B24R
