service;origin;destiny;color
208c;HUECHURABA;(M) ZAPADORES;0067AC
209;ALAMEDA;EL VOLCAN;0067AC
209e;ALAMEDA;EL VOLCAN;0067AC
210;ESTACION CENTRAL;PUENTE ALTO;0067AC
210v;ESTACION CENTRAL;PUENTE ALTO;0067AC
211;LA FLORIDA;NOS;0067AC
211c;(M) LA CISTERNA;SAN BERNARDO;0067AC
211e;LA FLORIDA;SAN BERNARDO ;0067AC
212;PROVIDENCIA;LA PINTANA;0067AC
213e;PLAZA ITALIA;PUENTE ALTO;FFD400
214;SANTA OLGA;EL CORTIJO;0067AC
216;PABLO DE ROKHA;VITACURA;0067AC
217e;MAESTRANZA;(M) SANTA ANA;0067AC
219e;(M) LA CISTERNA;CIUDAD EMPRESARIAL;0067AC
221e;PUENTE ALTO;MATUCANA;0067AC
223;CIUDAD EMPRESARIAL;LO ESPEJO;0067AC
224;ÑUñOA;GABRIELA;0067AC
224c;(M) VICENTE VALDES;GABRIELA;0067AC
225;LAS CONDES;BAHíA CATALINA;0067AC
226;MAPOCHO;NONATO COO;0067AC
227;VILLA FREI;PEDRO AGUIRRE CERDA;0067AC
228;(M) LA CISTERNA;ANGELMO;0067AC
229;(M) LA MONEDA;LA PINTANA;0067AC
230;LOS LIBERTADORES;AV. SANTA ROSA;0067AC
262N;(M) MACUL;VILLA ESPAñA;0067AC
264N;PEDRO FONTOVA;SANTO TOMAS;0067AC
271;SANTIAGO;SAN BERNARDO;0067AC
301;JUAN ANTONIO RíOS;ANGELMó;00B33C
301c;(M) LA CISTERNA;ANGELMó;00B33C
301c2;(M) LA CISTERNA;LO BLANCO ;00B33C
301e;(M) LA MONEDA;ANGELMó;00B33C
302; (M) SANTA ANA;LA PINTANA;00B33C
302N;ALAMEDA;LA PINTANA;00B33C
302e;(M) LOS HEROES;SAN RAMóN;00B33C
303;QUILICURA;PLAZA ITALIA;00B33C
303e;QUILICURA;(M) SANTA ANA;00B33C
307;LO MARCOLETA;PLAZA ITALIA;00B33C
307c;LO MARCOLETA;(M) LOS LIBERTADORES;00B33C
307e;RIGOBERTO JARA;PLAZA ITALIA;00B33C
308;LO MARCOLETA;MAPOCHO;00B33C
308c;SAN LUIS;(M) LOS LIBERTADORES;00B33C
313e;QUILICURA;ESTACION CENTRAL ;00B33C
314;LO MARCOLETA;PLAZA ITALIA;00B33C
315c;RIGOBERTO JARA;(M) LOS LIBERTADORES;00B33C
315e;RIGOBERTO JARA;PLAZA ITALIA;00B33C
321;(M) LO OVALLE;LO SIERRA;00B33C
322;(M) BELLAVISTA DE LA FLORIDA ;JARDIN ALTO;00B33C
323;(M) BELLAVISTA DE LA FLORIDA ;LA LOMA;00B33C
325;GABRIELA;(M) IRARRAZAVAL;00B33C
329;MALL FLORIDA CENTER;MALL PLAZA OESTE;00B33C
345;LO ESPEJO;ALAMEDA;00B33C
346N;LO ESPEJO;ALAMEDA;00B33C
348;RINCONADA;(M) LO OVALLE;00B33C
350;CIUDAD SATéLITE;RINCONADA;00B33C
350c;RINCONADA;(M) PLAZA DE MAIPú;00B33C
385;V. FRANCIA;  MALL F. CENTER;00B33C
401;MAIPU;HOSPITAL DIPRECA;F58220
401c;(M) ESCUELA MILITAR;LAS CONDES;F58220
402;PUDAHUEL;MAPOCHO;F58220
403;(M) SANTA ANA;LA REINA;F58220
404;EL DESCANSO;MAPOCHO;F58220
404c;EL DESCANSO;(M) LAS REJAS;F58220
405;MAIPU;CANTAGALLO;F58220
405c;PLAZA ITALIA;VITACURA;F58220
406; PUDAHUEL;CANTAGALLO;F58220
406c;(M) ESCUELA MILITAR;CANTAGALLO;F58220
407;ENEA;HOSPITAL DIPRECA;F58220
408;RENCA;MAPOCHO;00D5FF
408e;RENCA;MAPOCHO;00D5FF
409;MAPOCHO;PLAZA SAN ENRIQUE;F58220
410;RENCA;PROVIDENCIA;00D5FF
410e;RENCA;PROVIDENCIA;00D5FF
411;PROVIDENCIA;PLAZA SAN ENRIQUE;F58220
412;(M) SAN PABLO;LA REINA;F58220
413c;AVENIDA PORTALES;(M) LAS REJAS;F58220
413v;AVENIDA PORTALES;(M) PLAZA DE MAIPU;F58220
414e;(M) PUDAHUEL;LOS TRAPENSES;F58220
415e;(M) PUDAHUEL;(M) MANQUEHUE;F58220
417e;MAIPU;(M) MANQUEHUE;F58220
418;ENEA;AV. TOBALABA;F58220
419;VILLA LOS HEROES;PLAZA ITALIA;F58220
420e;(M) ESCUELA MILITAR;LO HERMIDA;F58220
421;MAIPU;SAN CARLOS DE APOQUINDO;F58220
422;POBL. TENIENTE MERINO;LA REINA;F58220
423;SEGUNDA TRANSVERSAL;PLAZA ITALIA;F58220
424;PUDAHUEL SUR;(M) U. DE CHILE;00D9A3
425;RIGOBERTO JARA;LO HERMIDA;F58220
426; PUDAHUEL;LA DEHESA;F58220
428;QUILICURA;(M) LA CISTERNA;F58220
428c;PUDAHUEL;(M) LA CISTERNA;F58220
428e;QUILICURA;(M) LA CISTERNA;F58220
429;LO ECHEVERS;LO HERMIDA;F58220
429c;QUILICURA;(M) TOBALABA;F58220
430;QUILICURA;LA DEHESA;F58220
431c;NUEVA SAN MARTIN; (M) LAS REJAS;F58220
431v;NUEVA SAN MARTíN;(M) PLAZA DE MAIPU;F58220
432N;MAIPU;LA REINA;F58220
435;QUILICURA;VITACURA;F58220
501;(M) PARQUE BUSTAMANT;VITAL APOQUINDO;00D9A3
502;CERRO NAVIA;CANTAGALLO;00D9A3
502c;CERRO NAVIA;SANTIAGO;00D9A3
503;AV. LA ESTRELLA ;VITAL APOQUINDO;00D9A3
503c;PUDAHUEL;MERCADO CENTRAL;00D9A3
504;ENEA;HOSPITAL DIPRECA;00D9A3
505;CERRO NAVIA;PEñALOLEN;00D9A3
506;MAIPU;PEñALOLEN;00D9A3
506e;MAIPU;PEñALOLEN;00D9A3
506v;VILLA EL ABRAZO;PEñALOLEN;00D9A3
507;ENEA;AV. GRECIA;00D9A3
507c;(M) PARQUE O'HIGGINS;PEñALOLEN;00D9A3
508;ENE;AV. LAS TORRES;00D9A3
509;MAIPU;MAPOCHO;00D9A3
510;PUDAHUEL SUR;RIO CLARO;00D9A3
511;CERRO NAVIA;PEñALOLEN;00D9A3
513;EL MONTIJO;JOSE ARRIETA;00D9A3
513v;HOSPITAL SALVADOR;JOSE ARRIETA;00D9A3
514;ENEA;SAN LUIS DE MACUL;00D9A3
514c;(M) SALVADOR;AN LUIS DE MACUL;00D9A3
515N;CENTR;AN LUIS DE MACUL;00D9A3
516;PUDAHUEL SU;LAS PARCELAS;00D9A3
517;J.J.PEREZ ;PEñALOLEN;00D9A3
518;J.J. PEREZ;BILBAO;00D9A3
519;ALAMEDA;AV.GRECIA;00D9A3
541N;EL TRANQUE;COLON;00D9A3
546e;EL ABRAZO;VITACURA;00D9A3
712;PUENTE ALTO;RECOLETA;FFD400
712N;PUENTE ALTO;(M) ESCUELA MILITAR;FFD400
B01;EL SALTO;HUAMACHUCO;ED1C24
B02;CAMINO PUNTA MOCHA;ESTACIóN MAPOCHO;ED1C24
B02N;HUECHURABA;PLAZA ITALIA;ED1C24
B03;MIRAFLORES;(M) CERRO BLANCO;ED1C24
B04;EL CORTIJO;MAPOCHO;ED1C24
B04v;EL CORTIJO;(M) CERRO BLANCO;ED1C24
B05;BARRIO SAN IGNACIO;CIUDAD EMPRESARIAL;ED1C24
B06;(M) ZAPADORES;SANTA LAURA;ED1C24
B07;PARQUE INDUSTRIAL;(M) LOS LIBERTADORES;ED1C24
B08;LO MARCOLETA;MALL PLAZA NORTE;ED1C24
B09;LO MARCOLETA;MALL PLAZA NORTE;ED1C24
B10;LO BOZA;HOSPITAL FELIX BULNES;ED1C24
B11;EL SALTO;LO MARCOLETA;ED1C24
B12;(M) ZAPADORES;LO MARCOLETA;ED1C24
B12c;LO MARCOLETA;(M) LOS LIBERTADORES;ED1C24
B13;(M) VESPUCIO NORTE;LO MARCOLETA;ED1C24
B14;EL SALTO;MAPOCHO;ED1C24
B15;ARZOBISPO VALDIVIESO;MAPOCHO;ED1C24
B16;EL CARMEN;(M) VESPUCIO NORTE;ED1C24
B17;HUAMACHUCO;AV. ARZOBISPO VALDIVIESO;ED1C24
B18;VILLA PUCARA;(M) VESPUCIO NORTE;ED1C24
B18e;VILLA PUCARA;(M) VESPUCIO NORTE;ED1C24
B19;HUECHURABA;CAMINO PUNTA MOCHA;ED1C24
B20;MIRAFLORES;MAPOCHO;ED1C24
B21;PLAZA CHACABUCO;LO MARCOLETA;ED1C24
B22;PALACIO RIESCO;URMENETA;ED1C24
B23;REINA MARíA;MAPOCHO;ED1C24
B24;HUAMACHUCO;MAPOCHO;ED1C24
B25;(M) VESPUCIO NORTE;(M) CERRO BLANCO;ED1C24
B26;EL CORTIJO;(M) ESTACION CENTRAL;ED1C24
B27;(M) VESPUCIO NORTE;MAPOCHO;ED1C24
B28;HUAMACHUCO;(M) ESTACIóN CENTRAL;ED1C24
B29;RENCA;(M) SANTA ANA;ED1C24
