iLat;iLon;stops;services;route_segments;puntos
6;64;33634/33635/33860/34564;10bI/10dI/10kI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17oI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;15-16/3-4/115-116/74-75/72-73/0/0/0/55-56/0/0/72-73-74-75/75-76-77-78/10-11/42-43/21/60-61-62/46/34/62-63-64/43/77-78-79/48/23;
6;65;;Linea 1I/Linea 1R;48-49-50/22-23;
7;59;42213;10bI/10oI/11eI/11fI/11qI/11rI;3-4/82/4/4/67/68;
7;60;34560/34869/34870/42241/42272;10aI/10bI/10cI/10jI/10nI/10oI/10pI/11eI/11fI/11qI/11rI/17oI/17wI/17xI;5-6/3/5-6/9-10/95-96/82/102-103-104-105/4/4/67/68/6-7/67-68/53-54;
7;61;41937/42236/42237/42240;10aI/10bI/10cI/10jI/10nI/10oI/10pI/11eI/11fI/11qI/11rI/17oI/17wI/17xI;4-5-6-8-9-10-11/1-2-3/4-5/3-4-5-6-7-8-9-10-11/90-91-92-95-96-97/82-83-84-85/102-105-106/4-6-7-8-9/4-6-7-8-9-10/62-63-64-65-67/63-64-65-66-68/7-8/66-67/52-53;
7;62;;10aI/10bI/10jI/10nI/10oI/11eI/11fI/11qI/11rI;8-11/1/3-4/90-92-93/84-85/6/6/62-65/63-66;
7;63;33636/33637/33857/37901;10aI/10bI/10dI/10kI/10nI/11qI/11rI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17oI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;11-12/0-1-13-14-16-17/1-2-4-5/113-114/89-90/61-62/62-63/71-72-73/69-70-71/0-1/0-1/0-1/53-54/0-1/0-1/72/75/9-11-12/42/22/58-59/47/35/60-61/43-44/75-76/46-47/24-25-26;
7;64;;Linea 1I/Linea 1R;47-48/23-24;
8;59;34558/34559/34871;10bI/10cI/10oI/10pI/11eI/11fI/11qI/11rI/17oI/17wI/17xI;4-5-6/6-7/79-80-81-82/103-104/0-1-2-3-4/0-1-2-3-4/67-68-69-70-71-72-73/68-69-70-71-72-73-74/4-5-6/68-69-70/54-55;
8;60;34557/34872;10bI/10cI/10oI/10pI/11eI/11fI/11qI/11rI/17oI/17wI/17xI;6-7-8/6-7/77-78-79/103-104/0-1/0-1/70-71/71-72/2-3-4-6/68-70-71-72/54-55-56-57;
