code;name;latitude;longitude;services
33704;Inacap;-36.78140449;-73.07639192;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-30q-50u-80j-80k-80l
33705;Autopista Concep. Talcahuano - Benavente;-36.77453055;-73.08049641;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-30q-50u-80j-80k-80l
33706;Autopista Concep. Talcahuano - Rio Colorado / Oriente;-36.7723618;-73.08182774;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-30q-50u-80j-80k-80l
33713;Autopista Concep. Talcahuano - Rio Lluta;-36.77007427;-73.08306112;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-30q-50u-80j-80k-80l
33714;Autopista Concep. Talcahuano - Jaime Repullo;-36.76813072;-73.08438668;10a-10b-10c-10d-10j-10t-11f-13g-14h-16h-16i-20a-20j-20z-30q-50u-80j-80k-80l
33736;Almirante Villarroel;-36.70713986;-73.11389934;11f-11r-12a-12b-12q-12r-13g-13s-20a-20j-20z-56o-81c
33770;Autopista Talcahuna Concep. - Rio Lenga;-36.76965335;-73.08378862;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-50s-57y-70k-80h-80q-80z
33771;Autopista Talcahuna Concep. - Rio Petorca;-36.77165312;-73.08259605;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-50s-57y-70k-80h-80q-80z
33772;Autopista Talcahuano Concep. - Benavente;-36.77469725;-73.08077236;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-50s-57y-70k-80h-80q-80z
33773;Inacap / Poniente;-36.78175913;-73.07658475;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-50s-57y-70k-80h-80q-80z-B02
33774;Mall Plaza Trebol / Poniente;-36.79195668;-73.07068158;10k-10l-10m-10n-10o-10p-11q-11r-13s-14t-16k-16v-20l-20v-20w-30c-40g-42w-50s-57y-70k-80h-80q-80z-B02
