service;origin;destiny;color_id;stopsI;stopsR;scheduleI;scheduleR
14u;Los Altos ;Policlinico;0;35103---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33829---33830---33831---33662---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---42897---42898---42887---42943---42944---42945---42947---42949---42951---42952---42958---42955---42980---42981---42982---42979---42983---42954---42957;42956---42954---42983---42979---43082---43080---42953---42958---42950---42948---42946---42894---42893---42891---42892---42895---42896---42889---42888---42890---42886---42885---33650---34430---34431---34432---34433---34434---34435---34436---34437---34438---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---43098---34593---34594---35190---34410---35192---35103;-;-
14z;Terminal Collao;;0;42956---42954---42983---42979---43082---43080---42953---42958---42950---42948---42946---42894---42893---42891---42892---42895---42896---42889---42888---42890---42886---42885---33650---34430---34431---34432---34433---34434---34435---34436---34437---34438---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---43098---34593---34594---35190---34410---35192---35103;35103---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33829---33830---33831---33662---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---42897---42898---42887---42943---42944---42945---42947---42949---42951---42952---42958---42955---42980---42981---42982---42979---42983---42954---42957;-;-
16h;San Vicente;;0;33634---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---43205---43339---43207---43208---43209---43210---42389---42390---42391---42392---42393---42394---43211---43212---43213---43214---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---37445;37445---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---42154---42155---42156---42157---42158---43326---43327---43328---42161---42162---42163---42164---42165---42166---43335---43336---43337---43206---43338---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---34442---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---37901---33858---34564---33860;-;-
16i;San Vicente;;0;33634---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---43205---42385---42386---42387---42388---42389---42390---42391---42392---42393---42394---43211---43212---43213---43230---43231---42399---42400---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---37445;37445---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---42154---42155---42156---43344---43345---43326---43327---43328---42161---42162---42163---42164---42165---42166---43335---43336---43337---43206---43338---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---34442---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---37901---33858---34564---33860;-;-
16k;Leonera;;0;37445---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---42154---42155---42156---42157---42158---43326---43327---43328---42161---42162---42163---42164---42165---42166---43335---43336---43337---43206---43338---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---34442---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---37901---33858---34564---33860;33634---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---43205---43339---43207---43208---43209---43210---42389---42390---42391---42392---42393---42394---43211---43212---43213---43214---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---37445;-;-
16v;Leonera;;0;37445---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---42154---42155---42156---43344---43345---43326---43327---43328---42161---42162---42163---42164---42165---42166---43335---43336---43337---43206---43338---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---34442---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---37901---33858---34564---33860;33634---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---43205---42385---42386---42387---42388---42389---42390---42391---42392---42393---42394---43211---43212---43213---43230---43231---42399---42400---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---37445;-;-
17a;Cerro Verde Bajo;;0;34408---34413---34414---34415---33856---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33649---33650---34430---34431---34432---34433---34434---34435---34436---34437---34438---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---34460---34461---34462---34463---34464---34465---34466---34467---34468---34469---34470---34471---34472---34473---34474---34475---34476---34410---34477---34478---34479---34480---34481---34482---34483---34484---34485---34486---34487---34488---34489---34490---34491---34492---34493---34494---34495---34411---34412---34497---34519---34520---34521---34522---34523---34524---34525---34526---34527---34528---34529;34529---34693---34731---34732---34733---34734---34735---34736---34737---34738---34773---34774---34775---34776---34777---34778---34779---34780---34781---34782---34783---34784---34785---34792---34793---34794---34795---34796---34797---34799---34800---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---34828---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---34868---34415---34869---34870---34871---34872---34873---34408;-;-
17o;Valle Nonguen;;0;34408---34413---34414---34557---34558---34559---34560---34561---33856---33858---34564---33860---33635---33636---33857---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34627---34628---34629---34630---34605---34631---34632---34633---34634;34634---34633---35058---35059---35060---35061---35062---35063---35064---35065---35066---35067---35068---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---34828---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---34442---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---34868---34415---34869---34870---34558---34871---34872---34873---34408;-;-
17w;Porvenir ;Los Bloques;0;34529---34693---34731---34732---34733---34734---34735---34736---34737---34738---34773---34774---34775---34776---34777---34778---34779---34780---34781---34782---34783---34784---34785---34792---34793---34794---34795---34796---34797---34799---34800---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---34828---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---34868---34415---34869---34870---34871---34872---34873---34408;34408---34413---34414---34415---33856---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33649---33650---34430---34431---34432---34433---34434---34435---34436---34437---34438---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---34460---34461---34462---34463---34464---34465---34466---34467---34468---34469---34470---34471---34472---34473---34474---34475---34476---34410---34477---34478---34479---34480---34481---34482---34483---34484---34485---34486---34487---34488---34489---34490---34491---34492---34493---34494---34495---34411---34412---34497---34519---34520---34521---34522---34523---34524---34525---34526---34527---34528---34529;-;-
17x;Porvenir ;Los Bloques;0;34634---34633---35058---35059---35060---35061---35062---35063---35064---35065---35066---35067---35068---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---34828---33797---33798---34831---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---34442---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---34868---34415---34869---34870---34558---34871---34872---34873---34408;34408---34413---34414---34557---34558---34559---34560---34561---33856---33858---34564---33860---33635---33636---33857---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33648---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---34442---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34627---34628---34629---34630---34605---34631---34632---34633---34634;-;-
18p;Rinconada;;0;34692---34694---34695---34696---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33662---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---33856---33857---33858---33859---34789---34790---34791---34818---34542---34819---34820---34821---34822---34798---34823---34810---34824---34874---34875---34876---34877---34878---34879---34889---34881---34882---34883---34884---34885---34886---34887---34888---34880---34890---34891---34892---34893---34535---34530;34530---34531---34532---34537---34538---34539---34546---34547---34540---34541---34548---34549---33860---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---34430---34431---34432---34433---34434---34435---34847---34437---34438---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34679---34680---34683---34684---34685---34686---34687---34688---34689---34690---34682---34691;-;-
18y;Palomares;;0;34530---34531---34532---34537---34538---34539---34546---34547---34540---34541---34548---34549---33860---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---34430---34431---34432---34433---34434---34435---34847---34437---34438---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34679---34680---34683---34684---34685---34686---34687---34688---34689---34690---34682---34691;34692---34694---34695---34696---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33662---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---33856---33857---33858---33859---34789---34790---34791---34818---34542---34819---34820---34821---34822---34798---34823---34810---34824---34874---34875---34876---34877---34878---34879---34889---34881---34882---34883---34884---34885---34886---34887---34888---34880---34890---34891---34892---34893---34535---34530;-;-
20a;Puerta Los Leones;;0;34968---34969---34970---34971---34972---34973---34974---34975---34976---34949---34977---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34991---34992---34993---34994---34995---34996---34997---34463---34464---34465---34466---34467---34468---34469---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---33736;32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34944---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---34959---34960---34961---34962---34963---34964---34965---34966---34967;-;-
20j;Puerta Los Leones;;0;34968---34969---34970---34971---34972---34973---34974---34975---34976---34949---34977---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34991---34992---34993---34994---34995---35078---35079---35080---35081---35082---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---33736;32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34944---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---34959---34960---34961---34962---34963---34964---34965---34966---34967;-;-
20l;Boca Sur;;0;32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34944---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---34959---34960---34961---34962---34963---34964---34965---34966---34967;34968---34969---34970---34971---34972---34973---34974---34975---34976---34949---34977---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34991---34992---34993---34994---34995---35078---35079---35080---35081---35082---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---33736;-;-
20v;Boca Sur;;0;32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34944---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---34959---34960---34961---34962---34963---34964---34965---34966---34967;34968---34969---34970---34971---34972---34973---34974---34975---34976---34949---34977---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34991---34992---34993---34994---34995---34996---34997---34463---34464---34465---34466---34467---34468---34469---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---33736;-;-
20w;San Pedro De La Costa;;0;32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34944---34945---35044---35045---35046---35043---35047---35048---35049---35050---35051---35052---35053---35054---35055---35056---35057---34984---34985---34986---34959---34960---34961---34962---34963---34964---34965---34966---34967;34968---34969---34970---34971---34972---34973---34974---34975---34976---34949---34977---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34991---34992---34993---34994---34995---34996---34997---34463---34464---34465---34466---34467---34468---34469---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---33736;-;-
20z;Puerta Los Leones;;0;34968---34969---34970---34971---34972---34973---34974---34975---34976---34949---34977---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34991---34992---34993---34994---34995---34996---34997---34463---34464---34465---34466---34467---34468---34469---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---33736;32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34944---34945---35044---35045---35046---35043---35047---35048---35049---35050---35051---35052---35053---35054---35055---35056---35057---34984---34985---34986---34959---34960---34961---34962---34963---34964---34965---34966---34967;-;-
21b;Candelaria;;0;35103---35075---35076---35077---34801---35108---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---35082---35080---35125---34912---34940---34941---35134---35135---35127---35128---35129---35136---35130---35137---35138---35139---35140---35141---35142---35143---35144---35145---35146---35147---35148---35131---35149---35150---35151---35152---35153;35131---35149---35150---35151---35152---35153---35154---35155---35156---35157---35158---35159---35160---35161---35162---35163---35164---35165---34993---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---35190---34410---35192---35103;-;-
21q;Terminal Collao;;0;35131---35149---35150---35151---35152---35153---35154---35155---35156---35157---35158---35159---35160---35161---35162---35163---35164---35165---34993---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---35190---34410---35192---35103;35103---35075---35076---35077---34801---35108---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---35082---35080---35125---34912---34940---34941---35134---35135---35127---35128---35129---35136---35130---35137---35138---35139---35140---35141---35142---35143---35144---35145---35146---35147---35148---35131---35149---35150---35151---35152---35153;-;-
22c;Lomas Coloradas ;Coloane;0;34695---34696---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---35082---35080---35125---34912---34940---34941---34942---34945---35044---35045---35046---35234---35235---35236---35237---35238---35239---35240---35241---35242---35243---35244---35245---35246---35247---35248---35249---35250;35250---35259---35260---35261---35262---35263---35251---35264---35265---35266---35267---35268---35269---35270---35271---35272---35273---35274---35275---34945---34989---34990---34944---34991---34992---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34679---34680;-;-
22d;Michaihue;;0;35318---35319---35320---35321---35062---35063---35064---35065---35066---35067---35068---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---34912---34940---34941---34942---34943---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---35399---35387---35400---35401---35402;35402---35507---35510---35511---35512---35513---35508---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34944---34991---34992---34993---34994---34995---34996---34997---34463---34464---34465---34466---34467---34468---34469---34470---34471---34472---34473---34474---34475---34476---34596---34597---34598---34599---34600---34601---34602---34603---34626---34627---34628---34629---34630---35548---35547---35546---35553;-;-
22e;Candelaria;;0;34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---35082---35080---35125---35409---35411---35412---35413---35414---35415---35416---34943---35417---35418---35419---35420---35421---35422---35423---35424---35425---35426---35427---35428---35429---35430---35410;35616---35617---35618---35619---35620---35621---35622---35623---35624---35625---35626---35627---35628---35629---34989---34990---34944---34991---34992---34993---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587;-;-
22j;Collao;;0;35402---35474---35475---35476---35477---35478---35479---35480---35481---35482---35483---35484---35485---35486---35487---35488---35489---35490---35491---35492---35275---34989---34990---34944---34991---34992---34993---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---35072;35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---35575---35576---35577---35578---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34945---35044---35587---35043---35047---35048---35049---35050---35051---35052---35053---35480---35055---35056---35057---35606---35607---35402;-;-
22k;La Araucana;;0;35402---35507---35510---35511---35512---35513---35508---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34944---34991---34992---34993---34994---34995---34996---34997---34463---34464---34465---34466---34467---34468---34469---34470---34471---34472---34473---34474---34475---34476---34596---34597---34598---34599---34600---34601---34602---34603---34626---34627---34628---34629---34630---35548---35547---35546---35553;35318---35319---35320---35321---35062---35063---35064---35065---35066---35067---35068---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---34912---34940---34941---34942---34943---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---35399---35387---35400---35401---35402;-;-
22n;Michaihue;;0;35553---35568---35318---35319---35320---35321---35062---35063---35064---35065---35066---35067---35068---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---35575---35576---35577---35578---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34945---34946---34947---34948---34949---34950---34951---34952---34953---34954---34955---34956---34957---34958---35399---35387---35400---35401---35402;35402---35507---35510---35511---35512---35513---35508---34978---34979---34980---34981---34982---34983---34984---34985---34986---34959---34987---34988---34989---34990---34944---34991---34992---34993---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34627---34628---34629---34630---35548---35547---35546---35553;-;-
22o;San Pedro De La Costa;;0;35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---35575---35576---35577---35578---34932---34933---34934---34935---34936---34937---34938---34939---34912---34940---34941---34942---34943---34945---35044---35587---35043---35047---35048---35049---35050---35051---35052---35053---35480---35055---35056---35057---35606---35607---35402;35402---35474---35475---35476---35477---35478---35479---35480---35481---35482---35483---35484---35485---35486---35487---35488---35489---35490---35491---35492---35275---34989---34990---34944---34991---34992---34993---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---35072;-;-
22r;Universidad Bio Bio;;0;35250---35259---35260---35261---35262---35263---35251---35264---35265---35266---35267---35268---35269---35270---35271---35272---35273---35274---35275---34945---34989---34990---34944---34991---34992---34994---34995---35078---35079---35081---35172---35173---33682---33683---33684---33685---33686---33687---33688---34586---34587---34588---34589---34590---34591---34592---34593---34594---34595---34596---34597---34598---34599---34600---34601---34602---34603---34626---34679---34680;34695---34696---35069---35070---35071---35072---35073---35074---35075---35076---35077---34801---34802---34803---34804---34805---34806---34807---34808---34809---34811---33787---33788---33789---33790---33791---33792---33793---33794---33795---35082---35080---35125---34912---34940---34941---34942---34945---35044---35045---35046---35234---35235---35236---35237---35238---35239---35240---35241---35242---35243---35244---35245---35246---35247---35248---35249---35250;-;-
