stop_code;stop_name;stop_lat;stop_lon
LS;Laguna Sur;-33.46256553;-70.73807511
LT;Las Torres;-33.50004203;-70.58708134
LV;Lo Vial;-33.49727563;-70.65311058
MA;Mirador;-33.51293918;-70.60658782
MC;Macul;-33.50878592;-70.58949095
ME;Las Mercedes;-33.60211937;-70.57720235
MM;Manuel Montt;-33.42834568;-70.61921362
MQ;Manquehue;-33.40925315;-70.568739
MT;Monte Tabor;-33.48181847;-70.74517496
NP;Neptuno;-33.45155269;-70.72269726
NU;Ñuble;-33.4671905;-70.62518673
OR;Los Orientales;-33.46246076;-70.57379639
PA;Las Parcelas;-33.47539752;-70.7400531
PA1;PA1-Parada 6 / (M) Quinta Normal;-33.44011712;-70.68002531
PA10;PA10-Bascuñán Guerrero Esq. / Avenida El Mirador;-33.46676215;-70.67163003
PA100;PA100-Parada 2 / Persa Biobío;-33.47404898;-70.64194056
PA101;PA101-Parada 2 / Franklin   Santa Rosa;-33.47199148;-70.64204164
PA102;PA102-Parada 2 / Sargento Aldea   Santa Rosa;-33.46861609;-70.64223621
PA103;PA103-Parada 2 / Miguel León Prado   Santa Rosa;-33.46464577;-70.64240879
PA104;PA104-Parada 2 / Hospital   Sn. Borja Arriarán;-33.46088828;-70.64285437
PA105;PA105-Parada 2 / Colegio   María Auxiliadora;-33.45766315;-70.64327768
PA106;PA106-Parada 2 / Colegio   Santa María;-33.45211493;-70.64410897
PA107;PA107-Parada 2 / Cóndor   Santa Rosa;-33.44985536;-70.64448588
PA108;PA108-Parada 4 / Eleuterio Ramírez   Santa Rosa;-33.44694365;-70.64507638
PA109;PA109-Parada 8 / (M) Santa Lucía;-33.4433868;-70.64603116
PA11;PA11-Bascuñán Guerrero Esq. / Fray De La Peña;-33.46268279;-70.67253082
PA111;PA111-Parada 2 / Iglesia La Merced;-33.43833343;-70.64694683
PA112;PA112-Parada 2 / Casa De   Los Velasco;-33.43599314;-70.64728983
PA113;PA113-Parada 3 / Mercado Central;-33.43378609;-70.64778592
PA114;PA114-Parada 2 / Huérfanos   Mac - Iver;-33.439626;-70.64672385
PA115;PA115-Parada 6 / (M) Santa Lucía;-33.44331638;-70.64590074
PA116;PA116-Carmen Esq. / Sara Del Campo;-33.44417422;-70.64309853
PA117;PA117-Carmen Esq. / Marín;-33.4473398;-70.64240519
PA118;PA118-Carmen Esq. / Santa Isabel;-33.4496759;-70.64169618
PA119;PA119-Carmen Esq. / Av. 10 De Julio;-33.45248211;-70.64089916
PA12;PA12-Bascuñán Guerrero Esq. / Av. Blanco Encalada;-33.45873809;-70.67347716
PA120;PA120-Carmen Esq. / Coquimbo;-33.45434582;-70.64045013
PA121;PA121-Carmen Esq. / Av. Manuel A. Matta;-33.45712384;-70.63973858
PA122;PA122-Carmen Esq. / Santa Elvira;-33.46045467;-70.6388222
PA123;PA123-Carmen Esq. / M. León Prado;-33.46331454;-70.63805829
PA124;PA124-Carmen Esq. / Maule;-33.46590278;-70.63737531
PA125;PA125-Carmen Esq. / Ñuble;-33.46824674;-70.63675226
PA126;PA126-Carmen Esq. / Franklin;-33.47218347;-70.63570716
PA127;PA127-Sierra Bella Esq. / Franklin;-33.47247366;-70.63285024
PA128;PA128-Sierra Bella Esq. / Ñuble;-33.4684196;-70.63390402
PA129;PA129-Sierra Bella Esq. / Maule;-33.46595774;-70.63457874
PA13;PA13-Bascuñán Guerrero Esq. / Toesca;-33.45611477;-70.67407228
PA130;PA130-Sierra Bella Esq. / M. León Prado;-33.46350503;-70.63524283
PA131;PA131-Sierra Bella Esq. / Santa Elvira;-33.46027367;-70.63613972
PA132;PA132-Sierra Bella Esq. / Av. Manuel A. Matta;-33.45737932;-70.63678468
PA133;PA133-Lira Esq. / Coquimbo;-33.45484702;-70.63732881
PA134;PA134-Lira Esq. / Av. 10 De Julio;-33.45243164;-70.63789663
PA135;PA135-Lira Esq. / Santa Isabel;-33.44937917;-70.63890428
PA136;PA136-Lira Esq. / General Jofré;-33.44619016;-70.6400061
PA137;PA137-Curicó Esq. / San Isidro;-33.44622017;-70.64386863
PA138;PA138-Parada 7 / (M) Santa Lucía;-33.44363294;-70.64583142
PA139;PA139-Parada 1 / Eyzaguirre   San Francisco;-33.45175451;-70.64680248
PA14;PA14-Bascuñán Guerrero Esq. / Sazié;-33.45291197;-70.67483911
PA140;PA140-Parada 1 / Copiapó   San Francisco;-33.45470917;-70.64637421
PA141;PA141-Parada 1 / Av. Matta   San Francisco;-33.45840026;-70.64549719
PA142;PA142-Parada 1 / Hospital   Sn. Borja Arriarán;-33.46147326;-70.64498501
PA143;PA143-Parada 1 / Victoria   San Francisco;-33.46491477;-70.64456584
PA144;PA144-Parada 1 / General Gana   San Francisco;-33.47011654;-70.64401848
PA145;PA145-Parada 1 / Matadero Franklin;-33.47286912;-70.64386602
PA146;PA146-Parada 4 / Persa Biobío;-33.4750144;-70.64190497
PA147;PA147-Parada 4 / Franklin   Santa Rosa;-33.4727046;-70.64199053
PA148;PA148-Parada 4 / Ñuble   Santa Rosa;-33.46977127;-70.64217192
PA149;PA149-Parada 4 / Pedro Lagos   Santa Rosa;-33.46597269;-70.64231547
PA15;PA15-Parada  / Estadio   Victor Jara;-33.45045094;-70.67543727
PA150;PA150-Parada 4 / Hospital   Sn. Borja Arriarán;-33.4615566;-70.6427809
PA151;PA151-Parada 4 / Colegio   María Auxiliadora;-33.45864818;-70.64312412
PA152;PA152-Parada 4 / Diez De Julio   Santa Rosa;-33.45363304;-70.64387942
PA153;PA153-Parada 4 / Santa Isabel   Santa Rosa;-33.45087688;-70.64430076
PA154;PA154-Parada 2 / Curicó   Santa Rosa;-33.44771286;-70.64487575
PA155;PA155-Parada  / Cerro Santa Lucía;-33.43938878;-70.64421305
PA156;PA156-Parada 1 / (M) Santa Lucía;-33.44201237;-70.64630639
PA158;PA158-Parada 8 / Estación Mapocho;-33.43310989;-70.6525165
PA159;PA159-Parada 2 / Monjitas   Mac-Iver;-33.43715921;-70.64708598
PA16;PA16-Parada 2 / (M) Estación Central;-33.45048247;-70.67843936
PA160;PA160-Parada 2 / Iglesia San Pedro;-33.4348275;-70.64746141
PA161;PA161-Parada 1 / Mercado Central;-33.43326489;-70.64832462
PA162;PA162-Parada 1 / Teatro Municipal;-33.44022982;-70.64811213
PA163;PA163-Parada 1 / (M) Unión   Latinoamericana;-33.448935;-70.67082528
PA164;PA164-Parada 2 / (M) República;-33.44786202;-70.66679207
PA165;PA165-Parada 7 / (M) Los Héroes;-33.44673898;-70.66110134
PA166;PA166-Parada 8 / (M) La Moneda;-33.44603183;-70.65801121
PA167;PA167-Parada 6 / (M) Universidad   De Chile;-33.44412516;-70.65086437
PA168;PA168-Parada 4 / (M) Santa Lucía;-33.44254124;-70.64450919
PA169;PA169-Parada 1 / (M) Universidad   Católica;-33.44039263;-70.64059618
PA17;PA17-Parada 2 / Centro   De Justicia;-33.47244013;-70.65509218
PA170;PA170-Parada 6 / Plaza Italia;-33.43812248;-70.63631536
PA171;PA171-Barón P. De Coubertin Esq. / Av.Vicuña Mackenna;-33.44021845;-70.63466589
PA172;PA172-Parada 1 / (M) Parque   Bustamante;-33.44296477;-70.63362018
PA174;PA174-Parada 1 / (M) Santa Isabel;-33.44821618;-70.63204042
PA176;PA176-Parada 6 / (M) Irarrázaval;-33.45283376;-70.63065304
PA177;PA177-Parada 4 / (M) Irarrázaval;-33.45513218;-70.6300613
PA178;PA178-Av. Vicuña Mackenna Esq. / Victoria;-33.45970367;-70.62874817
PA179;PA179-Av. Vicuña Mackenna Esq. / M. León Prado;-33.46164117;-70.62817112
PA18;PA18-Parada 2 / (M) Rondizzoni;-33.47059897;-70.65587497
PA180;PA180-Av. Vicuña Mackenna Esq. / Maule;-33.46462819;-70.62733391
PA181;PA181-Parada  / (M) Ñuble;-33.46707241;-70.62662639
PA182;PA182-Parada 2 / (M) Santa Lucía;-33.4425848;-70.64598374
PA183;PA183-Parada 3 / (M) Universidad   De Chile;-33.443795;-70.65127765
PA184;PA184-Parada 4 / (M) La Moneda;-33.44461505;-70.65538098
PA185;PA185-Parada 3 / (M) Los Héroes;-33.44595431;-70.6611079
PA186;PA186-Parada 6 / (M) Unión   Latinoamericana;-33.44857657;-70.67132402
PA187;PA187-Parada 1 / (M) República;-33.44741677;-70.66704174
PA19;PA19-Ñuble Esq. / Lord Cochrane;-33.47027398;-70.65252227
PA190;PA190-Parada 10 / (M) Santa Ana;-33.43798341;-70.66034283
PA191;PA191-Parada 4 / (M) Quinta Normal;-33.44109156;-70.67999031
PA193;PA193-Parada 11 / (M) Santa Ana;-33.43729926;-70.65957685
PA195;PA195-Parada 1 / Monjitas   San Antonio;-33.4368411;-70.64862889
PA196;PA196-Nataniel Cox Esq. / Eleuterio Ramírez;-33.44953927;-70.65333372
PA197;PA197-Nataniel Cox Esq. / Santa Isabel;-33.45199749;-70.65293929
PA198;PA198-Parada 6 / Teatro Cariola;-33.44946648;-70.65067512
PA199;PA199-Portugal Esq. / Coquimbo;-33.45355565;-70.63404472
PA2;PA2-Chacabuco Esq. / Romero;-33.44691409;-70.67823076
PA20;PA20-Lord Cochrane Esq. / Pedro Lagos;-33.46818458;-70.65231044
PA200;PA200-Parada 5 / (M) Irarrázaval;-33.45604933;-70.6316385
PA202;PA202-Maule Esq. / Avenida Portugal;-33.46528818;-70.63063879
PA203;PA203-Maule Esq. / Sierra Bella;-33.46573418;-70.63443466
PA204;PA204-Maule Esq. / Santiago Concha;-33.4661291;-70.63799289
PA205;PA205-Maule Esq. / Av. Santa Rosa;-33.46655356;-70.6420359
PA206;PA206-Miguel León Prado Esq. / Pasaje Marta;-33.46411062;-70.64127968
PA207;PA207-Miguel León Prado Esq. / Carmen;-33.46371699;-70.63831334
PA208;PA208-Miguel León Prado Esq. / Sierra Bella;-33.46335694;-70.63553056
PA209;PA209-Miguel León Prado Esq. / Avenida Portugal;-33.4627474;-70.63182856
PA21;PA21-Lord Cochrane Esq. / Victoria;-33.46539335;-70.65265558
PA210;PA210-Miguel León Prado Esq. / Av.Vicuña Mackenna;-33.46194587;-70.62831669
PA212;PA212-Tarapacá Esq. / Lord Cochrane;-33.44775352;-70.65402059
PA213;PA213-Parada  / Colegio   San Ignacio;-33.4470269;-70.65508256
PA214;PA214-Av. Pdte. Balmaceda Esq. / Hermanos Amunátegui;-33.43188268;-70.65730106
PA215;PA215-Parada 5 / (M) La Moneda;-33.44513315;-70.65440114
PA218;PA218-Amunátegui Esq. / Moneda;-33.44265011;-70.65597832
PA219;PA219-Amunátegui Esq. / Huérfanos;-33.44057913;-70.65641226
PA22;PA22-Lord Cochrane Esq. / Santiago;-33.4628912;-70.65296315
PA220;PA220-Amunátegui Esq. / Santo Domingo;-33.43710037;-70.65691623
PA221;PA221-Parada 10 / Estación Mapocho;-33.43397728;-70.65307074
PA222;PA222-San Pablo Esq. / Herrera;-33.43565038;-70.67822897
PA223;PA223-San Pablo Esq. / Rafael Sotomayor;-33.43512933;-70.67407783
PA224;PA224-San Pablo Esq. / General Bulnes;-33.43505943;-70.67123687
PA225;PA225-San Pablo Esq. / Maturana;-33.43493987;-70.66806153
PA226;PA226-San Pablo Esq. / Almirante Barroso;-33.43475668;-70.66357273
PA228;PA228-Manuel Rodríguez Esq. / Rosas;-33.43548997;-70.6606718
PA229;PA229-Parada 13 / (M) Santa Ana;-33.43666478;-70.66048981
PA23;PA23-Lord Cochrane Esq. / Aconcagua;-33.45892531;-70.65347962
PA230;PA230-Manuel Rodríguez Esq. / Agustinas;-33.4409956;-70.66033568
PA231;PA231-Manuel Rodríguez Esq. / Alameda;-33.44427749;-70.66106517
PA232;PA232-Parada 6 / (M) Los Héroes;-33.44713257;-70.66066778
PA233;PA233-Manuel Rodríguez Esq. / Sazié;-33.44878926;-70.66019375
PA234;PA234-Parada 3 / (M) Parque   O'Higgins;-33.46096543;-70.65738097
PA235;PA235-Avenida Viel Esq. / Pedro Lagos;-33.46719681;-70.65604698
PA236;PA236-Avenida Viel Esq. / Victoria;-33.46488672;-70.65615367
PA237;PA237-Avenida Viel Esq. / Santiago;-33.46291938;-70.65625612
PA238;PA238-Parada 2 / (M) Parque   O'Higgins;-33.46088907;-70.65634662
PA239;PA239-Parada  / Museo Militar;-33.45680927;-70.6566133
PA24;PA24-Lord Cochrane Esq. / Compañía De Jesús;-33.45626115;-70.65376256
PA240;PA240-Manuel Rodríguez Esq. / Av. 10 De Julio;-33.45485062;-70.65741522
PA241;PA241-Manuel Rodríguez Esq. / Padre M. De Olivares;-33.44986898;-70.65903095
PA243;PA243-Parada 5 / (M) Santa Ana;-33.43949417;-70.65931746
PA244;PA244-Parada 9 / (M) Santa Ana;-33.43840995;-70.65946892
PA245;PA245-Parada 2 / Teatro Teletón;-33.4361153;-70.65976943
PA246;PA246-Rosas Esq. / Riquelme;-33.43591597;-70.66118546
PA247;PA247-Parada 2 / Brasil - Rosas;-33.43616323;-70.66426647
PA248;PA248-Rosas Esq. / Ricardo Cumming;-33.43657411;-70.6685876
PA249;PA249-Rosas Esq. / García Reyes;-33.43674439;-70.67134448
PA25;PA25-Avenida 10 De Julio Esq. / San Ignacio;-33.45440953;-70.65533042
PA250;PA250-Rosas Esq. / Cueto;-33.43682878;-70.67244324
PA251;PA251-Rosas Esq. / Maipú;-33.43708769;-70.67664319
PA259;PA259-Parada 4 / (M) Bellas Artes;-33.43653333;-70.64259951
PA26;PA26-Dieciocho Esq. / Rosales;-33.45085684;-70.65731771
PA260;PA260-Parada 2 / Miraflores   Santo Domingo;-33.43551954;-70.64560291
PA261;PA261-Parada 2 / San Antonio   Santo Domingo;-33.43584361;-70.64836263
PA262;PA262-Parada 2 / (M) Plaza   De Armas;-33.43612182;-70.65117528
PA263;PA263-Parada 4 / Morandé   Santo Domingo;-33.43649956;-70.65463522
PA264;PA264-Parada 2 / (M) Santa Ana;-33.43690424;-70.65809571
PA265;PA265-Manuel Rodríguez Esq. / San Pablo;-33.43478722;-70.65994851
PA27;PA27-Dieciocho Esq. / Vidaurre;-33.4473297;-70.65806819
PA270;PA270-Avenida Brasil Esq. / Santo Domingo;-33.43743174;-70.66449506
PA271;PA271-Parada 3 / Plaza Brasil;-33.44070617;-70.6651062
PA272;PA272-Avenida Brasil Esq. / Moneda;-33.44307663;-70.66520529
PA273;PA273-Avenida Brasil Esq. / Alameda;-33.44661852;-70.66470283
PA274;PA274-Almirante Latorre Esq. / Sazié;-33.45007176;-70.66475806
PA275;PA275-Club Hípico Esq. / Toesca;-33.45369283;-70.66507471
PA276;PA276-Parada 3 / Escuela   De Ingeniería;-33.45627268;-70.66502721
PA277;PA277-Parada 2 / Avenida España   Blanco;-33.45770533;-70.66914299
PA278;PA278-Parada 2 / Bascuñán - Blanco;-33.4583331;-70.67341558
PA279;PA279-San Alfonso Esq. / Lincoln;-33.45942447;-70.67473841
PA28;PA28-Parada 7 / (M) La Moneda;-33.4457142;-70.65681109
PA280;PA280-San Alfonso Esq. / Fray Luis De La Peña;-33.46255456;-70.67401317
PA281;PA281-San Alfonso Esq. / Espiñeira;-33.4648437;-70.67345464
PA282;PA282-Antofagasta Esq. / Bascuñán Guerrero;-33.46651466;-70.67192656
PA283;PA283-El Mirador Esq. / Manuel De Amat;-33.46805311;-70.67019143
PA284;PA284-El Mirador Esq. / Av. General  Rondizzoni;-33.4702997;-70.66810396
PA285;PA285-El Mirador Esq. / Av. Pedro Montt;-33.47325889;-70.66533057
PA286;PA286-Club Hípico Esq. / Av. Pedro Montt;-33.47323762;-70.66489973
PA287;PA287-Bascuñán Guerrero Esq. / Siria;-33.47335534;-70.67156296
PA288;PA288-Parada 4 / Rondizzoni   Bascuñán;-33.47087497;-70.67159064
PA289;PA289-Parada 1 / Molina - Blanco;-33.45855396;-70.67241924
PA29;PA29-Nataniel Cox Esq. / Tarapacá;-33.44746974;-70.6536602
PA290;PA290-Parada 1 / Avenida España   Blanco;-33.45788459;-70.66855468
PA291;PA291-Avenida República Esq. / Gay;-33.45678467;-70.66652171
PA292;PA292-Avenida República Esq. / Gorbea;-33.4535294;-70.66716948
PA293;PA293-Avenida República Esq. / Sazié;-33.45126762;-70.66770713
PA294;PA294-Parada 4 / (M) República;-33.4491969;-70.66811932
PA295;PA295-Av. Ricardo Cumming Esq. / Moneda;-33.44403513;-70.66769777
PA296;PA296-Av. Ricardo Cumming Esq. / Compañía De Jesús;-33.44059997;-70.6683097
PA297;PA297-Parada 1 / Plaza Brasil;-33.43997458;-70.66518904
PA298;PA298-Parada 7 / (M) Santa Ana;-33.43953439;-70.66102854
PA299;PA299-Amunátegui Esq. / General Mackenna;-33.43345103;-70.65736315
PA3;PA3-Parada 10 / (M) Estación Central;-33.44953218;-70.67802301
PA30;PA30-San Ignacio Esq. / Padre M. De Olivares;-33.44881583;-70.65685932
PA300;PA300-Parada 9 / Estación Mapocho;-33.4332358;-70.65389564
PA302;PA302-Parada 2 / Casa De   Los Velasco;-33.43564136;-70.64661629
PA303;PA303-Parada 1 / (M) Santa Ana;-33.43699177;-70.65896864
PA305;PA305-Parada  / Mercado De   Anticuarios;-33.43023499;-70.66585266
PA307;PA307-Av. Ricardo Cumming Esq. / Castillo;-33.43061945;-70.66945237
PA308;PA308-Av. Ricardo Cumming Esq. / Andes;-33.43283168;-70.66924735
PA309;PA309-Av. Ricardo Cumming Esq. / San Pablo;-33.43463761;-70.66907757
PA31;PA31-Parada  / Palacio Cousiño;-33.4514833;-70.65632911
PA310;PA310-Av. Ricardo Cumming Esq. / Santo Domingo;-33.43737348;-70.66882879
PA311;PA311-Av. Ricardo Cumming Esq. / Compañía De Jesús;-33.43991915;-70.66864089
PA312;PA312-Av. Ricardo Cumming Esq. / Agustinas;-33.44208933;-70.66820914
PA313;PA313-Parada  / Fantasilandia;-33.45977171;-70.66502955
PA314;PA314-Parada  / Movistar Arena;-33.46197246;-70.66500708
PA315;PA315-Club Hípico Esq. / Raimundo Larraín;-33.46616614;-70.66499044
PA316;PA316-Club Hípico Esq. / Av. General  Rondizzoni;-33.4700447;-70.6649355
PA318;PA318-Avenida Beaucheff Esq. / Av. General  Rondizzoni;-33.47067015;-70.6633549
PA319;PA319-Avenida Beaucheff Esq. / Marsella;-33.46751242;-70.66345597
PA32;PA32-San Ignacio Esq. / Av. 10 De Julio;-33.45385323;-70.65579322
PA320;PA320-Parada  / Movistar Arena;-33.46366819;-70.66364075
PA321;PA321-Parada  / Fantasilandia;-33.45886769;-70.66385029
PA322;PA322-Parada 2 / Escuela   De Ingeniería;-33.45696309;-70.66465309
PA323;PA323-Av. Ricardo Cumming Esq. / Santo Domingo;-33.43825251;-70.66851217
PA324;PA324-Av. Ricardo Cumming Esq. / San Pablo;-33.43516415;-70.66881875
PA325;PA325-Av. Ricardo Cumming Esq. / Avenida Mapocho;-33.43241912;-70.66907812
PA326;PA326-Av. Ricardo Cumming Esq. / Av. Pdte. Balmaceda;-33.42938514;-70.6693642
PA327;PA327-Parada 4 / Puente Bulnes;-33.42832835;-70.67149502
PA329;PA329-Parada 13 / Estación Mapocho;-33.43185109;-70.6522345
PA33;PA33-San Ignacio Esq. / Coquimbo;-33.45724495;-70.6557286
PA331;PA331-Parada 5 / (M) Quinta Normal;-33.44109302;-70.67988277
PA332;PA332-Parada 2 / Liceo Uno;-33.43915486;-70.65704135
PA334;PA334-Parada 1 / Miraflores   Merced;-33.43804718;-70.64609165
PA335;PA335-Parada 3 / (M) Unión   Latinoamericana;-33.44929525;-70.67219844
PA336;PA336-Parada 3 / (M) República;-33.44808356;-70.66775375
PA337;PA337-Parada 8 / (M) Los Héroes;-33.44689889;-70.66195424
PA338;PA338-Parada 6 / (M) La Moneda;-33.44544064;-70.65568712
PA339;PA339-Parada 5 / (M) Universidad   De Chile;-33.44381748;-70.64958919
PA34;PA34-Parada 6 / (M) Parque   O'Higgins;-33.45998037;-70.65551163
PA340;PA340-Parada 9 / (M) Santa Lucía;-33.44310088;-70.64650983
PA341;PA341-Parada 3 / (M) Universidad   Católica;-33.44079066;-70.64118455
PA342;PA342-Parada 7 / Plaza Italia;-33.43788111;-70.6368379
PA343;PA343-Parada 10 / Plaza Italia;-33.43730259;-70.63625694
PA344;PA344-Parada 12 / (M) Santa Lucía;-33.44285732;-70.64719368
PA345;PA345-Parada 4 / (M) Universidad   De Chile;-33.44340188;-70.64964586
PA346;PA346-Parada 10 / (M) La Moneda;-33.44532327;-70.65839576
PA347;PA347-Parada 1 / (M) Los Héroes;-33.44645784;-70.66323673
PA348;PA348-Parada 6 / (M) República;-33.44771887;-70.66804798
PA349;PA349-Parada 4 / (M) Unión   Latinoamericana;-33.44892823;-70.67266474
PA35;PA35-Parada 1 / (M) Toesca;-33.45315293;-70.65893212
PA350;PA350-Parada 7 / (M) Universidad   De Chile;-33.44441065;-70.6517734
PA352;PA352-Parada  / Hospital   Traumatológico;-33.43457103;-70.659256
PA353;PA353-Parada 4 / Mercado Central;-33.43416949;-70.64811585
PA354;PA354-Parada 5 / Estación Mapocho;-33.4328901;-70.65005999
PA355;PA355-Rosas Esq. / Avenida Matucana;-33.43733282;-70.67985331
PA357;PA357-Avenida 10 De Julio Esq. / Avenida Portugal;-33.45153322;-70.63422194
PA358;PA358-Portugal Esq. / Argomedo;-33.44999298;-70.63476322
PA359;PA359-Parada  / Claustro Del 900;-33.44621839;-70.63582194
PA36;PA36-Manuel Rodríguez Esq. / Domeyko;-33.45477369;-70.65844658
PA360;PA360-Parada 2 / Posta Central;-33.44471882;-70.6366974
PA361;PA361-Portugal Esq. / Diagonal Paraguay;-33.44322854;-70.6375515
PA362;PA362-Parada  / Hospital U.Católica;-33.44198787;-70.6386254
PA364;PA364-Parada 1 / Esmeralda   San Antonio;-33.43500656;-70.64891688
PA365;PA365-Parada 3 / (M) La Moneda;-33.44474368;-70.65587826
PA366;PA366-Parada 4 / (M) Los Héroes;-33.44579136;-70.66048086
PA367;PA367-Parada 3 / (M) Estación Central;-33.45019936;-70.67736887
PA368;PA368-Parada 4 / (M) Estación Central;-33.45062646;-70.67712965
PA369;PA369-Parada 5 / (M) República;-33.44839293;-70.66888924
PA37;PA37-Parada  / Museo Militar;-33.4560424;-70.65798659
PA370;PA370-Parada 9 / (M) Los Héroes;-33.44714579;-70.66304547
PA371;PA371-Parada 5 / (M) Santa Lucía;-33.44281004;-70.64532105
PA372;PA372-Parada 8 / Plaza Italia;-33.43826901;-70.63751209
PA373;PA373-Parada 9 / Plaza Italia;-33.43762568;-70.63705898
PA374;PA374-Parada 10 / (M) Santa Lucía;-33.4430773;-70.64828432
PA375;PA375-Parada 2 / (M) Universidad   De Chile;-33.44390904;-70.65219418
PA376;PA376-Parada 2 / (M) La Moneda;-33.44490593;-70.65655906
PA377;PA377-Parada 2 / (M) Los Héroes;-33.44616803;-70.66198333
PA378;PA378-Parada 1 / (M) Estación Central;-33.45016909;-70.67893895
PA38;PA38-Parada 1 / (M) Rondizzoni;-33.46979436;-70.65669898
PA380;PA380-Parada 4 / Estación Mapocho;-33.43256594;-70.65137682
PA383;PA383-Parada 5 / Plaza Italia;-33.43755156;-70.63584211
PA384;PA384-Parada 11 / Plaza Italia;-33.43709614;-70.63550011
PA385;PA385-Parada 3 / (M) Santa Lucía;-33.44243151;-70.64530315
PA387;PA387-Avenida Mapocho Esq. / Herrera;-33.4328953;-70.67856313
PA388;PA388-Parada  / Población Mapocho;-33.43260229;-70.67555662
PA39;PA39-Parada 1 / Centro   De Justicia;-33.47303787;-70.65557702
PA390;PA390-Avenida Mapocho Esq. / Ricardo Cumming;-33.43220712;-70.66941824
PA391;PA391-Avenida Mapocho Esq. / General Baquedano;-33.43212839;-70.6665557
PA392;PA392-Avenida Mapocho Esq. / Almirante Barroso;-33.43212915;-70.66381299
PA393;PA393-Parada 1 / Plaza Italia;-33.43678618;-70.63575245
PA395;PA395-Parada 2 / (M) Bellas Artes;-33.43646381;-70.64308224
PA396;PA396-Parada 3 / Estación Mapocho;-33.43286946;-70.65296369
PA397;PA397-Parada  / Mercado De   Anticuarios;-33.43138896;-70.66520786
PA4;PA4-Parada  / Liceo   Iasura Dinator;-33.44698184;-70.67922176
PA40;PA40-Parada 1 / Parque Forestal;-33.43695926;-70.63903641
PA405;PA405-Avenida Mapocho Esq. / General Bulnes;-33.4323237;-70.67147483
PA409;PA409-Parada  / Puente Purísima;-33.43400258;-70.64302508
PA41;PA41-Parada 6 / (M) Universidad   Católica;-33.43923591;-70.63941268
PA410;PA410-Parada  / Puente Purísima;-33.43490147;-70.63915905
PA411;PA411-Parada 1 / Facultad   De Derecho;-33.43572413;-70.63559268
PA412;PA412-Andes Esq. / Ricardo Cumming;-33.43290723;-70.6683238
PA413;PA413-Andes Esq. / General Bulnes;-33.43306225;-70.67087591
PA414;PA414-Andes Esq. / Rafael Sotomayor;-33.43325722;-70.67380525
PA415;PA415-Andes Esq. / Maipú;-33.43349312;-70.67703655
PA416;PA416-Parada 2 / Matucana - Andes;-33.43367543;-70.68022381
PA417;PA417-Parada 3 / (M) Plaza   De Armas;-33.4385902;-70.65137264
PA419;PA419-Diagonal Paraguay Esq. / Avenida Portugal;-33.44321959;-70.63822904
PA42;PA42-Parada 4 / (M) Universidad   Católica;-33.43985536;-70.64030639
