punto_id;punto_name;punto_lat;punto_lon
1731;JAMES;-33.46883;-70.697365
1732;LAS PALOMAS;-33.41849573;-70.73023412
1733;MARITA;-33.5540245;-70.6127558
1734;NIDIA;-33.42488897;-70.6968827
1735;MINIMARKET (S);-33.414982;-70.664558
1736; BRASCHILE;-33.398335;-70.627983
1737;BASTI Y SAMY;-33.456532;-70.530579
1738;LA ESTRELLA;-33.40711637;-70.72964309
1739;HECTOR GARCIA;-33.490776;-70.604355
1740;TOO EL RATO;-33.454041;-70.608879
1741;LIBRERÍA BELLO;-33.37702392;-70.62844624
1742;RUTH RAMIREZ;-33.46242026;-70.55910471
1743;POKI;-33.526146;-70.651909
1744;CHALITO ;-33.418823;-70.749794
1745;EL MONITO;-33.406956;-70.746201
1746;DE RENATO;-33.542622;-70.600975
1747;ADONAY;-33.535187;-70.638809
1748;WILLIAMS III;-33.592152;-70.619133
1749;EL DIDI;-33.48587922;-70.72900666
1750;YASNITA;-33.557907;-70.605034
1751;LOS CACHORRITOS;-33.548229;-70.611145
1752;MARIA VALENZUELA;-33.612739;-70.620193
1753;SACHA;-33.552277;-70.567589
1754;LOBITO;-33.563381;-70.582527
1755;ARTURO ARCE;-33.47108313;-70.54588238
1756;MELY BLUES;-33.56952716;-70.67773669
1757;OPTICA LOS ALPES;-33.42356529;-70.61220144
1758;ALMACEN Y BAZAR MANOLO;-33.37412844;-70.68137011
1759;CRISTY;-33.5024132;-70.57462197
1760;ARRIBA DEL BALON;-33.3595326;-70.73671447
1761;KOFKE WILLY MAPU;-33.47051006;-70.54053977
1762;SIGUENZA (S);-33.43525568;-70.70785414
1763;SRA SONIA;-33.62254063;-70.59650937
1764;SIGUENZA (S);-33.43629982;-70.75547634
1765;EL ILLY;-33.54512192;-70.64945335
1766;SEBASTIAN ;-33.62008178;-70.59114625
1767;MARINAS;-33.54204344;-70.67143284
1768;LORENA;-33.45757903;-70.53067477
1769;ALMACEN;-33.42239;-70.65990041
1770;GRANDE MARTIN;-33.38009274;-70.66259313
1771;ANDREITA;-33.51074906;-70.78971684
1772;YIREH;-33.45699896;-70.70314456
1773;TIO PEPO;-33.49800025;-70.684556
1774;CAMILA;-33.42717314;-70.73707274
1775;TABAQUERIA EL CORCEL;-33.59530064;-70.70071524
1776;CRISMADY;-33.45727922;-70.64776525
1777;ENTRETENIMIENTOS SIGUENZA (S);-33.393739;-70.6730654
1778;MAGDALENA AROS;-33.43797708;-70.7668544
1779;JOSE ARANGUIZ SALGADO (C);-33.564948;-70.565058
1780;VICTORIA VERA;-33.43648948;-70.62253075
1781;GINETTE;-33.369579;-70.722694
1782;MIRIAM TOLEDO;-33.35343765;-70.74835559
1783;CARMEN;-33.51335474;-70.7434633
1784;EL PIDA;-33.389957;-70.635803
1785;SANCHEZ BUSTAMANTE;-33.426434;-70.656654
1786;FENIX N J F;-33.41767098;-70.70207273
1787;VALPARAISO;-33.51104854;-70.67550583
1788;LOS GIRASOLES;-33.52298875;-70.61857442
1789;PAO PAO;-33.41775692;-70.55750738
1790;EL TIO BARNY;-33.49046613;-70.73061087
1791;WILDOR LOUIS;-33.480817;-70.688564
1792;MI KIOSCO;-33.41968675;-70.60487836
1793;LUZ MARIA CAÑETE;-33.46105644;-70.75986156
1794;TIENDA UPA!-SHELL  (F.170);-33.4287556;-70.62466605
1795;JUANA CARDENAS QUISPE;-33.48693185;-70.60614191
1796;EL CHANGARRO;-33.54175314;-70.60131184
1797;LOBY;-33.46012351;-70.73989964
1798;FARMACIA VIVI;-33.561047;-70.665154
1799;SAN JOSE;-33.422615;-70.754349
1800;AMIGO;-33.56015764;-70.60645625
1801;LIBRA;-33.378624;-70.619377
1802;LA YUYITO;-33.404476;-70.67601
1803;ESTRELLI;-33.61924398;-70.61153183
1804;A SINGER;-33.51467924;-70.65859701
1805;QUIKY;-33.46429853;-70.54174336
1806;KIOSCO ROSSANA;-33.421875;-70.664444
1807;K Y R;-33.359596;-70.736641
1808;SU BAZAR;-33.53805889;-70.54817118
1809;LAS MONITAS;-33.397797;-70.747673
1810;HAITUCURA YONEL;-33.37011;-70.739029
1811;VALENTINA;-33.52491002;-70.56192842
1812;YUSY;-33.47117899;-70.69139295
1813;LAS DELICIAS;-33.462231;-70.756645
