paradero;servicio;distancia
33687;10bI;19994
33688;10bI;20112
33689;10bI;20198
33690;10bI;20383
33691;10bI;20470
33692;10bI;20607
33693;10bI;20988
33694;10bI;21206
33695;10bI;21440
33696;10bI;21699
33697;10bI;21958
33698;10bI;22236
33699;10bI;22500
33700;10bI;22748
33701;10bI;23170
33702;10bI;23756
33703;10bI;24812
33704;10bI;26074
33705;10bI;26924
33706;10bI;27192
33713;10bI;27469
33714;10bI;27715
32633;10bI;28048
32641;10bI;28551
32642;10bI;28922
32643;10bI;29212
32644;10bI;29550
32645;10bI;29911
32646;10bI;30249
32647;10bI;30746
32648;10bI;31037
32649;10bI;31346
32650;10bI;31681
32651;10bI;31975
32652;10bI;32422
32653;10bI;32895
32654;10bI;33306
32655;10bI;33529
32656;10bI;34099
32657;10bI;34232
32658;10bI;34515
32659;10bI;34719
32660;10bI;34950
32661;10bI;35284
32662;10bI;35417
32663;10bI;35590
32664;10bI;35802
32665;10bI;36026
32666;10bI;36463
32667;10bI;36776
32668;10bI;36933
32669;10bI;37062
32670;10bI;37299
32671;10bI;37444
32672;10bI;37692
32673;10bI;37938
32674;10bI;38205
32675;10bI;39046
32676;10bI;39267
32677;10bI;39483
32678;10bI;39660
32502;10bI;39967
37829;10bI;40101
37830;10bI;40264
37831;10bI;40552
37832;10bI;40791
37833;10bI;41019
37834;10bI;41242
41796;10cI;1
34413;10cI;198
34414;10cI;273
34415;10cI;551
34869;10cI;805
34870;10cI;903
34558;10cI;1383
34871;10cI;1440
34872;10cI;1614
33639;10cI;2255
33640;10cI;2473
33641;10cI;2897
33642;10cI;3301
33643;10cI;3517
33644;10cI;3938
33645;10cI;4165
33646;10cI;4543
33647;10cI;4831
33649;10cI;5169
33650;10cI;5545
33651;10cI;5964
33652;10cI;6089
33653;10cI;6334
33654;10cI;6560
33655;10cI;6934
33656;10cI;7191
33657;10cI;7631
33658;10cI;7989
33659;10cI;8890
33660;10cI;9545
33661;10cI;10126
33663;10cI;11262
33664;10cI;11582
33665;10cI;11798
33666;10cI;12430
33667;10cI;12873
33668;10cI;13052
33669;10cI;13393
33670;10cI;13611
33671;10cI;14059
33672;10cI;14383
33673;10cI;14610
33674;10cI;14875
33675;10cI;15048
33676;10cI;15308
33677;10cI;15553
33678;10cI;15634
33679;10cI;15760
33680;10cI;15895
33681;10cI;16015
33682;10cI;16276
33683;10cI;16544
33684;10cI;16663
33685;10cI;17040
33686;10cI;17197
33687;10cI;17328
33688;10cI;17447
33689;10cI;17532
33690;10cI;17718
33691;10cI;17804
33692;10cI;17941
33693;10cI;18322
33694;10cI;18541
33695;10cI;18775
33696;10cI;19034
33697;10cI;19293
33698;10cI;19571
33699;10cI;19835
33700;10cI;20083
33701;10cI;20504
33702;10cI;21090
33703;10cI;22147
33704;10cI;23409
33705;10cI;24258
33706;10cI;24527
33713;10cI;24804
33714;10cI;25050
32633;10cI;25382
32641;10cI;25885
32642;10cI;26257
32643;10cI;26547
32644;10cI;26885
32645;10cI;27245
32646;10cI;27584
32647;10cI;28081
32648;10cI;28372
32649;10cI;28681
32650;10cI;29016
32651;10cI;29310
32652;10cI;29756
32653;10cI;30230
32654;10cI;30641
32655;10cI;30863
32656;10cI;31434
32657;10cI;31567
32658;10cI;31850
32659;10cI;32054
32660;10cI;32285
32661;10cI;32618
32662;10cI;32751
32663;10cI;32925
32664;10cI;33136
32665;10cI;33361
32666;10cI;33798
32667;10cI;34111
32668;10cI;34267
32669;10cI;34397
32670;10cI;34633
32671;10cI;34778
32672;10cI;35026
32673;10cI;35273
32674;10cI;35540
32675;10cI;36381
32676;10cI;36602
32677;10cI;36818
32678;10cI;36995
32502;10cI;37302
32679;10cI;37640
32680;10cI;37829
32681;10cI;38581
42045;10cI;39434
42046;10cI;39799
42047;10cI;40035
42048;10cI;40337
42049;10cI;40559
42050;10cI;40797
42051;10cI;41187
42052;10cI;41296
42053;10cI;41655
42054;10cI;41827
42055;10cI;42221
42056;10cI;42421
42057;10cI;43161
41796;10dI;0
33855;10dI;115
33857;10dI;521
33858;10dI;777
33859;10dI;860
33635;10dI;974
33636;10dI;1189
33637;10dI;1414
33638;10dI;1832
33639;10dI;2210
33640;10dI;2429
33641;10dI;2852
33642;10dI;3257
33643;10dI;3473
33644;10dI;3894
33645;10dI;4121
33646;10dI;4499
33647;10dI;4787
33649;10dI;5125
33650;10dI;5501
33651;10dI;5920
33652;10dI;6045
33653;10dI;6290
33654;10dI;6515
33655;10dI;6890
33656;10dI;7147
33657;10dI;7587
33658;10dI;7945
33659;10dI;8846
33660;10dI;9501
33661;10dI;10082
33663;10dI;11218
33664;10dI;11538
33665;10dI;11754
33666;10dI;12386
33667;10dI;12829
33668;10dI;13008
33669;10dI;13349
33670;10dI;13567
33671;10dI;14015
33672;10dI;14339
33673;10dI;14566
33674;10dI;14830
33675;10dI;15004
33676;10dI;15264
33677;10dI;15508
33678;10dI;15590
33679;10dI;15716
33680;10dI;15851
33681;10dI;15971
33682;10dI;16232
