101
Mall Plaza Norte,Lunes a Viernes,00:00,23:59
Mall Plaza Norte,Sábado,00:00,23:59
Mall Plaza Norte,Domingo y Festivos,00:00,23:59

201e
San Bernardo,Sábado,05:30,22:48
San Bernardo,Domingo y Festivos,09:30,22:48
San Bernardo,Lunes a Viernes,05:30,23:48
Mall Plaza Norte,Lunes a Viernes,05:30,23:48
Mall Plaza Norte,Sábado,05:30,22:48
Mall Plaza Norte,Domingo y Festivos,09:30,22:48

202c
Mapocho,Lunes a Viernes,17:30,21:24
Mapocho,Lunes a Viernes,06:30,08:25
El Cortijo,Lunes a Viernes,17:30,21:24
El Cortijo,Lunes a Viernes,06:30,08:25

203
La Pintana,Lunes a Viernes,05:30,00:45
La Pintana,Domingo y Festivos,05:30,00:45
La Pintana,Sábado,05:30,00:45
Huechuraba,Sábado,05:30,00:45
Huechuraba,Domingo y Festivos,05:30,00:45
Huechuraba,Lunes a Viernes,05:30,00:45

203e
La Pintana,Lunes a Viernes,06:30,08:25
La Pintana,Lunes a Viernes,17:30,21:24
Centro,Lunes a Viernes,17:30,21:24
Centro,Lunes a Viernes,06:30,08:25

204
Gabriela,Lunes a Viernes,00:00,23:59
Gabriela,Domingo y Festivos,00:00,23:59
Gabriela,Sábado,00:00,23:59
Alameda,Sábado,00:00,23:59
Alameda,Domingo y Festivos,00:00,23:59
Alameda,Lunes a Viernes,00:00,23:59

204e
Gabriela,Lunes a Viernes,17:30,21:20
Gabriela,Lunes a Viernes,06:30,08:24
Alameda,Lunes a Viernes,06:30,08:24
Alameda,Lunes a Viernes,17:30,21:20

205
Puente Alto,Sábado,05:30,00:40
Puente Alto,Domingo y Festivos,05:30,00:40
Puente Alto,Lunes a Viernes,05:30,00:40
Santiago,Lunes a Viernes,05:30,00:40
Santiago,Sábado,05:30,00:40
Santiago,Domingo y Festivos,05:30,00:40

205e
Puente Alto,Lunes a Viernes,06:32,08:27
Puente Alto,Lunes a Viernes,17:33,21:21
Santiago,Lunes a Viernes,17:33,21:21
Santiago,Lunes a Viernes,06:32,08:27

206
La Pintana,Lunes a Viernes,05:30,00:45
La Pintana,Domingo y Festivos,05:30,00:45
La Pintana,Sábado,05:30,00:45
Centro,Domingo y Festivos,05:30,00:45
Centro,Lunes a Viernes,05:30,00:45
Centro,Sábado,05:30,00:45

206e
La Pintana,Lunes a Viernes,17:30,21:18
La Pintana,Lunes a Viernes,06:30,08:20
Centro,Lunes a Viernes,17:30,21:18
Centro,Lunes a Viernes,06:30,08:22

207c
La Pintana,Lunes a Viernes,17:30,22:47
La Granja,Lunes a Viernes,17:30,22:47

207e
La Pintana,Lunes a Viernes,06:30,08:20
La Pintana,Lunes a Viernes,17:30,22:48
Mapocho,Lunes a Viernes,17:30,22:48
Mapocho,Lunes a Viernes,06:30,08:20

208
Centro,Domingo y Festivos,00:00,23:59
Centro,Sábado,00:00,23:59
Centro,Lunes a Viernes,00:00,23:59
Huechuraba,Domingo y Festivos,00:00,23:59
Huechuraba,Lunes a Viernes,00:00,23:59
Huechuraba,Sábado,00:00,23:59

208c
(M) Zapadores,Lunes a Viernes,17:30,22:52
(M) Zapadores,Lunes a Viernes,06:30,09:20
Huechuraba,Lunes a Viernes,06:30,09:20
Huechuraba,Lunes a Viernes,17:30,22:52

209
El Volcan,Sábado,05:30,00:45
El Volcan,Domingo y Festivos,05:30,00:45
El Volcan,Lunes a Viernes,05:30,00:45
Alameda,Domingo y Festivos,05:30,00:45
Alameda,Sábado,05:30,00:45
Alameda,Lunes a Viernes,05:00,00:45

209e
El Volcan,Lunes a Viernes,17:30,22:47
El Volcan,Lunes a Viernes,06:30,08:18
Alameda,Lunes a Viernes,17:30,22:47
Alameda,Lunes a Viernes,06:30,08:18

210
Puente Alto,Lunes a Viernes,00:00,23:59
Puente Alto,Domingo y Festivos,00:00,23:59
Puente Alto,Sábado,00:00,23:59
Estacion Central,Sábado,00:00,23:59
Estacion Central,Domingo y Festivos,00:00,23:59
Estacion Central,Lunes a Viernes,00:00,23:59

210v
Av. Mexico,Domingo y Festivos,05:30,23:48
Av. Mexico,Sábado,05:30,23:45
Av. Mexico,Lunes a Viernes,05:30,23:40
Estacion Central,Lunes a Viernes,05:30,23:40
Estacion Central,Domingo y Festivos,05:30,23:48
Estacion Central,Sábado,05:30,23:45

211
Nos,Sábado,00:00,23:59
Nos,Lunes a Viernes,00:00,23:59
Nos,Domingo y Festivos,00:00,23:59
La Florida,Domingo y Festivos,00:00,23:59
La Florida,Sábado,00:00,23:59
La Florida,Lunes a Viernes,00:00,23:59

211c
San Bernardo,Lunes a Viernes,05:30,23:50
(M) La Cisterna,Lunes a Viernes,05:30,23:50

211e

212
La Pintana,Domingo y Festivos,05:30,00:45
La Pintana,Sábado,05:30,00:45
La Pintana,Lunes a Viernes,05:30,00:45
Providencia,Domingo y Festivos,05:30,00:45
Providencia,Sábado,05:30,00:45
Providencia,Lunes a Viernes,05:30,00:45

213e
Puente Alto,Lunes a Viernes,05:30,23:54
Plaza Italia,Lunes a Viernes,05:30,23:54

214
El Cortijo,Lunes a Viernes,05:30,23:45
El Cortijo,Sábado,05:30,23:45
El Cortijo,Domingo y Festivos,05:30,23:45
Santa Olga,Lunes a Viernes,05:30,23:45
Santa Olga,Domingo y Festivos,05:30,23:45
Santa Olga,Sábado,05:30,23:45

216
Vitacura,Domingo y Festivos,05:30,00:40
Vitacura,Sábado,05:30,00:40
Vitacura,Lunes a Viernes,05:00,00:40
Pablo De Rokha,Lunes a Viernes,05:30,00:40
Pablo De Rokha,Domingo y Festivos,05:30,00:40
Pablo De Rokha,Sábado,05:30,00:40

217e
(M) Santa Ana,Lunes a Viernes,17:30,20:20
(M) Santa Ana,Lunes a Viernes,05:30,09:24
Maestranza,Lunes a Viernes,06:00,09:18
Maestranza,Lunes a Viernes,17:30,20:25

218e
Matucana,Lunes a Viernes,06:30,08:25
Matucana,Lunes a Viernes,17:30,19:37
San Bernardo,Lunes a Viernes,07:10,08:25
San Bernardo,Lunes a Viernes,17:30,20:27

219e
Ciudad Empresarial,Lunes a Viernes,17:30,21:00
Ciudad Empresarial,Lunes a Viernes,05:30,09:20
(M) La Cisterna,Lunes a Viernes,06:00,08:30
(M) La Cisterna,Lunes a Viernes,17:30,21:20

221e
Matucana,Lunes a Viernes,17:30,19:30
Matucana,Lunes a Viernes,05:30,08:50
Puente Alto,Lunes a Viernes,06:30,08:15
Puente Alto,Lunes a Viernes,17:30,20:18

222e
(M) Santa Ana,Lunes a Viernes,18:00,19:30
(M) Santa Ana,Lunes a Viernes,05:30,08:15
Puente Alto,Lunes a Viernes,06:30,07:30
Puente Alto,Lunes a Viernes,17:30,20:15

223
Lo Espejo,Domingo y Festivos,05:30,00:45
Lo Espejo,Lunes a Viernes,05:30,00:45
Lo Espejo,Sábado,05:30,00:45
Ciudad Empresarial,Domingo y Festivos,05:30,00:45
Ciudad Empresarial,Sábado,05:30,00:45
Ciudad Empresarial,Lunes a Viernes,05:30,00:45

224
Gabriela,Lunes a Viernes,06:00,22:47
Gabriela,Sábado,06:00,22:50
Gabriela,Domingo y Festivos,06:00,22:48
Ñuñoa,Lunes a Viernes,05:30,22:47
Ñuñoa,Domingo y Festivos,05:30,22:48
Ñuñoa,Sábado,05:30,22:50

224N

224c
Gabriela,Lunes a Viernes,17:30,22:45
(M) Vicente Valdes,Lunes a Viernes,17:30,22:42

225
Bahía Catalina,Sábado,05:30,00:40
Bahía Catalina,Domingo y Festivos,05:30,00:40
Bahía Catalina,Lunes a Viernes,05:30,00:40
Las Condes,Sábado,05:30,00:40
Las Condes,Lunes a Viernes,05:30,00:40
Las Condes,Domingo y Festivos,05:30,00:40

226
Nonato Coo,Domingo y Festivos,05:30,00:45
Nonato Coo,Lunes a Viernes,05:30,00:45
Nonato Coo,Sábado,05:30,00:45
Mapocho,Sábado,05:30,00:45
Mapocho,Domingo y Festivos,05:30,00:45
Mapocho,Lunes a Viernes,05:30,00:45

227
Pedro Aguirre Cerda,Lunes a Viernes,05:30,00:40
Pedro Aguirre Cerda,Sábado,05:30,00:40
Pedro Aguirre Cerda,Domingo y Festivos,05:30,00:40
La Reina,Domingo y Festivos,05:30,00:40
La Reina,Sábado,05:30,00:40
La Reina,Lunes a Viernes,05:30,00:40

228
Angelmo,Lunes a Viernes,05:30,00:40
Angelmo,Domingo y Festivos,05:30,00:40
Angelmo,Sábado,05:30,00:40
(M) La Cisterna,Domingo y Festivos,05:30,00:40
(M) La Cisterna,Sábado,05:30,00:40
(M) La Cisterna,Lunes a Viernes,05:30,00:40

229
La Pintana,Domingo y Festivos,05:30,00:40
La Pintana,Sábado,05:30,00:40
La Pintana,Lunes a Viernes,05:30,00:40
(M) La Moneda,Domingo y Festivos,05:30,00:40
(M) La Moneda,Sábado,05:30,00:40
(M) La Moneda,Lunes a Viernes,05:30,00:40

230
La Pintana,Lunes a Viernes,00:00,23:59
La Pintana,Domingo y Festivos,00:00,23:59
La Pintana,Sábado,00:00,23:59
Conchalí,Sábado,00:00,23:59
Conchalí,Lunes a Viernes,00:00,23:59
Conchalí,Domingo y Festivos,00:00,23:59

261e
San Bernardo,Lunes a Viernes,07:30,07:50
San Bernardo,Lunes a Viernes,17:30,21:18
(M) Los Heroes,Lunes a Viernes,18:00,21:10
(M) Los Heroes,Lunes a Viernes,06:30,08:20

301
Angelmó,Sábado,00:00,23:59
Angelmó,Domingo y Festivos,00:00,23:59
Angelmó,Lunes a Viernes,00:00,23:59
Juan Antonio Ríos,Lunes a Viernes,00:00,23:59
Juan Antonio Ríos,Domingo y Festivos,00:00,23:59
Juan Antonio Ríos,Sábado,00:00,23:59

301c
Angelmó,Lunes a Viernes,05:30,23:50
Angelmó,Domingo y Festivos,07:30,23:50
Angelmó,Sábado,06:30,23:50
(M) La Cisterna,Lunes a Viernes,05:00,22:45
(M) La Cisterna,Domingo y Festivos,07:30,22:50
(M) La Cisterna,Sábado,06:30,22:52

301c2
Lo Blanco,Lunes a Viernes,17:30,20:24
(M) La Cisterna,Lunes a Viernes,05:00,09:20

301e
Angelmó,Lunes a Viernes,05:30,09:22
Angelmó,Lunes a Viernes,17:30,21:24
(M) La Moneda,Lunes a Viernes,05:00,09:23
(M) La Moneda,Lunes a Viernes,17:30,21:20

302
La Pintana,Domingo y Festivos,05:30,00:45
La Pintana,Sábado,05:30,00:45
La Pintana,Lunes a Viernes,05:30,00:45
(M) Santa Ana,Domingo y Festivos,05:30,00:30
(M) Santa Ana,Lunes a Viernes,05:30,00:30
(M) Santa Ana,Sábado,05:30,00:30

302N

302e
San Ramón,Lunes a Viernes,17:30,21:15
San Ramón,Lunes a Viernes,06:00,09:00
(M) Los Heroes,Lunes a Viernes,17:30,20:18
(M) Los Heroes,Lunes a Viernes,06:00,08:54

303
Plaza Italia,Lunes a Viernes,00:00,23:59
Plaza Italia,Sábado,00:00,23:59
Plaza Italia,Domingo y Festivos,00:00,23:59
Quilicura,Sábado,00:00,23:59
Quilicura,Domingo y Festivos,00:00,23:59
Quilicura,Lunes a Viernes,00:00,23:59

303e
(M) Santa Ana,Lunes a Viernes,17:30,21:20
(M) Santa Ana,Lunes a Viernes,05:30,09:22
Quilicura,Lunes a Viernes,05:30,09:18
Quilicura,Lunes a Viernes,17:30,21:24

307
Plaza Italia,Domingo y Festivos,05:15,00:30
Plaza Italia,Lunes a Viernes,05:00,00:30
Plaza Italia,Sábado,05:15,00:30
Lo Marcoleta,Domingo y Festivos,05:40,01:10
Lo Marcoleta,Lunes a Viernes,05:40,01:00
Lo Marcoleta,Sábado,05:40,01:10

307e
Plaza Italia,Lunes a Viernes,05:00,09:24
Plaza Italia,Lunes a Viernes,17:30,21:22
Rigoberto Jara,Lunes a Viernes,05:30,09:22
Rigoberto Jara,Lunes a Viernes,17:30,21:24

308
Mapocho,Lunes a Viernes,05:00,00:30
Mapocho,Domingo y Festivos,05:30,00:30
Mapocho,Sábado,05:30,00:30
Lo Marcoleta,Domingo y Festivos,05:30,00:30
Lo Marcoleta,Sábado,05:30,00:30
Lo Marcoleta,Lunes a Viernes,05:30,00:30

312e
Mapocho,Lunes a Viernes,06:30,09:15
Quilicura,Lunes a Viernes,17:30,21:18

313e
Estacion Central,Lunes a Viernes,06:30,09:10
Estacion Central,Lunes a Viernes,17:30,20:20
Quilicura,Lunes a Viernes,06:20,09:15
