id;id_station_measure
1379293-Wcdma;38
1379548-Wcdma;100
1379554-Wcdma;100
13796353-Lte;129
13796354-Lte;129
13796357-Lte;129
1379677-Wcdma;99
1379683-Wcdma;99
1379687-Wcdma;97-98
1379817-Wcdma;39
1379820-Wcdma;39
1379822-Wcdma;39
1379823-Wcdma;39
13798915-Lte;130
1379941-Wcdma;39
1379944-Wcdma;39
1379951-Wcdma;40
1379954-Wcdma;40
13801475-Lte;131
13809153-Lte;132
13809154-Lte;132
13809157-Lte;132
13811713-Lte;133
13811714-Lte;133
13821953-Lte;134
13821954-Lte;134
13824513-Lte;135
13824514-Lte;135
13834753-Lte;136
13834754-Lte;136
1389089-Lte;70
139116-Wcdma;102
139184-Wcdma;105
139354-Wcdma;102
139474-Wcdma;104
139476-Wcdma;104
139477-Wcdma;104
139480-Wcdma;104
139481-Wcdma;104
139484-Wcdma;102
139489-Wcdma;103
1394898-Wcdma;129
1394899-Wcdma;130
1394903-Wcdma;130
1394905-Wcdma;131
13949697-Lte;27
13949698-Lte;27
13949699-Lte;26
139503-Wcdma;106
139504-Wcdma;106
139507-Wcdma;106
139510-Wcdma;106
139926-Wcdma;43
139929-Wcdma;43
139959-Wcdma;44
139966-Wcdma;45
139967-Wcdma;45
139968-Wcdma;45
139969-Wcdma;45
1402407-Lte;22
1402655-Lte;96
1402662-Lte;96
1402911-Lte;15
1402918-Lte;15
1402919-Lte;15
1403174-Lte;20
1403175-Lte;20
1403423-Lte;19
1403430-Lte;19
1403431-Lte;19
1403679-Lte;18
1403686-Lte;18
1403935-Lte;17
1403942-Lte;17
1403943-Lte;17
1404966-Lte;50
1404967-Lte;50
1405215-Lte;12
1405222-Lte;12
1405471-Lte;14
1405478-Lte;14
1405479-Lte;14
1405734-Lte;13
1405735-Lte;13
14177025-Lte;1
14177026-Lte;1
1417759-Lte;105
1417760-Lte;105
14179329-Lte;12-13
14179330-Lte;12
14179332-Lte;12
14179333-Lte;12
14196482-Lte;98
1426711-Lte;1
1426721-Lte;1
1430667-Wcdma;130
1430668-Wcdma;136
1430669-Wcdma;131
1430688-Wcdma;129
1430689-Wcdma;130
1433098-Wcdma;100
1433099-Wcdma;100
1433227-Wcdma;39
1436745-Wcdma;39
1437080-Wcdma;98
14593-Lte;78
14594-Lte;78
1460353-Wcdma;119
1460354-Wcdma;119
1460355-Wcdma;120
1460359-Wcdma;120
1460365-Wcdma;122
1460370-Wcdma;122
146434-Lte;28
1464609-Lte;76
1464614-Lte;76
1464615-Lte;76
146689-Lte;92
146945-Lte;30
147201-Lte;31
