servicio;distancia;latitud;longitud
AC_I;1740;-22.43879817;-68.93026073
AC_I;1760;-22.43876264;-68.9304513
AC_I;1780;-22.43872711;-68.93064187
AC_I;1800;-22.43869173;-68.93083247
AC_I;1820;-22.43866255;-68.93102426
AC_I;1840;-22.43863445;-68.93121626
AC_I;1860;-22.43860635;-68.93140826
AC_I;1880;-22.43857825;-68.93160026
AC_I;1900;-22.43854549;-68.9317914
AC_I;1920;-22.43851268;-68.93198253
AC_I;1940;-22.43847987;-68.93217366
AC_I;1960;-22.43844707;-68.93236479
AC_I;1980;-22.43861492;-68.93241941
AC_I;2000;-22.43878951;-68.93246944
AC_I;2020;-22.4389413;-68.93253489
AC_I;2040;-22.43890745;-68.93272581
AC_I;2060;-22.43887361;-68.93291674
AC_I;2080;-22.43883977;-68.93310766
AC_I;2100;-22.43880592;-68.93329858
AC_I;2120;-22.43877208;-68.93348951
AC_I;2140;-22.43873831;-68.93368044
AC_I;2160;-22.43870457;-68.93387139
AC_I;2180;-22.43867084;-68.93406233
AC_I;2200;-22.4386371;-68.93425328
AC_I;2220;-22.43860336;-68.93444422
AC_I;2240;-22.43856952;-68.93463514
AC_I;2260;-22.43853567;-68.93482607
AC_I;2280;-22.43850182;-68.93501699
AC_I;2300;-22.43846797;-68.93520791
AC_I;2320;-22.43843413;-68.93539883
AC_I;2340;-22.43840028;-68.93558975
AC_I;2360;-22.438501;-68.93568282
AC_I;2380;-22.43867831;-68.9357202
AC_I;2400;-22.43885561;-68.93575758
AC_I;2420;-22.43903292;-68.93579496
AC_I;2440;-22.43921022;-68.93583241
AC_I;2460;-22.4393875;-68.93586994
AC_I;2480;-22.43956478;-68.93590748
AC_I;2500;-22.43974206;-68.93594502
AC_I;2520;-22.43991374;-68.93597317
AC_I;2540;-22.4399557;-68.93578412
AC_I;2560;-22.43999765;-68.93559507
AC_I;2580;-22.43997546;-68.93540325
AC_I;2600;-22.43994771;-68.93521119
AC_I;2620;-22.43991997;-68.93501914
AC_I;2640;-22.43989222;-68.93482708
AC_I;2660;-22.43986451;-68.93463501
AC_I;2680;-22.43983688;-68.93444293
AC_I;2700;-22.43980925;-68.93425086
AC_I;2720;-22.43978162;-68.93405878
AC_I;2740;-22.43975265;-68.93386693
AC_I;2760;-22.43972257;-68.93367528
AC_I;2780;-22.43969648;-68.93348303
AC_I;2800;-22.4397129;-68.93329097
AC_I;2820;-22.43973761;-68.93309843
AC_I;2840;-22.43977775;-68.93290904
AC_I;2860;-22.43982036;-68.93272016
AC_I;2880;-22.4399867;-68.93273494
AC_I;2900;-22.44016463;-68.93276877
AC_I;2920;-22.44034255;-68.9328026
