iLat;iLon;stops;services;route_segments;puntos
69;53;PG1276/PG1284/PG575/PG866/PG881;203I/203R/203cR/203eI/203eR/F06I/F06R/G05I/G05R/G13I/G13R/G16I/G16R;25-26/2-3/2-3-21-22/20-21/2-3/9-10/37-38/18/6/8-9/18-19/9-10/6-7;875/1825
69;54;PG576/PG577/PG629/PG784/PG865/PG882/PG883/PG884;203I/203R/203cR/203eI/203eR/F06I/F06R/G05I/G05R/G07I/G07R/G13I/G13R/G16I/G16R;25-26/2-3/2-3-21-22/20-21/2-3/9-10/37-38/18/6-7-8/5/32/8-9/18-19/9/7;1585
69;55;PG149/PG150/PG151/PG160/PG161/PG162/PG306/PG578/PG628/PG780/PG783/PG885/PG886;203I/203R/203cR/203eI/203eR/228I/228R/229I/229R/302I/302R/F06I/F06R/F20I/F20R/G05I/G05R/G07I/G07R/G08I/G08R/G08vI/G08vR/G11I/G11R/G13I/G13R;26-27/1-2/1-2-22-23/21-22/1-2/9/9/17/1/31-32/4-5/10/37/6-7/40-41/17-18/8-9/3-4-5/32-33-34/26/6/31/6/5-6/31-32/9/18;257/1425/2051
69;56;PG1187/PG163/PG305/PG307/PG579/PG580/PG625/PG626/PG627;206I/206R/206cI/206cR/228I/228R/229I/229R/302I/302R/F06I/F06R/F20I/F20R/G08I/G08R/G08vI/G08vR/G11I/G11R/G13I/G13R;24-25/3-4/15-16/3-4/8-9/9-10/17/1/31-32-33-34-35/1-2-3-4-5/10-11-12/35-36-37/6-7/40-41/26-27/6/31/6/1-2-3-4-5-6/31-32-33-34-35/9-10-11-12/15-16-17-18;260/828/829
69;57;PG148/PG164/PG165/PG581/PG582/PG623/PG624;206I/206R/206cI/206cR/F06I/F06R/F20I/F20R;24/4/15/4/12/35/7/40;759/1836
69;58;PG146/PG147/PG166/PG583/PG584/PG621/PG622;206I/206R/206cI/206cR/F06I/F06R/F20I/F20R;24/4/15/4/12/35/7/40;1232/1728
69;59;PG145/PG167/PG585/PG586/PG619/PG620;206I/206R/206cI/206cR/F06I/F06R/F20I/F20R;23-24/4-5/14-15/4-5/12-13/34-35/7-8/39-40;
69;60;PG144/PG168/PG588/PG617;206I/206R/206cI/206cR/F06I/F06R/F20I/F20R;21-22-23/5-6-7/12-13-14/5-6-7/13-14-15/32-33-34/8/39;
69;61;PG1279/PG143/PG169/PG1700/PG1721/PG1722/PG589/PG616;206I/206R/206cI/206cR/216R/F06I/F06R/F20I/F20R;20-21/7-8-9/11-12/7-8-9/36-37/15-16/31-32/8-9/38-39;283/284
69;62;PG142/PG170/PG221;206I/206R/206cI/206cR/212I/216R;17-18/9/8-9/9/25-26/36;
