id;entity;name;address;schedule;longitude;latitude;services
71;WALMART;LIDER EXPRESS VITACURA;AV. VITACURA 4100;Lun-Dom 08:30-22:30;-70.590576297215;-33.3998990540761;Carga de tarjetas,Consulta de saldo, Activación de carga remota
72;WALMART;LIDER EXPRESS MAIPU;AV. LOS PAJARITOS 1790;Lun-Dom 08:30-22:30;-70.7767871139999;-33.5102455959999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
73;WALMART;LIDER EXPRESS NONATO COO;NONATO COO 3108;Lun-Dom 08:30-22:30;-70.5695087566837;-33.5781976112227;Carga de tarjetas,Consulta de saldo, Activación de carga remota
74;WALMART;LIDER EXPRESS PLAZA ITALIA;AV. RANCAGUA 0180;Lun-Dom 08:30-22:30;-70.6302176043761;-33.4408174704335;Carga de tarjetas,Consulta de saldo, Activación de carga remota
75;WALMART;LIDER HIPER IRARRAZAVAL;AV.IRARRAZAVAL 2928;"Lun-Sáb 08:00-22:00
Dom y Fest. 08:30-22:00
";-70.6006210653509;-33.4547651690121;Carga de tarjetas,Consulta de saldo, Activación de carga remota
76;WALMART;LIDER EXPRESS LAS REJAS;AV. LIBERTADOR BERNARDO O'HIGGINS 5199;Lun-Dom 08:30-22:30;-70.7064214225571;-33.4571151736776;Carga de tarjetas,Consulta de saldo, Activación de carga remota
77;WALMART;LIDER EXPRESS PUENTE ALTO;AV. MEXICO 1598;Lun-Dom 08:30-22:30;-70.5592016467882;-33.5946574220441;Carga de tarjetas,Consulta de saldo, Activación de carga remota
78;WALMART;LIDER HIPER LOS MORROS;RIQUELME 69;"Lun-Sáb 08:00-22:00
Dom 09:00-22:00 
Fest 08:00-22:00";-70.6678183800384;-33.5459163082289;Carga de tarjetas,Consulta de saldo, Activación de carga remota
79;WALMART;LIDER HIPER HUECHURABA;AV. AMERICO VESPUCIO 1737;"Lun-Jun 08:00-22:00
Vie-Sáb 08:00-22:30
Dom y Fest 08:00-22:00";-70.6778212680362;-33.3684386191972;Carga de tarjetas,Consulta de saldo, Activación de carga remota
80;WALMART;LIDER HIPER AV. CENTRAL;AV. LOS PAJARITOS 2689;"Lun-Sáb 08:00-22:00
Dom y Fest 09:00-22:00";-70.757311;-33.503596;Carga de tarjetas,Consulta de saldo, Activación de carga remota
