Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
60;NP;Neptuno;L1;Domingo;8:00;8:00;22:30;23:21;San Pablo;8:08;23:32;Los Dominicos;8:05;22:47;
67;PJ;Pajaritos;L1;Domingo;8:00;8:00;22:30;23:19;San Pablo;8:06;23:30;Los Dominicos;8:01;22:49;
50;LR;Las Rejas;L1;Domingo;8:00;8:00;22:30;23:18;San Pablo;8:05;23:29;Los Dominicos;8:02;22:50;
23;EC;Ecuador;L1;Domingo;8:00;8:00;22:30;23:17;San Pablo;8:03;23:28;Los Dominicos;8:03;22:51;
2;AH;San Alberto Hurtado;L1;Domingo;8:00;8:00;22:30;23:15;San Pablo;8:02;23:26;Los Dominicos;8:05;22:53;
97;US;Universidad de Santiago;L1;Domingo;8:00;8:00;22:30;23:14;San Pablo;8:01;23:25;Los Dominicos;8:00;22:54;
26;EL;Estación Central;L1;Domingo;8:00;8:00;22:30;23:13;San Pablo;8:06;23:24;Los Dominicos;8:01;22:55;
38;LA;Unión Latinoamericana;L1;Domingo;8:00;8:00;22:30;23:12;San Pablo;8:04;23:22;Los Dominicos;8:02;22:56;
83;RP;República;L1;Domingo;8:00;8:00;22:30;23:10;San Pablo;8:03;23:21;Los Dominicos;8:04;22:58;
44;LH;Los Héroes;L1;Domingo;8:00;8:00;22:30;23:09;San Pablo;8:02;23:20;Los Dominicos;8:05;22:59;
46;LM;La Moneda;L1;Domingo;8:00;8:00;22:30;23:08;San Pablo;8:01;23:19;Los Dominicos;8:00;23:00;
15;CH;Universidad de Chile;L1;Domingo;8:00;8:00;22:30;23:06;San Pablo;8:06;23:18;Los Dominicos;8:02;23:02;
89;SL;Santa Lucía;L1;Domingo;8:00;8:00;22:30;23:05;San Pablo;8:04;23:16;Los Dominicos;8:03;23:03;
96;UC;Universidad Católica;L1;Domingo;8:00;8:00;22:30;23:05;San Pablo;8:03;23:15;Los Dominicos;8:04;23:04;
6;BA;Baquedano;L1;Domingo;8:00;8:00;22:30;23:03;San Pablo;8:02;23:14;Los Dominicos;8:05;23:05;
85;SA;Salvador;L1;Domingo;8:00;8:00;22:30;23:05;San Pablo;8:00;23:12;Los Dominicos;8:01;23:07;
