id;id_station_measure
1259033-Wcdma;Claro;75
1259155-Wcdma;Claro;65
1260634-Wcdma;Movistar;40
1260635-Wcdma;Movistar;40
1262894-Wcdma;Movistar;38
1262944-Wcdma;Movistar;2
1263121-Wcdma;Movistar;40
1263122-Gsm;Movistar;118
1263122-Wcdma;Movistar;40
1263856-Wcdma;Claro;136
1263857-Wcdma;Claro;136
1263861-Gsm;Movistar;136
1263861-Wcdma;Claro;136
1263862-Wcdma;Claro;136
1267688-Wcdma;Movistar;3
1267689-Wcdma;Movistar;3
127253-Wcdma;Movistar;99
1274458-Wcdma;Claro;60
1274468-Wcdma;Claro;60
1274993-Wcdma;Movistar;2
1277981-Wcdma;Movistar;38
1278505-Wcdma;Movistar;10
1278506-Wcdma;Movistar;10
1278507-Wcdma;Movistar;10
1279382-Wcdma;Movistar;5
1279383-Wcdma;Movistar;5
1279384-Wcdma;Movistar;5
1279388-Wcdma;Movistar;8
1279389-Wcdma;Movistar;8
1279390-Wcdma;Movistar;8
1279394-Wcdma;Movistar;2
1279394-Wcdma;WOM;2
1279407-Wcdma;Movistar;3
1279415-Wcdma;Movistar;9
1279416-Wcdma;Movistar;9
1279417-Wcdma;Movistar;9
1279421-Wcdma;Movistar;4
1279421-Wcdma;WOM;4
1279422-Wcdma;Movistar;4
1279423-Wcdma;Movistar;4
1279445-Wcdma;Movistar;6
1279446-Wcdma;Movistar;6
1279447-Wcdma;Movistar;6
1279463-Wcdma;Movistar;1
1279475-Wcdma;Movistar;7
1279476-Wcdma;Movistar;7
1279959-Wcdma;Movistar;3
1279959-Wcdma;WOM;3
1280033-Lte;Movistar;37
1283605-Lte;Movistar;78
1283615-Lte;Movistar;78
12872705-Lte;Entel;37
12872706-Lte;Entel;37
12872708-Lte;Entel;37
12887297-Lte;Entel;49
12887298-Lte;Entel;49
1291808-Lte;Movistar;61
1291809-Lte;Movistar;106
1294369-Lte;Movistar;77
1294756-Wcdma;Movistar;1
1295840-Wcdma;Movistar;88
1295841-Wcdma;Movistar;88
1295842-Wcdma;Movistar;88
1295843-Wcdma;Movistar;88
1295844-Wcdma;Movistar;88
1295845-Wcdma;Movistar;88
1295846-Wcdma;Movistar;89
1295847-Wcdma;Movistar;89
1295847-Wcdma;WOM;89
1295848-Wcdma;Movistar;89
1295849-Wcdma;Movistar;89
1295850-Wcdma;Movistar;89
1295850-Wcdma;WOM;89
1295851-Wcdma;Movistar;89
1295851-Wcdma;WOM;89
1295852-Wcdma;Movistar;90
1295853-Wcdma;Movistar;90
1295853-Wcdma;WOM;90
1295854-Gsm;Movistar;90
1295854-Wcdma;Movistar;90
1295854-Wcdma;WOM;90
1295855-Wcdma;Movistar;90
1295856-Wcdma;Movistar;90
1295857-Gsm;Movistar;90
1295857-Wcdma;Movistar;90
1295903-Lte;Movistar;38
1295904-Lte;Movistar;39
1296626-Wcdma;Movistar;87
1296627-Wcdma;Movistar;87
1296638-Wcdma;Movistar;87
1296639-Gsm;Movistar;87
1296639-Wcdma;Movistar;87
1296640-Wcdma;Movistar;87
1296641-Wcdma;Movistar;87
1296662-Wcdma;Movistar;91
1296676-Wcdma;Movistar;91
1296677-Gsm;Movistar;91
1296677-Wcdma;Movistar;91
1296678-Gsm;Movistar;91
1296678-Wcdma;Movistar;91
1296679-Wcdma;Movistar;91
1296679-Wcdma;WOM;91
1296680-Wcdma;Movistar;91
1299952-Wcdma;Claro;66
1299955-Wcdma;Claro;64
1299983-Wcdma;Claro;75
1299990-Wcdma;Claro;73
1300745-Wcdma;Movistar;1
1300841-Wcdma;Claro;61
1300842-Wcdma;Claro;61
1301666-Wcdma;Movistar;1
1301667-Wcdma;Movistar;1
1301670-Wcdma;Movistar;1
1301795-Wcdma;Claro;59
1302066-Wcdma;Claro;60
1302305-Wcdma;Claro;64
1302307-Wcdma;Claro;64
1302802-Wcdma;Claro;104
1302806-Wcdma;WOM;9
1302810-Wcdma;Claro;94
1302813-Wcdma;Claro;3
1302814-Wcdma;Claro;129
1302815-Wcdma;Claro;83
1302897-Wcdma;Movistar;39
1302898-Wcdma;Movistar;39
1302899-Wcdma;Movistar;39
1302900-Wcdma;Movistar;39
1302901-Wcdma;Movistar;39
1302902-Wcdma;Movistar;39
1302903-Wcdma;Movistar;39
1302904-Wcdma;Movistar;39
1303457-Wcdma;Claro;102
1304696-Wcdma;Claro;74
1304740-Wcdma;WOM;38
1305005-Wcdma;Claro;106
1305276-Wcdma;Movistar;3
1305472-Wcdma;Claro;74
1305582-Gsm;Movistar;39
1305582-Wcdma;Movistar;39
1305583-Gsm;Movistar;39
1305583-Wcdma;Movistar;39
1305585-Wcdma;Movistar;39
1305586-Gsm;Movistar;39
1305586-Wcdma;Movistar;39
1305586-Wcdma;WOM;39
1305588-Wcdma;Movistar;40
1305591-Gsm;Movistar;40
1305591-Wcdma;Movistar;40
1305594-Wcdma;Movistar;41
1305595-Wcdma;Movistar;41
1305596-Gsm;Movistar;41
1305596-Wcdma;Movistar;41
1305597-Wcdma;Movistar;41
1305598-Wcdma;Movistar;41
1305599-Wcdma;WOM;41
1305600-Wcdma;Movistar;42
1305601-Wcdma;Movistar;42
1305602-Wcdma;Movistar;42
1305603-Wcdma;Movistar;42
1305604-Wcdma;Movistar;42
1305605-Wcdma;Movistar;42
1305734-Wcdma;Movistar;10
1305735-Wcdma;Movistar;10
1305736-Wcdma;Movistar;10
1305737-Wcdma;Movistar;9
1305738-Wcdma;Movistar;9
1305739-Wcdma;Movistar;9
1305740-Wcdma;Movistar;8
1305741-Wcdma;Movistar;8
1305742-Wcdma;Movistar;8
1305743-Wcdma;Movistar;7
1305743-Wcdma;WOM;7
1305744-Wcdma;Movistar;7
1305745-Wcdma;Movistar;7
1305746-Wcdma;Movistar;6
1305747-Wcdma;Movistar;6
1305748-Wcdma;Movistar;6
1305749-Wcdma;Movistar;5
1305750-Wcdma;Movistar;5
1305750-Wcdma;WOM;5
1305751-Wcdma;Movistar;5
1305751-Wcdma;WOM;5
1305752-Wcdma;Movistar;4
1305753-Wcdma;Movistar;4
1305754-Wcdma;Movistar;4
1305755-Wcdma;Movistar;2
1305756-Wcdma;Movistar;3
1305757-Wcdma;Movistar;3
1305758-Wcdma;Movistar;2
1305759-Wcdma;Movistar;1
13057793-Lte;Entel;26
13057794-Lte;Entel;26
1307246-Wcdma;Claro;92
1308381-Wcdma;Claro;61
1308383-Wcdma;Claro;61
1309838-Wcdma;Claro;75
1309839-Wcdma;Claro;75
1309840-Wcdma;Claro;75
1316445-Wcdma;Claro;28
1316448-Wcdma;Claro;28
1316454-Wcdma;Claro;92
1316457-Wcdma;Claro;92
1316464-Wcdma;Claro;30
1316467-Wcdma;Claro;30
1316474-Wcdma;Claro;31
1316475-Wcdma;Claro;31
1316477-Wcdma;Claro;31
1316478-Wcdma;Claro;31
1316911-Wcdma;Claro;21
1316911-Wcdma;WOM;21
1316912-Wcdma;Claro;21
1316912-Wcdma;WOM;21
1316914-Wcdma;Claro;50
1316918-Wcdma;Claro;21
1316918-Wcdma;WOM;21
1316921-Wcdma;Claro;24
1316921-Wcdma;WOM;24
1316927-Wcdma;Claro;24
1316941-Wcdma;Claro;25
1316947-Gsm;Movistar;25
1316947-Wcdma;Claro;25
1316947-Wcdma;WOM;25
1317127-Wcdma;Claro;23
