stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
118,118,Marca de posición sin título,,-33.02520073970671,-71.56088745063396,,,,,
119,119,Marca de posición sin título,,-33.02756129808116,-71.5754458882495,,,,,
120,120,Marca de posición sin título,,-33.05209080277864,-71.53669639455117,,,,,
121,121,Marca de posición sin título,,-33.02388004303764,-71.56902948806162,,,,,
122,122,Marca de posición sin título,,-33.02336470964036,-71.56760080684211,,,,,
123,123,Marca de posición sin título,,-33.02385371880211,-71.56637276549883,,,,,
124,124,Marca de posición sin título,,-33.02418628691145,-71.56657903483388,,,,,
125,125,Marca de posición sin título,,-33.02474766797663,-71.56358501138774,,,,,
126,126,Marca de posición sin título,,-33.02568402906688,-71.55779872088505,,,,,
127,127,Marca de posición sin título,,-33.02527726394553,-71.55786484060258,,,,,
128,128,Marca de posición sin título,,-33.0263621707516,-71.55311612876818,,,,,
129,129,Marca de posición sin título,,-33.05309960865417,-71.58648022038051,,,,,
130,130,Marca de posición sin título,,-33.05141991491203,-71.59385746788459,,,,,
131,131,Marca de posición sin título,,-33.03751946089931,-71.59642858105164,,,,,
132,132,Marca de posición sin título,,-33.05534746214013,-71.53224463965039,,,,,
133,133,Marca de posición sin título,,-33.03794177081075,-71.59172698835697,,,,,
134,134,Marca de posición sin título,,-33.04008704136177,-71.59311865696023,,,,,
135,135,Marca de posición sin título,,-33.0409863274249,-71.59026884563694,,,,,
136,136,Marca de posición sin título,,-33.02836209998318,-71.56312020563109,,,,,
137,137,Marca de posición sin título,,-33.03089921115429,-71.56400161427554,,,,,
138,138,Marca de posición sin título,,-33.03295816633763,-71.56593167467541,,,,,
139,139,Marca de posición sin título,,-33.06447998651991,-71.57150730166677,,,,,
140,140,Marca de posición sin título,,-33.03386647965517,-71.56795773194286,,,,,
141,141,Marca de posición sin título,,-33.03499220801748,-71.56974426621945,,,,,
142,142,Marca de posición sin título,,-33.03819920352316,-71.57101414900463,,,,,
143,143,Marca de posición sin título,,-33.04035526431957,-71.569467630099,,,,,
144,144,Marca de posición sin título,,-33.04070897607335,-71.56928835776031,,,,,
145,145,Marca de posición sin título,,-33.04072515687694,-71.56906659949399,,,,,
146,146,Marca de posición sin título,,-33.04261906736209,-71.56902500503765,,,,,
147,147,Marca de posición sin título,,-33.04378925883275,-71.56796847491417,,,,,
148,148,Marca de posición sin título,,-33.04551804917743,-71.56606409720307,,,,,
149,149,Marca de posición sin título,,-33.04651014297291,-71.56564163156135,,,,,
150,150,Marca de posición sin título,,-33.04687261592598,-71.56525982308013,,,,,
151,151,Marca de posición sin título,,-33.04776294617971,-71.56394357643615,,,,,
152,152,Marca de posición sin título,,-33.04793092232448,-71.56321301506809,,,,,
153,153,Marca de posición sin título,,-33.04908714706742,-71.56063109763622,,,,,
154,154,Marca de posición sin título,,-33.04898420903081,-71.56119308012498,,,,,
155,155,Marca de posición sin título,,-33.0507947260945,-71.55761950407921,,,,,
156,156,Marca de posición sin título,,-33.05152962046891,-71.55751023004014,,,,,
157,157,Marca de posición sin título,,-33.0718619462759,-71.55298718500072,,,,,
158,158,Marca de posición sin título,,-33.07144456203523,-71.55388314405352,,,,,
159,159,Marca de posición sin título,,-33.06453044715546,-71.56516970685195,,,,,
160,160,Marca de posición sin título,,-33.06539920243774,-71.5655100523614,,,,,
161,161,Marca de posición sin título,,-33.06560240585372,-71.56631238268339,,,,,
162,162,Marca de posición sin título,,-33.06614430957649,-71.56768245322847,,,,,
163,163,Marca de posición sin título,,-33.0659091140233,-71.56888853951094,,,,,
164,164,Marca de posición sin título,,-33.06099307877383,-71.57395268653134,,,,,
165,165,Marca de posición sin título,,-33.05549257744974,-71.53477878578178,,,,,
166,166,Marca de posición sin título,,-33.02522163088094,-71.56080291663535,,,,,
167,167,Marca de posición sin título,,-33.02490778754453,-71.56066992151906,,,,,
