stop_code;stop_name;stop_lat;stop_lon
PE252;Avenida Santa Raquel;-33.55387569;-70.60149673
PE253;Avenida Uno;-33.55393296;-70.6054292
PE254;Sta MarÕa De La Estrella;-33.55398475;-70.60769206
PE255;Cerro Colorado;-33.55397026;-70.60950132
PE256;BahÕa Catalina;-33.55400371;-70.61247473
PE257;RÕo Aconcagua;-33.55028975;-70.61374126
PE258;Chacarilla;-33.54841614;-70.61426648
PE259;Avenida Vicu—a Mackenna;-33.54694965;-70.61469155
PE26;Ger”nimo De Alderete;-33.53132053;-70.57482776
PE260;Tricolor;-33.54553669;-70.61516068
PE261;Esmeralda;-33.54263736;-70.6155052
PE262;Osorno;-33.53928245;-70.61620738
PE263;Avenida San Gregorio;-33.537792;-70.61639501
PE264;Traigu…n;-33.53767146;-70.61871886
PE265;La Serena;-33.53773176;-70.62031379
PE266;Pasaje 3 Norte;-33.53527109;-70.62159241
PE267;Tom…;-33.53233355;-70.62278668
PE268;Combarbal¡;-33.53008081;-70.62333682
PE269;Linares;-33.52766971;-70.62427161
PE27;Ger”nimo De Alderete;-33.52877205;-70.57595525
PE270;Calle H;-33.52230753;-70.62605558
PE271;Padre Esteban Gumucio Vives;-33.52047613;-70.62679651
PE272;Avenida Lo Ovalle;-33.51804627;-70.62778459
PE273;Los Nogales ;-33.51197756;-70.55689652
PE274;Los Cerezos;-33.51214312;-70.55376661
PE275;Las Perdices;-33.51230727;-70.54930168
PE276;Alto Macul;-33.51253992;-70.54583919
PE277;Alto Macul;-33.51252863;-70.54240464
PE278;Manuel Montt;-33.56007659;-70.56369448
PE279;Manuel Bulnes;-33.55957917;-70.56094948
PE28;Avenida Walker MartÕnez;-33.52551783;-70.57726369
PE280;Avenida Camilo HenrÕquez;-33.55928708;-70.55908072
PE281;Los Aprendices;-33.55251501;-70.56688641
PE282;Ram”n Vinay;-33.55264333;-70.56957068
PE283;El Cristal;-33.55283577;-70.57359172
PE284;Colombia;-33.55292743;-70.57701853
PE285;Antigonish;-33.55296514;-70.57901184
PE286;Bacteriol”gico;-33.5530274;-70.58119947
PE287;El Pinar;-33.55312954;-70.58308624
PE288;Padre Juan Meyer;-33.53556153;-70.61662271
PE289;3 Oriente;-33.53536674;-70.61841745
PE29;Avenida Walker MartÕnez;-33.52282535;-70.57836689
PE290;La Serena;-33.53555481;-70.62127465
PE291;El Tabo;-33.5357855;-70.62431573
PE292;Avenida San Gregorio;-33.53731468;-70.62461356
PE293;Los Vilos;-33.53744885;-70.62881594
PE294;Avenida Santa Rosa;-33.54523531;-70.63400233
PE295;Pasaje 16 Poniente;-33.53744258;-70.6340818
PE296;12 Poniente;-33.5375402;-70.6314668
PE297;El Tabo;-33.53773617;-70.62479375
PE298;Padre Juan Meyer;-33.53617796;-70.62464613
PE299;La Serena;-33.53568441;-70.62170782
PE3;Buenaventura ;-33.50922921;-70.60058748
PE30;Los Aralios;-33.51838068;-70.58179606
PE300;Coronel;-33.53534967;-70.61696336
PE301;Avenida San Gregorio;-33.53704924;-70.61457202
PE302;Coronel;-33.53747911;-70.61618458
PE303;Manco Capac;-33.5433685;-70.61545419
PE304;JoaquÕn Tocornal;-33.55342853;-70.58579521
PE305;San Sebastian;-33.5532813;-70.58320749
PE306;Bacteriol”gico;-33.55318584;-70.58150394
PE307;Mondragon;-33.55307457;-70.57891689
PE308;Colombia;-33.5530375;-70.57758062
PE309;El Acero;-33.55296487;-70.57336787
PE31;Reina Luisa;-33.51655695;-70.58336705
PE310;Avenida M…xico;-33.55285343;-70.57078083
PE311;Santa In…s;-33.5526851;-70.5676973
PE312;Avenida La Florida;-33.5525499;-70.56484057
PE313;Cordillera;-33.55932144;-70.5599323
PE314;Delia Poniente;-33.56004696;-70.56389861
PE315;Tupungato;-33.54389788;-70.62736457
PE316;JoaquÕn Edwards Bello;-33.54445645;-70.62466106
PE317;La Serena;-33.54545267;-70.61952093
PE318;Coronel;-33.54629813;-70.6155518
PE319;Isla Morelos ;-33.54665455;-70.61242434
PE32;Avenida Del Parque;-33.51404425;-70.5852161
PE320;Punta Arenas;-33.54668912;-70.61115412
PE321;Calle 1;-33.54675725;-70.60868903
PE322;RÕo Ma—ihuales;-33.54684064;-70.60573957
PE323;Avenida Santa Raquel;-33.54688268;-70.60388789
PE324;Socoroma;-33.54694931;-70.60083041
PE325;Valentina Leppe;-33.54699726;-70.59851571
PE326;Ram”n Freire;-33.54704517;-70.59620101
PE327;Manutara;-33.54710468;-70.59368189
PE328;Metalita;-33.54714654;-70.59183019
PE329;Avenida Vicu—a Mackenna;-33.54723004;-70.58813755
PE33;Avenida Departamental;-33.51043095;-70.58638824
PE330;Millaray;-33.56261758;-70.58794525
PE331;MarÕa Elena;-33.56128614;-70.58839484
PE332;Avenida Vicu—a Mackenna;-33.56085003;-70.58583392
PE333;Calle 6;-33.55938005;-70.58301718
PE334;Calle 8;-33.55912739;-70.58091209
PE335;Santa Cecilia;-33.55856557;-70.57617311
PE336;Avenida Diego Portales;-33.56191087;-70.5755014
PE337;Josefa Portales;-33.56165045;-70.57257745
PE338;La Alauda;-33.56094421;-70.56853595
PE339;La Alauda;-33.56064104;-70.56683928
PE340;La Alauda;-33.56052711;-70.5665787
PE341;Calle 1;-33.56101471;-70.56937743
PE342;Den…bola;-33.56148599;-70.57203587
PE343;Santa Cecilia;-33.56200706;-70.57502917
